{'短评内容': '没梳子，牙膏像好久了，我重新买新的，隔音效果太差了', '短评打分': 5}
{'短评内容': '居然是地炕', '短评打分': 3}
{'短评内容': '还好，总体实惠', '短评打分': 4}
{'短评内容': '很不错，交通方便，晚上附近很多吃的', '短评打分': 5}
{'短评内容': '不怎么样，被子的被套都是坏的，里面连个抽纸都没有', '短评打分': 3}
{'短评内容': '酒店非常不错，环境很高，住着很舒服，下次需要还会来。', '短评打分': 5}
{'短评内容': '一如既往 不错！', '短评打分': 5}
{'短评内容': '挺好的 很喜欢 环境不错 就是离地铁远了点 不过也是挺值得的 下次还会来 文星酒店的配置还不错 喜欢', '短评打分': 5}
{'短评内容': '还算很不错的，服务很好，房间很安静。电视频道少，好在无线网络比较快。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '和赤岗那家店相比，差的太远了', '短评打分': 4}
{'短评内容': '干净，交通方便，', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '地方偏点，交通挺好，就弥补了地方偏僻的弱点了。附件吃饭地方可选择太少了', '短评打分': 5}
{'短评内容': '我住的是靠后面的房间 挺干净 也挺安静的 服务员态度不错 下次去广州应该还会去住', '短评打分': 5}
{'短评内容': '当初这间选择这间酒店由于近广东工贸职业技术学院才选择。看到图片还可以，怎知去到入住，比相片中差得多啊，太简陋了。。不过这些都算了，环境卫生好不干净，给人一种好不舒服的感觉。而且最重要的是我住过真么多的酒店，都没试过有见过小强在房间出现过的。。可想而知间酒店的卫生有多差。搞到我整晚都休息的不好。下星期再去考试宁愿住远少少都不会再选这间了。', '短评打分': 1}
{'短评内容': '很好，很方便，环境设施也不差，下次一定还会到此', '短评打分': 5}
{'短评内容': '价格是比较便宜，但位置远，从北京路打的回酒店要30元，离地跌站正常步行10分钟左右，床褥卫生还可以，电视机很差很大杂音，水龙头和花洒头都有点坏了，水花四溅。', '短评打分': 1}
{'短评内容': '住宿周边环境还行，交通也很方便，小吃也很多,重点房价实惠，房间大浴室大的很空旷啊', '短评打分': 5}
{'短评内容': '房间太小了，干净和服务态度没得说，主要是空间太小了，而且交通不方便', '短评打分': 1}
{'短评内容': '感觉环境还可以', '短评打分': 3}
{'短评内容': '酒店装修挺温馨的，但内部施工，白天太吵，空气不好', '短评打分': 3}
{'短评内容': '酒店硬件差，没有电梯。搬行李上楼很可怕的。房间装修老土，空调漏水，电视虽然第三天换了新的，但也还是很差的那种。如果想住便宜点的酒店，建议去文星上社店，性价比很高。', '短评打分': 1}
{'短评内容': '这间酒店环境和服务都好好。。我住的是精品大床房，但感觉好温馨。但有一个唔好的就是没有牙刷套装，要到前台购买，我觉得这个好不方便，因为背包族都不会出行时带齐这些用品。有些苦闷~~', '短评打分': 5}
{'短评内容': '梅花园D口出来，房间比较干净，门口的公交车挺多', '短评打分': 5}
{'短评内容': '不错，挺干净，配套设施挺齐全，住得挺舒服的，挺好~~~', '短评打分': 5}
{'短评内容': '不错，交通方便，卫生打扫的很干净，床单非常干净。', '短评打分': 5}
{'短评内容': '干净宽敞!', '短评打分': 3}
{'短评内容': '空调漏水，但房间很大，有空调\n房间没有窗户，但是为什么会挂窗帘？', '短评打分': 5}
