{'descr': '地点还可以 离火车站 汽车站都相当近 房间设施有点旧 热水要放好半天才会有 房间很大 但是听说酒店有点乱', 'star': 1}
{'descr': '房间很大，远眺江景，很不错，还有早餐，很好', 'star': 5}
{'descr': '地点很好 性价比还好', 'star': 3}
{'descr': '房间还算干净，只要是江景房能看江景，总体还算满意', 'star': 5}
{'descr': '拖鞋茶杯最好换一次性的，别的还可以房够大，开房退房太慢，办事效率太差', 'star': 1}
{'descr': '房价不贵  晚上看江景还是不错的  就是房间偏小了点', 'star': 5}
{'descr': '看不到江', 'star': 3}
{'descr': '位置不错，经改善，靠江的位置加了两层窗户，隔音好一些了。晚上的鸣笛还是可以听见的，但是不会影响睡眠，一晚上就听见一两次。', 'star': 5}
{'descr': '环境很不错，离人民路也不远，晚上还可以去江边散散步。。就是住的那间房网线接口是坏的。。', 'star': 5}
{'descr': '很好。以后去还会选择入住。隔音有待提高。另收费的东西最好询问后再摆放', 'star': 5}
{'descr': '环境，设施，卫生都很好。很满意。下次去继续选择7+1', 'star': 5}
{'descr': '宾馆设施很到位。每天清晨起床拉开窗帘江水便一览无余（我住的是7层）', 'star': 5}
{'descr': '环境挺好，卫生不错，开窗就能看见长江，下次去还住那。', 'star': 5}
{'descr': '很喜欢7＋1的内部设计！感觉很温馨，是我的首选！', 'star': 3}
{'descr': '环境蛮好的，住的特别有感觉，一些珍贵的回忆也留在里面，以后去安庆只住7+1', 'star': 5}
{'descr': '隔音效果实在太差。\n别的还好。，。。。。', 'star': 5}
{'descr': '酒店很实惠，早餐虽然少，但味道不错。推荐', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '服务还行，房间内一般，隔音很糟，退房很慢。', 'star': 5}
{'descr': '总体来说还是挺好的，就说说不足的地方吧。1、房间隔音效果很差，尤其是江景房，晚上轮船的汽笛时时刻刻都在提醒着你，你正住在江边。2、房间里面的物品摆放很有问题，一共就一张台面，结果上面还密密麻麻的摆满了需要另外付费的东西。', 'star': 5}
{'descr': '在这个价格来说可以说是超值了，服务挺好，早餐管饱，网络下载速度竟然有500多kb，还送了个果盘。要说缺点嘛，烧水跳闸了两次，还要自己去重新合闸，闸还找了半天的说', 'star': 5}
{'descr': '酒店位置好，性价比优，餐饮服务也很好！就是被子深颜色不好，看不清是否干净。总之，住该酒店是对的。', 'star': 5}
{'descr': '服务不错，性价比挺好。只是有一点意见，应该及时换被子，都到夏天了，还是厚被子，真让人受不了。\r\n\r\n\r\n\r\n\r\n\r\n', 'star': 5}
{'descr': '要的是江景大床房，可惜在二楼，看不到江景.....而且空间比较小，类似于单人房。其他还不错的。', 'star': 5}
{'descr': '最好全部换上一次性卫生用品!感觉牙刷都是被人用过,拖鞋也不是一次性的东西\\', 'star': 5}
{'descr': '房间小了点,不过进去感觉还好,好象里面米拖鞋还是什么的,价格在低点更好了!', 'star': 3}
{'descr': '位置很好//', 'star': 3}
{'descr': '性价比很好的一家酒店', 'star': 3}
{'descr': '酒店面对长江。。感觉很好///', 'star': 5}
{'descr': '房间虽然不大，但布置比较干净，值得一去。', 'star': 5}
{'descr': '房间还不错', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '房间还不错，就是小了点', 'star': 5}
{'descr': '总体还可以', 'star': 5}
{'descr': '性价比高，就是隔音太差了。', 'star': 5}
{'descr': '总体来说，性价比很好。。。', 'star': 3}
{'descr': '房间面对长江，，本人感觉很好，，下次还会入住', 'star': 5}
{'descr': 'GOOD', 'star': 5}
{'descr': '总体说是家性价比不错的酒店，前台服务态度也很好，房间不是很大，但是住着还是可以的，喜欢玻璃的浴室，挺郁闷的是晚上送奶的阿姨，非要敲到你拿牛奶，后来干脆自己开门进来了，真的挺无奈的，不过幸亏我很喜欢喝牛奶，所以没什么啦，就怕别的客人会有些意见吧。最让我不满意的是空调了，为什么最高时30度呢？半天暖不了很是难受的，别的都挺好的。', 'star': 5}
{'descr': '大厅空调未开放，房间内了缺少一些小东西，洗浴用品\r\n总体上不错，我喜欢，下次还会住', 'star': 5}
{'descr': '酒店各方面的服务基本上都还是可以的.就是单人间的面积要比较双人间的小很多,但价格是差不多.', 'star': 3}
{'descr': '价格还是蛮优惠的，迷你房间空间不大，设施还算舒适', 'star': 3}
{'descr': '单人商务大床空间太小，性价比低', 'star': 1}
{'descr': '干净、安静、卫生、地理位置优越，值得推荐的一家快捷酒店', 'star': 5}
{'descr': '酒店内部管理需加强，尽然会出现半夜三更酒店人员敲门并且打电话到客房向客人催要押金的现象，极大影响了客人的正常休息，试问这样的酒店还有人敢住吗？？？', 'star': 1}
