{'descr': '酒店周边非常便利', 'star': 4}
{'descr': '早餐不错', 'star': 5}
{'descr': '非常不错的酒店，服务热情', 'star': 5}
{'descr': '地点很好，酒店设施一般', 'star': 4}
{'descr': 'Cp值非常高、服務人員態度好', 'star': 5}
{'descr': '床铺太硬   热水洗澡有咸味  洗澡花洒头服务员擦时用了很多不锈钢油，洗澡拿时弄得都是油在手上。 \n床单会过敏，估计洗涤药水放多了，不过这个因人而议', 'star': 4}
{'descr': '很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好，', 'star': 5}
{'descr': '还好还好还好还好还好还好还好', 'star': 5}
{'descr': '出差住宿非常便捷，周边吃住也很方便，下次还会选择', 'star': 5}
{'descr': '不错的酒店，出差临时居住一下，周边也很方便', 'star': 5}
{'descr': '很一般般而已', 'star': 4}
{'descr': '很不错，每次出差一直住这个酒店，离客户非常近。', 'star': 4}
{'descr': '朋友满意', 'star': 4}
{'descr': '感觉一切挺好的，就是设施有点老，网速太慢！前台的服务态度还是比较满意的！', 'star': 4}
{'descr': '好！', 'star': 5}
{'descr': '好！', 'star': 5}
{'descr': '酒店位置不错，里面干净整洁，隔音效果比较好，很安静，还有酒店的早餐不错！', 'star': 5}
{'descr': '标间蛮大的，设备齐全，有的房间还有冰箱哦！', 'star': 5}
{'descr': '地点不错，门外就有吃玩俱全，水果店也很多，地方不吵，适合出差或旅游！', 'star': 5}
{'descr': '地理位置还能不错，处在闹市，但酒店又靠里面，很安静。\n出门吃的饭店很多，湘菜、川菜、台湾小吃都有。\n唯一不足，酒店隔音不怎么好，晚上被隔壁的鼾声吵醒。', 'star': 5}
{'descr': '地理位置优越，在市中心，周围设施齐全，吃饭娱乐一应俱全，\n早饭简单但实用', 'star': 5}
{'descr': '房间还凑合，位置也不错，边上吃饭娱乐的地方也不少。', 'star': 5}
{'descr': '酒店交通便利，服务尚可，离阳澄湖蛮近的，总之这价位还可以的，早餐不是很好，但早餐时间到十点，赞!,', 'star': 5}
{'descr': 'GOOD', 'star': 3}
