{'短评内容': '夏天去的话，更加漂亮', '短评打分': 5}
{'短评内容': '还。。。还不错 ', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '早餐还好，加床可以，带上小孩可以海边玩，自己没车出行交通不方便，自驾车停车方便，建议酒店配置接送车或共享单车', '短评打分': 4}
{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '十来年的老酒店了，什么都很陈旧，房间一股霉味，空调出风口都是霉点，下回去舟山再也不会去象山了', '短评打分': 2}
{'短评内容': '现在四星级酒店如此LOW的卫生间，连琐洒店都找不出这种设施。今晚一夜只能失眠了。建议去丹城找房', '短评打分': 4}
{'短评内容': '直面大海，景色一流，房间大，设施不错。景区大门至酒店交通一般，早餐一般', '短评打分': 4}
{'短评内容': '很好的酒店，房间不是豪华型，但是酒店位置无可超越，出门就是海滩，带小孩住最方便了，而且进出景区都不要重复买票', '短评打分': 5}
{'短评内容': '感觉三星都达不到 但是在景区 贵贵贵', '短评打分': 3}
{'短评内容': '平常还不错，节假日有点贵', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 1}
{'短评内容': '离大海很近，但是酒店旧了点', '短评打分': 5}
{'短评内容': '酒店就在海滩边上，出门就能玩沙滩，很棒的。客房服务蛮好的，还送水果的。酒店在山里面，绕盘山公路好一阵，适合自驾。我们十一去的，性价比低，适合平时去，还不错。跟大家说的差不多，酒店有点老旧，但很干净，就在海滩边，比较方便。酒店的后花园很不错，安安静静依山而建，环境优美。酒店的餐厅吃饭，味道不错，比外面放心干净。', '短评打分': 5}
{'短评内容': '酒店有点旧，但总体还好。吃饭不方便，酒店吃的贵', '短评打分': 3}
{'短评内容': '酒店有点老，但是比较干净。在公园里，盘山公路自驾不叫舒服', '短评打分': 5}
{'短评内容': '酒店离海边近，位置好，其他就一般了', '短评打分': 4}
{'短评内容': '酒店位置很不错，不远处就是海岸线，很适合娱乐休闲，房间陈设简洁大方，并配有免费上网设备，还值得一提的是酒店的餐饮不错。', '短评打分': 3}
{'短评内容': '，酒店不错，离海滩很近。', '短评打分': 3}
{'短评内容': '我们每次去象山，住的都是这个酒店，真的很不错的，以后还要光顾。', '短评打分': 5}
{'短评内容': '还不错，感觉性价比没那么高，不过在那地方算是不错的酒店了', '短评打分': 5}
{'短评内容': '酒店位置不错，出来就是海滩，比较适合度假。', '短评打分': 5}
{'短评内容': '如果是为了在海边玩水，则这家酒店绝对是首选，因为酒店就在海边。从性价比的角度，酒店内的餐厅也比那些大排档实惠。', '短评打分': 5}
{'短评内容': '酒店位置非常不错，出大门就可以享受沙滩、大海了！酒店餐厅味道也很不错，价格比较合理，早餐很丰富！下次有机会是必须的选择！！！', '短评打分': 5}
{'短评内容': '总体环境还是不错，外面就是海滩，方便看海和玩海。唯一的缺点是房间内的淋浴龙头无法取下，给小孩子洗澡就不太方便了。另外酒店内的海鲜和外面的大排档价格差不多，但味道和环境可好多了。', '短评打分': 5}
{'短评内容': '最大的优势是离沙滩近，国庆的时候人也不多，虽然海水不够蓝，但也算静心减压的去处。酒店出门左拐往山上去，也有两片沙滩，人更少，风景也更好。就是景区内吃饭的地方太少，我们在酒店吃的，有点小贵。', '短评打分': 5}
{'短评内容': '酒店环境不错啊，房间还是比较干净的，呵呵，浴帘挂钩不牢固，掉了。客服部服务态度好，还延长了一个小时退房，总体评价还可以。', '短评打分': 5}
{'短评内容': '出门就是沙滩，很方便，不过就是海水太脏，怡景房其实也是看山的,但是景色也还不错，房间够大，但是毕竟年数有点，设施不够新，电视还不错，可以免费点播', '短评打分': 5}
{'短评内容': '总体来讲环境真的很好，就是空调不是太给力，服务还可以；', '短评打分': 5}
{'短评内容': '酒店环境不错。出门就是沙滩。下次还会去度假。', '短评打分': 5}
{'短评内容': '设施卫生都可以，非常安静，在海边，环境挺好的！', '短评打分': 5}
{'短评内容': '设施很旧，周边环境还好，适合度假休息，乡村气氛浓郁', '短评打分': 5}
{'短评内容': '不错的。。前面就是沙滩。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '住过很多次，360的价格很实惠，夏天去的时候 还要790一样的楼层 一样的房间。房间下午还会送水果和报纸，总的不错~！ 360性价比很高！！', '短评打分': 5}
{'短评内容': '酒店靠近海边环境蛮好的，房间卫生条件不错，适合度假，性价比还可以', '短评打分': 5}
{'短评内容': '酒店位置还可以，靠近海边，环境很不错，房间卫生条件很好，打扫的很干净，硬件设施也很齐全，住宿环境还可以', '短评打分': 5}
{'短评内容': ',酒店位置好，管理不错', '短评打分': 3}
{'短评内容': '一般般，优势：出酒店门即是海滩，缺点：靠海近比较潮湿，而且白天进来还得收该死的人头费...', '短评打分': 5}
{'短评内容': '因为酒店是靠着海边的所以房间还是有些潮湿，卫生设施还一般，出行还是比较方便，价格其实还是有些偏贵了。', '短评打分': 1}
{'短评内容': '房间里设施还不错，打扫的很干净，采光也很好，住的很舒适。', '短评打分': 5}
{'短评内容': '环境特别好,尤其是适合海上游玩的游客', '短评打分': 5}
{'短评内容': '酒店位置很好，里海边很近，空气很好，游玩很方便。', '短评打分': 5}
{'短评内容': '周边环境不错，风景很美，内部也很干净舒适，服务也很周到，住的很舒心。', '短评打分': 5}
{'短评内容': '首先这个酒店的设施和其他地方的酒店比肯定是没有达到四星级标准的，但是在当地来说我觉得条件和服务都还是不错的了，位置也挺好的，不过我们是晚上到的酒店，从告诉开车过去，一路上路灯没有，指示牌也不是很明显，感觉不太好找。', '短评打分': 3}
{'短评内容': '白天入住的，特意选了一个海景房，本来是想在房间里就可以写意的享受大海的美景。遗憾的是窗户却不是落地的，所以想坐在房间里欣赏海景很不方便（只有站在房间里才可以看到大海的面貌）', '短评打分': 5}
