{'短评内容': '价格适中，还可以。可惜地理位置较为不满意，不太合适。', '短评打分': 1}
{'短评内容': '我是17号18号两天的房间。198元（返81）的。退房的时候给我算了297不知道是怎么算的？', '短评打分': 1}
{'短评内容': '一股味道,地上很黏,地段也不好,非常不推荐.', '短评打分': 1}
{'短评内容': '环境还算干净，地方有点偏，周边的配套基本上没有', '短评打分': 5}
{'短评内容': '宾馆条件非常一般，地理位置不好，空调不好用', '短评打分': 1}
{'短评内容': '早餐有点差，酒店位置有点偏，不好找，很多出租车司机不知道，其他都很好，', '短评打分': 5}
{'短评内容': '位置很好找，客房还可以', '短评打分': 3}
{'短评内容': '酒店位置不错。', '短评打分': 3}
{'短评内容': '出行方便，购物不方便，干净，性价比高', '短评打分': 3}
{'短评内容': '都还不错， 安静，公交车比较方便。适合经济型出行的人。', '短评打分': 5}
{'短评内容': '周围比较吵，基本上一夜都没睡，还有装修的比较过时的那种', '短评打分': 3}
{'短评内容': '   赠券怎么用。  谢谢了', '短评打分': 3}
{'短评内容': '不错的，还算干净，但贵房间小了一点，房价贵了一点，踞离外滩也远了一点，如果可以在地铁附近就比较好，方便出入。早餐麻麻湖湖。', '短评打分': 5}
{'短评内容': '酒店位置很偏，很旧，卫生状况不行，窗帘居然没有遮光布，太亮，晚上都没有睡着。马桶还是坏的，喷淋头也是坏的，只能蹲着洗澡。前台服务很差，差点要给我换大床房，我坚持说我已经预定了标准间，才同意不换。早餐10元一份，感觉太差，就是粥和馒头包子，感觉不值，这是我出行以来住过最差的宾馆。', '短评打分': 1}
{'短评内容': '还不错就是有点便', '短评打分': 3}
{'短评内容': '已结账', '短评打分': 3}
{'短评内容': '已入住，条件挺不错，服务也热情。', '短评打分': 3}
{'短评内容': '说实话酒店还可以，但不是很方便，如果再展馆附近完全可以住锦江之星什么的，呵呵', '短评打分': 1}
{'短评内容': '太偏僻，除了做农产品生意外，不建议入住，价格不便宜，卫生一般', '短评打分': 1}
{'短评内容': '设施不错，服务也不错。价钱挺公道，我们在附近办事，所以交通不太了解', '短评打分': 5}
{'短评内容': '交通方便,价格合适,干净卫生,总体还不错~', '短评打分': 5}
{'短评内容': '整体感觉还不错~ 主要就近原则~ 公交比较多', '短评打分': 5}
{'短评内容': '干净，优惠，交通一般', '短评打分': 3}
{'短评内容': '基本可以啦，离新国际博览中心20分钟的车程，附近吃饭的地方没有，宾馆内部有餐厅，而且不错，很方便', '短评打分': 3}
{'短评内容': '附近吃饭的地方基本没有，宾馆内部的饭还可以啦', '短评打分': 5}
{'短评内容': '房间宽敞、明亮、洁净，还在工业园内，比较方便。', '短评打分': 3}
{'短评内容': '已入住', '短评打分': 5}
{'短评内容': '酒店的位置很方便  周边有超市和公交  就是房间的设施有点陈旧  卫生间地板容易积水 排水较差 服务还行 ', '短评打分': 1}
{'短评内容': '我已入住,谢谢', '短评打分': 5}
{'短评内容': '您好我已入住吉侬宾馆', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '最差的宾馆，，，，', '短评打分': 1}
{'短评内容': '不错，性价比一般', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '毛巾不干净，房间有异味，很早就有施工的。但是餐厅饭菜还不错，服务也好。', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '设施比较陈旧，有点像招待所的感觉。位置较偏。上网速度奇慢，基本打开个网页都得半天，收发邮件没戏，我是等到凌晨2点多才把邮件发出去的。', '短评打分': 1}
{'短评内容': '酒店的位置很好，出行很方便，酒店的服务、环境也很不错，性价比高', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '作为口岸城市中的星级酒店，没能充分发挥应该有的多种功能，该酒店较适合接待旅游团队，对商务人士不适合。', '短评打分': 3}
{'短评内容': '在这里才感受到上海的偏远地带。龙阳路地铁站打的到宾馆14元，宾馆到国际展览中心20元。宾馆的背后就是上海的水果交易市场，通宵都有货物进出，很吵。设施达不到2星。没有办法，我是学生啊，所以只好找便宜点的。', '短评打分': 3}
