{'短评内容': '环境卫生不错，服务态度好。', '短评打分': 4}
{'短评内容': '不错，出差推荐！。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '住住看看看', '短评打分': 5}
{'短评内容': '挺好的，很棒，很好，', '短评打分': 5}
{'短评内容': '房间还不错，就是有点吵！', '短评打分': 5}
{'短评内容': '房间蛮大的，床很舒服，不错，值得推荐！', '短评打分': 5}
{'短评内容': '真心不错，以后出来都到汉庭住。', '短评打分': 5}
{'短评内容': '服务态度好，周边店铺多，商旅出差好地方', '短评打分': 5}
{'短评内容': '酒店位置还算可以，早班还算可口，房间卫生还算干净，设施一般，只是停车不是很方便，而且要收费。服务员态度还不错。', '短评打分': 3}
{'短评内容': '干净整洁，商旅首选', '短评打分': 4}
{'短评内容': '干净整洁，商旅首选', '短评打分': 4}
{'短评内容': '总体还可以啦，一般般，服务很好', '短评打分': 5}
{'短评内容': '还可以的，床旁边有根柱子', '短评打分': 4}
{'短评内容': '额，携程订房没什么优势了。价格和门店差不多。房间都还不错。', '短评打分': 4}
{'短评内容': '价格实惠，整体都还不错！', '短评打分': 4}
{'短评内容': '房间比较干净，价格很实惠。', '短评打分': 4}
