{'短评内容': '位置便利，房间干净，服务好，很满意，赞赞赞赞！', '短评打分': 5}
{'短评内容': '服务态度好，环境优美，干净，期待下次入住，很好，很好', '短评打分': 5}
{'短评内容': '服务态度好，环境干净，卫生，期待下次入住', '短评打分': 5}
{'短评内容': '服务态度好，环境干净，卫生，期待下次入住', '短评打分': 5}
{'短评内容': '挺好的酒店，还会继续入住！缺点就是没有早餐', '短评打分': 4}
{'短评内容': '服务态度好，环境干净，卫生，期待下次入住，很好 很好', '短评打分': 5}
{'短评内容': '服务态度好，环境不错，干净，卫生，期待下次入住', '短评打分': 5}
{'短评内容': '好！！！！', '短评打分': 5}
{'短评内容': '这个不错', '短评打分': 5}
{'短评内容': '不错！！！！！！', '短评打分': 5}
{'短评内容': '蛮好的。帮朋友订的，朋友反鐀不错。下次会继续。', '短评打分': 5}
{'短评内容': '一般般的一', '短评打分': 5}
{'短评内容': '一般般的一', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '非常好的一次入住', '短评打分': 5}
{'短评内容': '空调太差了，大冬天的冷得要死，希望酒店改善，这么大的连锁酒店，失望', '短评打分': 4}
{'短评内容': '不是第一次入住了，酒店的周边还是不太好！', '短评打分': 5}
{'短评内容': '预定确定很快。', '短评打分': 5}
{'短评内容': '房间很干净。', '短评打分': 5}
{'短评内容': '预定确认很快。', '短评打分': 5}
{'短评内容': '环境好，房间大，都是新装修的', '短评打分': 5}
{'短评内容': '环境好，房间大', '短评打分': 5}
{'短评内容': '服务好，房间干净卫生。', '短评打分': 5}
{'短评内容': '还不错~还不错~还不错~还不错~还不错~还不错~啊啊', '短评打分': 5}
{'短评内容': '房间不大但很精致，还可以看到晚上繁华的购物夜景。', '短评打分': 3}
{'短评内容': '位置．环境都可以．就是房间有些小．卫生间也小', '短评打分': 5}
{'短评内容': '交通方便，此酒店开业有几年了，卫生还行，就是在市中心有点吵。', '短评打分': 5}
{'短评内容': '服务态度不错哦，房间蛮干净的、、    大厅里还放了免费的酸梅汤 ', '短评打分': 5}
{'短评内容': '房间小了点，不过蛮温馨的，服务态度较好，夏天午后前台有冰的酸梅汤和柠檬水喝，不错。', '短评打分': 5}
{'短评内容': '，房间还好，只是设施有点旧，可能我住特价房的缘故', '短评打分': 3}
{'短评内容': '可能是地段太好，房间小,其他还不错，购物方便', '短评打分': 5}
{'短评内容': '很臭！打电话到前台跟本没人理你！！要了被子结果一直不送！有点夸张', '短评打分': 1}
{'短评内容': '作为这个价位的酒店，位置很方便，卫生也不错，就是房间隔音稍微差点', '短评打分': 5}
{'短评内容': '订的房间父母住的很满意，房间比较大，有靠里的外窗，空气流通很好，周边吃饭很方便，就是卫生间稍微小点，而且没有可以晾晒衣服的地方，不太方便', '短评打分': 5}
{'短评内容': '比较干净的快捷酒店，房屋打扫比较整洁，床睡得也很舒服。推荐预订有外窗的房间，而且最好不要临街，会安静很多。', '短评打分': 5}
{'短评内容': '房间很小，没有窗户，不开灯白天也是黑黑的，不过总体还行', '短评打分': 5}
{'短评内容': '房间过小，靠马路的比较吵，交通便利', '短评打分': 3}
{'短评内容': '干净，就是房间有点小，靠马路的比较吵', '短评打分': 3}
{'短评内容': '说实话,就是很方便,但是设施有些老了.风格是一贯的168风格,建议酒店适当的翻修', '短评打分': 5}
{'短评内容': '房间太小了，而且还是商务大床房呢？硬件设施很不错，最好是住朝里面的房子吧！', '短评打分': 5}
{'短评内容': '房间小了点，但是比较干净。房间小了点，但是比较干净。', '短评打分': 5}
{'短评内容': '房间小点，但是逛街还算方便，离江汉步行街和武汉广场都不算远，离汉口火车站打车也就15元左右，离武汉火车站就远了，卫生也还可以，就是隔音不好，有人在楼说话，房间听的很清楚', '短评打分': 5}
{'短评内容': '房间小点，但是逛街还算方便，离江汉步行街和武汉广场都不算远，离汉口火车站打车也就15元左右，离武汉火车站就远了', '短评打分': 5}
{'短评内容': '酒店虽然比较迷你，但是设施还是比较齐全的。很卫生。阿姨很热情，人超级好。哈哈，下次还会入住', '短评打分': 5}
{'短评内容': '一进房间就有一股淡淡的香味，还是比较干净的。特价房还蛮大的，有吹风这点很方便。下次还会入住', '短评打分': 5}
{'短评内容': '就在汉正街旁边，到汉正街进货住这就很方便。', '短评打分': 5}
{'短评内容': '房间小了点，同地段对比，性价比不高，前台服务员脸上没有笑容', '短评打分': 5}
{'短评内容': '稀烂。。。。。那个床上的枕头和被套比火车上还脏些， 要前台换一下还叫了两遍，非要我第二次下去骂才晓得换', '短评打分': 1}
{'短评内容': '价格合适，房间较新，离汉正街比较近。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '是在武汉每次首选的地方，地理位置佳，交通方便，安静、 干净、 整洁、 服务态度好!', '短评打分': 5}
{'短评内容': '交通便利，OK', '短评打分': 3}
{'短评内容': '酒店的地理位置，不算太好找，不过也算是闹中取静，离公交站点、超市也很近，街口还有KFC，整体来说还是很方便的', '短评打分': 5}
{'短评内容': '稀烂的酒店，设备太旧，服务不好，电视还是老式的，宽带才1M，坑爹啊。', '短评打分': 1}
{'短评内容': '还行。太旧了。交通比较方便，小吃街附近也有。', '短评打分': 5}
{'短评内容': '总体还可以,', '短评打分': 3}
{'短评内容': '非常舒适，干净整洁,只是电视、家具等比较陈旧，卫生间等设施还算不错。', '短评打分': 5}
{'短评内容': '不错，就是楼下吵了点，干净整齐。服务不错', '短评打分': 5}
{'短评内容': '还不错，就是没窗户蛮闷、', '短评打分': 3}
{'短评内容': '厕所的莲蓬是坏的，走道很吵不隔音', '短评打分': 3}
{'短评内容': '地段不错，卫生不错 ，感觉都还行 ,所以可以值得入住,周边也很热闹', '短评打分': 5}
{'短评内容': '地段不错，卫生不错 ，感觉都还行 ,所以可以值得入住', '短评打分': 5}
{'短评内容': '莫泰不错的，很方便，房间设计也比较合理，就是发生火灾的话很难找到出口。确实像迷宫。', '短评打分': 3}
{'短评内容': '地理位置不错，干净卫生不错，性价比比较高。离汉正街比较近。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '低端好，环境好，早餐价格便宜，值得推荐，总之，很给里', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '交通方便楼下就是公交站，位置极佳位于中山大道繁华路段，酒店干净卫生周到，旅游购物首选！', '短评打分': 5}
{'短评内容': '地理位置不错，性价比比较高。离汉正街比较近', '短评打分': 5}
{'短评内容': '位置很好，屋内设施很不错，还有吹风机。', '短评打分': 3}
{'短评内容': '不错，很安静，服务的质量也挺赞的', '短评打分': 3}
{'短评内容': '还好，就是房间像迷宫，难找啊，不过床单很温馨，有家的感觉。', '短评打分': 5}
{'短评内容': '很方便的位置   设施很好      早餐也不错      环境很好                  ', '短评打分': 5}
{'短评内容': '干净舒服！隔音不是很好，床好像没有说的1米8，房间略小，找房间时有点像迷宫！整体还可以，但感觉188元的价格有点高，据说168元的房间更小！', '短评打分': 5}
{'短评内容': '   酒店就在中山路的马路边，交通方便位置很好，离汉正街、江边和几个商场都很近，适合购物，和很多莫泰168的装修风格一样电梯上去会有几个拐弯的走廊通向房间，要仔细找房号，我们住的二楼房间尽管有窗但觉得光线暗了点。', '短评打分': 5}
{'短评内容': '不错比想象中的好', '短评打分': 3}
{'短评内容': '入住经济酒店这样还行吧，缺点是床小、没有停车位、被子太厚盖着热不盖吧冷鸡肋了，武汉那么热不知道弄夏凉被，不知道酒店方面是怎么想的，还有个不理想的地方就是像迷宫，对于第一次入住的客人来说找房间简直就是噩梦。', '短评打分': 5}
{'短评内容': '服务态度很真不怎么样!  这是不能容忍的', '短评打分': 1}
{'短评内容': '重新入住该酒店，特别要安排了一间窗户朝内的房间，确实安静很多，酒店设施也一如既往的舒适，家居感特强，还是要大力推荐。', '短评打分': 5}
{'短评内容': '还行~~~~~~~~~~~~~~~~~~', '短评打分': 1}
{'短评内容': '周围环境有点吵，酒店还不错！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '还不错，价格可以再低点更好.\n前台服务态度有待提高点', '短评打分': 5}
{'短评内容': '我住的是套房，个人觉得没有必要住套房，那个厅的作用不大', '短评打分': 5}
{'短评内容': '还不错，价格可以再低点更好，位置稍微离步行街远了一点。', '短评打分': 5}
{'短评内容': '环境不错、价格优惠、连锁酒店服务比较好，值得推荐', '短评打分': 5}
{'短评内容': '不错 开始卫生间马桶有问题 联系前台之后马上换了见好的 卫生，环境都不错', '短评打分': 5}
{'短评内容': '隔音效果不好！ 我住的那间淋浴喷头是坏的！！！管子破的很大的口  环境比较吵闹', '短评打分': 1}
{'短评内容': '环境很好，很干净。在街面也不吵，隔音效果很不 错。', '短评打分': 5}
{'短评内容': '看起来很小，里面却很大，路线复杂。房间跟别的168没什么区别，干净整洁。', '短评打分': 5}
{'短评内容': '服务一般', '短评打分': 3}
{'短评内容': '就是被子有点薄。有点冷啊，其他还可以。下次应该还会住把。', '短评打分': 5}
{'短评内容': '说带宽带 却没电脑 !小心上当，楼上房间九曲十八弯！', '短评打分': 5}
{'短评内容': '地理位置不错 出行方便 房间 采光也不错', '短评打分': 3}
{'短评内容': '还不错，就是房间真的是太小啦~房门的隔音效果不是很好', '短评打分': 5}
{'短评内容': '第一次住莫泰168，规模挺大，房间也挺好。', '短评打分': 5}
{'短评内容': '该酒店临近路边，环境很不错，设施齐全，卫生也不错。', '短评打分': 5}
{'短评内容': '舒适 安全 简单 设备齐全 位置 服务等等  总体还是不错的 继续努力啊', '短评打分': 5}
{'短评内容': '位置非常好，去哪都超方便，服务卫生硬件都可以，值得推荐', '短评打分': 5}
{'短评内容': '酒店位置很好，交通，购物方便，卫生、服务也很好，只是房间由于墙壁过薄，会感觉到很吵，床不舒服，床垫感觉很旧，不舒服。\n不过位置来讲还很好，会推荐1天或2天临时的住宿。', '短评打分': 5}
{'短评内容': '环境还不错，自己比较满意不知道大众的住房条件是什么样，个人觉得是一家性价比比较好的酒店。', '短评打分': 5}
{'短评内容': '酒店很喜欢，就是临街的房间稍微吵一些，隔音差一点', '短评打分': 5}
{'短评内容': '酒店位置很好，离汉正步行街和江滩都不算太远，设施也还不错', '短评打分': 5}
{'短评内容': '酒店设施还行，就是停车不方便，附近为汉正街，有点拥堵', '短评打分': 5}
{'短评内容': '交通方便！！！！房间舒适！！！！比较满意！！！！', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '酒店不错.床比较小.卫生不是太到位，附近打不到车', '短评打分': 5}
{'短评内容': '很好。', '短评打分': 3}
{'短评内容': '位置很不错 离步行街很近 下面就是中百超市 旁边有有银行 非常的方便 房间设施很齐全 网速也很快 就是电脑桌感觉设计不科学（个人看法）', '短评打分': 5}
{'短评内容': '酒店位置很好，交通也很方便，就是中山大道有点堵车，临街的房间有点吵', '短评打分': 5}
{'短评内容': '位置很不错 离步行街很近 下面就是中百超市 旁边有有银行 非常的方便 房间设施很齐全 网速也很快 就是电脑桌感觉设计不科学（个人看法）', '短评打分': 5}
{'短评内容': '地理位置不错，出门也方便。离武汉国际会展中心还比较近，步行15分钟', '短评打分': 5}
{'短评内容': '每次去武汉住的都是这家，挺好的，每次都是在网上预订的，都有房间。', '短评打分': 5}
{'短评内容': '酒店地理位置不错，新开业的，位于汉正街，购物的朋友会比较方便，推荐下', '短评打分': 5}
{'短评内容': '比较干净，重点是酒店位置很方便。其他与别的经济性酒店差不多。。', '短评打分': 5}
