{'短评内容': '卫生间有异味，空调声音太大', '短评打分': 3}
{'短评内容': '卫生间有异味', '短评打分': 3}
{'短评内容': '选择这家主要是靠近要办事的地方，但是这个价格感觉不太值，房间是有窗的了，但卫生间的味道太大，每次进房间都一股味道，房间电话用不了杂音太大，酒店周边环境还行，早餐非常简单。', '短评打分': 3}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '周围有很多吃饭地方，酒店的早餐很一般，但服务的态度很好！我预定时没注意，定了个没窗的，但正好遇见重庆四年一次的糖酒会议，酒店不好定。', '短评打分': 5}
{'短评内容': '。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '干净卫生，服务好。', '短评打分': 5}
{'短评内容': '房间装修还行，卫生间差强人意，早餐也一般', '短评打分': 4}
{'短评内容': '房间条件好，服务质量好。', '短评打分': 4}
{'短评内容': '不错，价钱贵了些，可接受。', '短评打分': 4}
{'短评内容': '房间比较大，卫生不错，周边吃饭的少', '短评打分': 4}
{'短评内容': '情况一般般吧', '短评打分': 3}
{'短评内容': '不错挺好的，就是有点冷～', '短评打分': 5}
{'短评内容': '酒店很一般，不过服务很好，赞一个，停车的时候，门卫师傅很负责任，门口吃的东西也很多，总体来说还是很好的', '短评打分': 5}
{'短评内容': '挺不错的，很方便！', '短评打分': 5}
{'短评内容': '基本还可以，性价比不高！！！！', '短评打分': 3}
