{'短评内容': '还行，实惠，就是通风不好', '短评打分': 3}
{'短评内容': '不错，从曲阜站直接2元坐车到游客中心，马路对面就是了，很好找~~~吃饭选择了附近的多禾馅饼，就在出了酒店的红绿灯十字路口转弯处~~~离三孔景点也很近~~~酒店设施有点旧，没有吹风机~~~其它还不错', '短评打分': 3}
{'短评内容': '不会选择第二次！比起其他快捷服务是最差的了！要是换做其它品牌酒店我估计还不天天接投诉啊！酒店行业做的就是服务第一！', '短评打分': 3}
{'短评内容': '非常不错！很干净…很舒适…', '短评打分': 3}
{'短评内容': '性价比极高，推荐入住。', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '别的都还好，就是床板有些硬。', '短评打分': 5}
{'短评内容': '携程服务不错，到酒店发现没有我们的订单，随后和携程联系，很快就办妥了，酒店在市中心，附近商场饭店都有，没去孔府那儿去玩，不知道有远否，总体感觉酒店还行', '短评打分': 5}
{'短评内容': '不好，在孔府边上，遇上旅行团吵死了。服务也不咋地。反正是一次很不好的体验。', '短评打分': 4}
{'短评内容': '  位置不错  酒店干净  值得推荐~~~~~~~', '短评打分': 5}
{'短评内容': '交通超级方便环境也可以价格也便宜来曲阜就住这', '短评打分': 5}
{'短评内容': '酒店很干净，房间空间比较好。值得推荐', '短评打分': 3}
{'短评内容': '1.位置不错，周面饭店也不少，但是房间隔音太不好了，走廊里说话的声音，隔壁电话声\n，洗澡声都能听见，\n2.房间里的烧水壶少出水来一个塑料味带药味，直接没法喝。\n3.打扫卫生的也太懒了吧，连垃圾都不倒\n4.一开始我钱都交完了，第二天下午又让我交钱- -，说押金不够了，一开始我都说我住几天了，你们不知道要收多少钱么，事真多', '短评打分': 1}
{'短评内容': '酒店位置很好，离孔府很近，步行也就不到10分钟，卫生很好，性价比很高 各方面都很不错 强烈推荐！', '短评打分': 5}
{'短评内容': '住宿一般，房间无窗，两边都是走道，隔音效果不好，早餐太差，', '短评打分': 1}
{'短评内容': '地理位置不错，距离孔庙很近，性价比不错，可以尝试', '短评打分': 5}
{'短评内容': '酒店房间干净，布置得当，整洁。不足就是晚上比较冷，空调制热不好。', '短评打分': 5}
{'短评内容': '首次在冬天遭遇停电，还是只有空调没暖气的房间，请尽快加装集中供应的暖气', '短评打分': 5}
{'短评内容': '有点挤吧了，空间小；环境还可以，没有阳光。.', '短评打分': 5}
{'短评内容': '格林豪泰房间很干净，服务好，特惠间有点小，总体不错。', '短评打分': 3}
{'短评内容': '有早餐，这个价位，房间很宽敞，非常满意，早餐很丰富，服务也很好，位置在繁华地段', '短评打分': 5}
{'短评内容': '服务热情、环境相对安静，卫生很好，建议卫生间加装淋浴帘，减少地面受水面积，达到防滑。', '短评打分': 5}
{'短评内容': '酒店很干净，也很安静，感觉不错，服务也好，早餐不敢恭维，希望以后能改善一下早餐。', '短评打分': 5}
{'短评内容': '感觉很好 不错 性价比比较高 早餐还欠佳 会推荐给朋友', '短评打分': 5}
