{'短评内容': '。', '短评打分': 5}
{'短评内容': '挺不错的一个地方。', '短评打分': 5}
{'短评内容': '6', '短评打分': 5}
{'短评内容': '前台服务很差，房间吹风筒没有还要去走廊吹头发，床上还有两张小蟑螂，周围环境很恶劣没有停车位，电视没台可以看都是雪花点！！！！！！！！！', '短评打分': 1}
{'短评内容': '很干净还不错，服务态度不错', '短评打分': 5}
{'短评内容': '服务态度很好，房间卫生也很赶紧，住的很舒服，很满意，我是去出差，去了普宁市好几次了，每次都是在这家店。', '短评打分': 5}
{'短评内容': '感觉还不错，物有所值', '短评打分': 5}
{'短评内容': '环境很好！很好找的位置～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～', '短评打分': 5}
{'短评内容': '挺好的！环境很好！～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～', '短评打分': 5}
{'短评内容': '牙刷配套需要付费 周边环境差是街市！', '短评打分': 2}
{'短评内容': '位置交通很方便 下次再来', '短评打分': 5}
{'短评内容': '酒店地段可以，对面马路就可以有车直接去揭阳。里面没有免费牙具，设施虽然装修过但是破破烂烂的，不知道是不是维护不好。电视就小心的液晶。只能住一晚不然受不了。', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '感觉还是不错，就是有点吵', '短评打分': 3}
