{'短评内容': '酒店服务员笑脸相迎，服务特别好，……', '短评打分': 5}
{'短评内容': '非常好，每次都来这里', '短评打分': 5}
{'短评内容': '酒店环境不错，就是设施较老', '短评打分': 5}
{'短评内容': '早餐比较简单；设施也有些老了；位置相对偏了一些；服务还行，不是特热情也不是特冷淡，中规中矩的；停车非常方便，一个巨大的停车场，估计能停100辆车吧；酒店附近吃的地方还是不少的。总体感觉不错的一个酒店。', '短评打分': 4}
{'短评内容': '作为老牌酒店，房间内设施是齐全的，但过于老旧，卫生间的淋浴喷头坏了，不能使用。位置不错，出行方便。服务人员态度有待进一步提高', '短评打分': 4}
{'短评内容': '第一次住，地理位置不错，办事方便。就是停车还要收费，有点不爽，那么大个院子竟然住宿还收费，很不合理。早餐也一般，勉强还算行。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间不错，很舒服，只是wifi不好用。', '短评打分': 5}
{'短评内容': '性价比还可以', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '房间设施齐备 唯独没有窗 另外房门不太隔音 楼道里的声音都能听到', '短评打分': 3}
{'短评内容': '酒店不错。跟设施、性能比起来，价格很划算', '短评打分': 3}
{'短评内容': '酒店地理位置不错，地处闹市而不吵，闹中取静！  酒店对面走不远，有很多饭店，出来品尝地方特色餐饮很方便；  前台和餐厅服务员服务热情，早餐尚可！', '短评打分': 4}
{'短评内容': '环境还不错，就是有点偏', '短评打分': 4}
{'短评内容': '服务周到细致，床很舒服，早餐也很不错', '短评打分': 5}
{'短评内容': '乌海比较高档的酒店，在市政府旁边，整体来说还不错，位置比较方便，很适合商务出差，房间也比较宽敞干净，价格适中。', '短评打分': 5}
{'短评内容': '乌海比较高档的酒店，在市政府旁边，整体来说还不错，位置比较方便，很适合商务出差，房间也比较宽敞干净，价格适中。', '短评打分': 5}
{'短评内容': '算是当地能接待外宾的最好酒店，滨河虽然条件不错但太偏僻了', '短评打分': 5}
{'短评内容': '很好的酒店，但早餐简单，卫生间的门破旧。', '短评打分': 5}
{'短评内容': '酒店餐厅服务很好，菜的口味很正宗，环境不错蛮安静的，服务员态度很好，隔音不错，前台办事效率快，总体感觉住着很舒适', '短评打分': 5}
{'短评内容': '非常好的酒店，房间大，静音。听当地的的哥说在乌海是面积最大最好的酒店了。', '短评打分': 5}
{'短评内容': '酒店不在市中心，不过距离娱乐中心，购物还是很方便的，酒店提供的晚餐很不错，味道可口，房间硬件设施也很齐全，总体感觉住宿环境还是蛮好的', '短评打分': 5}
{'短评内容': '酒店不在市中心，但是距离机场和火车站都不是很远，房间硬件设施齐全，空间大小合适，卫生情况也很好，打扫的很干净，总体感觉住宿环境很好', '短评打分': 5}
{'短评内容': '酒店外观蛮气派的，也很大，房间宽敞，住着舒服，装修的也比较豪华，上网速度也很快，附近交通出行很方便', '短评打分': 5}
{'短评内容': '这个酒店真不错，房间卫生，家具，床品，都很好的！但有点就是周边不太繁华，打车 吃饭都不太方便，早餐结束的早，九点就没饭吃了啊！但总体上这酒店还不错', '短评打分': 5}
{'短评内容': '酒店还是挺好的，出行还是挺方便，价格还行，酒店的环境还是挺好的。', '短评打分': 5}
{'短评内容': '卫生设施也还可以，价格还是贵了，服务也很一般。位置不方便。', '短评打分': 1}
{'短评内容': '位置还行，吃饭购物还比较方便，打车也比较方便。', '短评打分': 5}
{'短评内容': '房间倒是挺大挺宽敞的，也很干净，设施也挺完善，感觉住的挺舒适的。', '短评打分': 5}
{'短评内容': '酒店看起来挺豪华的，房间很大很舒适，服务也很周到，感觉住的挺好。', '短评打分': 5}
{'短评内容': '酒店的服务还不错，办理手续挺快的，态度也挺好的。', '短评打分': 5}
{'短评内容': '价格偏高，其他都还可以。', '短评打分': 5}
{'短评内容': '房间面积挺宽敞的，设施也比较齐全，有点房间还有电脑呢。', '短评打分': 5}
