{'短评内容': '房间干净舒适，出行方便', '短评打分': 5}
{'短评内容': '在小区里面，很不错的小区，出门就可以打车，离使馆区也非常近。房间条件非常好，由于是公寓式酒店，连锅碗瓢盆都很全。', '短评打分': 5}
{'短评内容': '干净，舒适，方便，安全，适合家庭出行。老板热情好客，下次还来这家！来去匆忙忘记拍照，房间宽敞温馨，通风好，采暖好，安静，备品应有尽有。', '短评打分': 5}
{'短评内容': '非常好还会再去', '短评打分': 5}
{'短评内容': '老闆非常親切熱情推薦我們晚餐的選擇', '短评打分': 5}
{'短评内容': '全程网上操作，订酒店很方便。', '短评打分': 5}
{'短评内容': '酒店一般，入住两天，只是入住时候打扫了，没有日常打扫', '短评打分': 3}
{'短评内容': '这家酒店位子挺好的.....！酒店的设备服务卫生都不错.....！周围环境什么的都还不错......', '短评打分': 5}
{'短评内容': '出发前网上找了好久，300出头一晚靠近地铁口的很多都没窗户，后来挑的这家住的挺不错的。首先离东直门地铁口比较近，从C出口后路旁边就有西贝莜面等吃的，一直朝百富怡酒店方向走就可以了，经过一个如家酒店然后几个小的足浴店到一个小小的中盈地产牌子那打电话让工作人员来接就可以了，交通还是比较便利。住宿条件也可以，床铺比较软，房间不错，睡觉安静，安保也好，里面还有简易厨房设施，不过因为每天都是早出晚归，这些都', '短评打分': 5}
{'短评内容': '酒店挺好的，设施齐全', '短评打分': 5}
{'短评内容': '环境很好，离地铁站近，到机场很方便，直达。', '短评打分': 5}
{'短评内容': '来北京出差经常住，老板的服务很周到！', '短评打分': 5}
{'短评内容': '酒店的地理位置很好，老板很热心，入住时带着在楼层周围赚了一圈告诉哪里吃涮羊肉，哪里吃东北菜；个人很喜欢这样的公寓式的酒店，很随心，也很安全，推荐！！！', '短评打分': 5}
{'短评内容': '非常愉快的一次住宿体验，房间干净，大床超级舒适，厨房用品一应俱全，感觉和在自己家住没有区别，附近有捷妮露，去地铁，三里屯超级方便，老板人超nice，下次来继续住这_', '短评打分': 5}
{'短评内容': '闹中取静的涉外公寓，东直门外大街往东走快到春秀路几十米就到了。要打电话接才能进去，持卡出入大门和楼门。房间不大，但基本够用，冬天也很暖和。厨房设施齐备，可以自己买菜做饭，盐酱油等可以和老板借，但品种有限。周边生活方便，非常推荐住腻了酒店的同学来过几天私密放松的生活。老板热情健谈，但有的小姑娘服务还不够亲和。房间整体不错，唯一就是洗手间装修简单了点，淋浴缺可以手持的活动喷头，水也容易溅到外面。整体非', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '公寓不错', '短评打分': 5}
