{'短评内容': '位置还不错', '短评打分': 4}
{'短评内容': '位置很方便', '短评打分': 4}
{'短评内容': '位置很方便', '短评打分': 4}
{'短评内容': '酒店环境还可以，就是有点旧了', '短评打分': 5}
{'短评内容': '房间一般，这个价格差不多', '短评打分': 5}
{'短评内容': '不错！不错的。', '短评打分': 4}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '当地最好的酒店之一', '短评打分': 5}
{'短评内容': '总体不错，中间的靠后房间较安静。', '短评打分': 4}
{'短评内容': '本次住1017房，靠近紫阳大道，较为嘈杂。', '短评打分': 4}
{'短评内容': '离公司近，一般般为了方便', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '一般吧，在上饶来说还算可以的酒店，但是在性价比说偏高咯，酒店配套还蛮全的。', '短评打分': 4}
{'短评内容': '非常恶心的不能给C评，只能给好评啦！本人6日下单并付款，并收到京东信息订单确认，表示不可退换和退款。9日晚上和家人高铁到该酒店已经是晚上九点半左右，拿证件到前台登记时，工作人员表示没有和京东合作，也没有我名字的订单，在又累又困又饿的情况下与酒店、京东沟通一个钟，任然没有任何结果，最后本人自掏腰包入住该酒店。入住后又主动与京东沟通，至晚上零点左右酒店才电话确定我的订单有效。', '短评打分': 5}
{'短评内容': '第二次入住了，酒店各方面还不错，就是房间的卫生间小了一点。', '短评打分': 5}
{'短评内容': '大厅很气派，床很舒服，卫生很好，就是离市中心远点。', '短评打分': 5}
