{'短评内容': '环境很一般，有点太旧了，卫生也要搞好吧，给的房型也不对开始', '短评打分': 1}
{'短评内容': '   房间大，有电视，但是比较旧，有一次性洗漱用品，周围有小饭店吃饭挺便宜。离火车站挺远，从公交车到姜庄站下车，相距10米左右。公交车有59，501，509，513。也可到姜庄西下车，距300米左右。百度地图有误。', '短评打分': 5}
{'短评内容': '位置太远了', '短评打分': 3}
{'短评内容': '房间卫生有待提高，卫生死角比较多，总体来说还可以', '短评打分': 5}
{'短评内容': '酒店服务不错。99特价房子应该注意卫生，不能减价减质。', '短评打分': 3}
{'短评内容': '好，性价比不错，就是偏偏了点。', '短评打分': 3}
{'短评内容': '还行吧、这次感觉比上次好点、其他的没什么了。。。', '短评打分': 5}
{'短评内容': '免费升房服务不错，房间卫生很干净，价格公道，适合自驾者。', '短评打分': 3}
{'短评内容': 'hao2222222222222222222222222', '短评打分': 5}
{'短评内容': '距离市中心太远，打的的话会很贵。交通不便，只有一辆公交可以到市中心，而且绕的很远。前台服务态度不是很好，比较冷淡。房间够大，床够大，挺舒服但设施老旧，卫生死角很多，床头柜，桌椅上灰尘很多，窗纱上很多灰尘，貌似住的人不多，隔音不好，晚上会听到狗叫。而且电视频道太少，除了苏州台就只有江苏和CCTV1了。周围环境比较乱，可能是地处村里的缘故吧，不过还算方便，便利店，ATM挺多。勉勉强强及格分吧。', '短评打分': 1}
{'短评内容': '地点和我的目的地相距太远了，打的就花了我一半的酒店费用。', '短评打分': 3}
{'短评内容': '很差，不规范，有线电视都没有', '短评打分': 3}
{'短评内容': '还可以.', '短评打分': 5}
{'短评内容': '交通不便，设施一般，价格便宜，总体还不错', '短评打分': 5}
{'短评内容': '总体还行，就是感觉从网上订购的价格比酒店低点导致服务人员不是太热情。', '短评打分': 5}
{'短评内容': '位置交偏;屋内设施很旧;服务很好, 押金忘记要他们还是退回来了.', '短评打分': 1}
{'短评内容': '设备比较差，但价位这么低，也不能有什么要求。', '短评打分': 5}
{'短评内容': '位置较远，屋里面有杂味', '短评打分': 1}
{'短评内容': '房间收拾的很利索，看上去就很舒服，给我的第一印象还不错。', '短评打分': 5}
{'短评内容': '去蘇州玩滴時候住的這家酒店 感覺酒店比較偏僻附近吃的倒是蠻多的 房間床比較大 廁所不是太幹淨', '短评打分': 3}
{'短评内容': '該酒店的位置稍微有點偏僻，不過還不算很難找，房間的床比較大至於其他設備就比較落伍了', '短评打分': 5}
{'短评内容': '酒店的硬件都比较旧了，服务态度也不好，房间也不干净，就是价格便宜点，但是条件实在不行，位置也不好，打车都打不到。', '短评打分': 1}
{'短评内容': '噪音大，下雨卫生间还漏雨，空气不好', '短评打分': 1}
{'短评内容': '酒店位置有点偏,不是在中心,所以感觉不是很方便；其他方面还是不错的,性价比还是比较高的；', '短评打分': 5}
