{'短评内容': '早餐不咋地，其他还行吧', '短评打分': 4}
{'短评内容': '旧', '短评打分': 3}
{'短评内容': '房间不错，服务态度挺好', '短评打分': 5}
{'短评内容': '外观看着不错，房间破了点，卫生间门框等都是破的，抽屉里都是灰，浴缸的排水口有点堵，房间也没有纸巾和免费的矿泉水。早餐不是一般的简陋，第一天去吃的时候都是冷的，连开水都没有，无语。', '短评打分': 4}
{'短评内容': '今晚还不错，性价比比较高。', '短评打分': 5}
{'短评内容': '酒店位置还可以，门口就有公交车。离市区也比较近。就是房间还要绕过大堂，有时候会迷糊。房间内比较干净，也比较安静。', '短评打分': 5}
{'短评内容': '有房不给住，最后退不了，才给了一间不给看电视的房间', '短评打分': 2}
{'短评内容': '没有餐巾纸，没有矿泉水！谈不上客房服务，毕竟只是入住一晚，但是感觉很失望！毕竟在无锡也算知名的酒店，尽然房间免矿没有?唯一的优点是极速退房服务     ', '短评打分': 2}
{'短评内容': '酒店太破旧，进去找不到房间，有点恐慌', '短评打分': 1}
{'短评内容': '太老了太老老老零零落落零零落落零零落落零零落落', '短评打分': 1}
{'短评内容': '周边有个湖滨路商业街', '短评打分': 3}
{'短评内容': '酒店环境一般，出差还可以住住。', '短评打分': 4}
{'短评内容': '老实说酒店是很老的了，价格是便宜，周围交通还算方便，酒店也好找，就是设施差了点，价格便宜设施差就是相对的了，但是服务质量是差的没话说，连吃早饭的时候稍微多拿了几张餐巾纸都要说的，我们有小朋友的所以稍微多了几张，服务员态度是差的没话说了，下次是再也不去了。', '短评打分': 4}
{'短评内容': '费便宜', '短评打分': 4}
{'短评内容': '还可以吧，位置不错，对面就是公交站，去惠山古镇可以坐快6.价格便宜', '短评打分': 4}
