{'短评内容': '通过京东定酒店很方便快捷，酒店不错，每次去潍坊出差都住这里', '短评打分': 5}
{'短评内容': '挺好，用自助早餐，性价比高', '短评打分': 5}
{'短评内容': '很好，性价比高', '短评打分': 5}
{'短评内容': '好，只一点，控制一下那些抽烟的，毕竟入住的不都是烟鬼', '短评打分': 5}
{'短评内容': '好，只一点，控制一下那些抽烟的，毕竟入住的不都是烟鬼', '短评打分': 5}
{'短评内容': '很好6如果能没有烟味就好了', '短评打分': 5}
{'短评内容': '很好，就是里面很多抽烟的无法控制', '短评打分': 5}
{'短评内容': '房间挺大的，每次都在住，价格合适', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '不错。好评干净卫生又舒适', '短评打分': 5}
{'短评内容': '好咯请我喝了。', '短评打分': 5}
{'短评内容': '这这不就在这呢你们俩月经期间的人类社会上', '短评打分': 5}
{'短评内容': '很喜欢这里', '短评打分': 5}
{'短评内容': '态度一般', '短评打分': 5}
{'短评内容': '每次都住这里', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '床单芝麻大的污染也要扣费，这样的宾馆建议别住，免得弄得心情不好', '短评打分': 2}
{'短评内容': '洗手间空间狭小，很不方便……', '短评打分': 4}
{'短评内容': '还不错，挺安静的', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '不错很好', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '不错，环境服务都很到位', '短评打分': 3}
{'短评内容': '一般吧，有点闷。不知道是不是团购的问题。不是很满意。128的价格，感觉不是很划算。下次不会去这里了。', '短评打分': 4}
{'短评内容': '不知道给他们定的哈哈呵呵', '短评打分': 3}
{'短评内容': '价位适中，服务态度好，周围环境安静，住得舒服', '短评打分': 5}
{'短评内容': '脏，算是商务酒店的一朵奇葩，脏的出奇，前台的工作效率一般是2小时之后加3个催促电话。最可恶的是蚊子的问题，当然，房间本身的卫生程度就有问题又何愁没蚊子。就是个悲剧！！！', '短评打分': 1}
{'短评内容': '非常好！环境好，整洁，服务周到！', '短评打分': 3}
{'短评内容': '新开的酒店 挺不错的 住的挺舒服 就是洗漱用品不是格林统一的，晚上有点冷，可能天气渐暖没空调了吧 还不错。', '短评打分': 5}
{'短评内容': '酒店整体感觉不错,价格经济,交通方便,唯一差异点的就是房间还有点装修的味道', '短评打分': 5}
{'短评内容': '与介绍的无二，非常满意', '短评打分': 3}
{'短评内容': '环境不错，看样子刚装修的，很洁净。只是不知道返现25怎么返啊？结账时直接扣减现金吗？', '短评打分': 3}
{'短评内容': '周边吃饭的地方很多，大商场较远，就一个福乐多超市，出行打的就行，潍坊打的起步价在山东还是很便宜的，5+1。', '短评打分': 5}
{'短评内容': '房间很干净。整洁卫生。', '短评打分': 3}
{'短评内容': '环境还可以究是太偏了', '短评打分': 3}
{'短评内容': '感觉很不错，室内设施挺全，工作人员服务热情，下次还会入住。', '短评打分': 5}
