{'短评内容': '优点：虽然1楼房间干、暖、净，环境：静、美。男老板态度好、服务稳，去送红枣，虎跑泉水桂花茶、走送桂花，来去美滋滋。缺点：1楼院子灯彻夜长亮。浴缸没有一次性罩（建议提供）。大床房是两张床拼在一起，睡起来不是很舒服。早餐培根不是很新鲜。结论：老板娘长得蛮漂亮，为何不爱笑？           除了1楼，民宿已推荐给朋友。', '短评打分': 5}
{'短评内容': '环境超级好，一公里内免费接送，非常方便贴心，还有赠送的虎跑泉水泡龙井，下次还会再来', '短评打分': 5}
{'短评内容': '房间干净，服务好，去西湖也方便', '短评打分': 5}
{'短评内容': '服务好，环境安静，房间干净，离九溪烟树不远，下次还会来。', '短评打分': 5}
{'短评内容': '超赞，大大的露台，这个时节望出去超美的山景，超大双人浴缸，酒店提供一公里接送服务，服务热情，晚间甜品很棒，推荐推荐。', '短评打分': 5}
{'短评内容': '环境很不错，掌柜也很友好，值得推介', '短评打分': 5}
{'短评内容': '亲子出游很适合，夏天再来', '短评打分': 5}
{'短评内容': '很喜欢，有家的感觉', '短评打分': 5}
{'短评内容': '带着小孩入住的，很温馨', '短评打分': 5}
{'短评内容': '山上的温差大了一点，但是环境很好很舒服。老板人也很好，谢谢赠送的晚餐和甜点，推荐！', '短评打分': 5}
{'短评内容': '环境真的很赞，房间也很干净', '短评打分': 5}
{'短评内容': '服务很热情，山里的空气很到位！就是卫生一版，早上15元的早餐价格很人性！', '短评打分': 4}
{'短评内容': '半山腰上的小楼，装修的很有意思。老板车接车送上下山，又介绍周边的餐馆，游览路线很是热情。可惜下了一天雨没去成九溪……', '短评打分': 5}
{'短评内容': '环境还是很好 可惜那几天下雨 不然会更好', '短评打分': 4}
{'短评内容': '位置比較偏，但是空氣好。早餐的話中餐一般，包子都不熱，西式還不錯。', '短评打分': 5}
