{'descr': '无窗', 'star': 2}
{'descr': '都没有入住，也不退钱，就这样吧', 'star': 1}
{'descr': '酒店离地铁不远，而且价格实惠，这在上海实属不易！虽然设施有些陈旧，但是服务还是不错的，上网速度也很给力！', 'star': 5}
{'descr': '离2号线，也就10多分钟，因为地铁出口正在修路，所以拉行李箱不太方便！！！！其他都还好！！！！！！！', 'star': 5}
{'descr': '就看中地点了，离地铁近，离虹桥也近，环境就算了，房间小，其他的凑合吧，没有风筒', 'star': 3}
{'descr': '还不错.....', 'star': 5}
{'descr': '价格便宜，看见地铁，很方便。地铁附近饭店多，吃饭方便，也有各种便利店还有早点，酒店到地铁过个桥红绿灯几分钟，去上海外滩、陆家嘴、虹桥机场火车站地铁2号线方便。', 'star': 5}
{'descr': '给客户买的 没不好的反应 那应该就是好的。', 'star': 3}
{'descr': '房间一股异味，被子潮湿，估计从来没晒过，房间里啥配套没有，关键是前台服务员还很屌，因为这店属于快捷酒店，定位低端，所以前台服务员觉得来这里入住的客户都是下等人，我出门的时候就受了服务员的气，打电话到京东让退钱，京东给我推到艺龙网，给艺龙网说第一让他们赔偿我损失，第二让服务员给我道歉，结果艺龙说他们解决不了，又给我推到京东，我去你妈的。', 'star': 1}
{'descr': '绝对对得起这个价位了。', 'star': 5}
{'descr': '性价比很不错', 'star': 4}
{'descr': '交通便利，到虹桥机场火车站20分钟内', 'star': 4}
{'descr': '因为要去虹桥火车站赶火车，图个便利，交通还不错。', 'star': 3}
{'descr': '环境一般般，就是图个实惠，交通还算方便呢。。。。。没钱的推荐。。。', 'star': 3}
{'descr': '挺好的', 'star': 5}
{'descr': '交通十分方便，周边的吃饭也方便。', 'star': 5}
{'descr': '一般吧这价位在上海', 'star': 4}
{'descr': '离地铁站很近，交通很方便，房间也还干净就是比较小，不过在上海也就这样了', 'star': 5}
{'descr': '如住时没有身份证。有户口还有当地派出所正明都不给入住。感慨呀', 'star': 3}
{'descr': '很脏，有点过分，脏到什么程度呢，床单上有**，有血，很明显是没换过。\r\n一晚没脱衣服睡的，怕得性病。简直失误啊', 'star': 1}
{'descr': '很一般，各方面有待提高。不过床垫不错，空调给力。', 'star': 1}
{'descr': '卫生不好，床单较脏，像没换过。', 'star': 3}
{'descr': '离地铁二号线挺近的，周边就有大的购物超市，到118广场也挺近，房间较大，比较安静，空调都不错。', 'star': 5}
{'descr': '离地铁二号线挺近的，周边就有大的购物超市，到118广场也挺近，房间较大，比较安静，空调都不错。', 'star': 5}
{'descr': '前台服务不知道是属于谨慎还是咋的，每出去回来一次就问来这里是干什么的。才出去没几分钟，去便利店买东西。。。。哎，记性也不会这么差吧。住了两晚，感觉环境很不好，而且房间设施很破旧。', 'star': 1}
{'descr': '前台服务不知道是属于谨慎还是咋的，每出去回来一次就问来这里是干什么的。才出去没几分钟，去便利店买东西。。。。哎，记性也不会这么差吧。住了两晚，感觉环境很不好，而且房间设施很破旧。', 'star': 1}
{'descr': '房间太小，床太小，和如家等不是一个档次！', 'star': 1}
{'descr': '房间太小，床太小，和如家等不是一个档次！', 'star': 1}
{'descr': '房间还可以，主要是价格实惠，离地铁站不远，方便的', 'star': 5}
{'descr': '房间还可以，主要是价格实惠，离地铁站不远，方便的', 'star': 5}
{'descr': '离2号线真的很近，去机场很方便，从6、7号出口出去，向高架桥方向走，过了桥向左看就能看到，环境一般吧，房间比较小而且隔音效果一般，而且酒店服务洗漱用具第二天都不给换新的，真的很无语，惟一的好处是大床房的床真的很大哦~~~PS：过了高架桥直行就有一家莫泰168，两家的距离地铁站差不多。', 'star': 1}
{'descr': '离2号线真的很近，去机场很方便，从6、7号出口出去，向高架桥方向走，过了桥向左看就能看到，环境一般吧，房间比较小而且隔音效果一般，而且酒店服务洗漱用具第二天都不给换新的，真的很无语，惟一的好处是大床房的床真的很大哦~~~PS：过了高架桥直行就有一家莫泰168，两家的距离地铁站差不多。', 'star': 1}
{'descr': '环境不错，前台mm工作很用心～', 'star': 3}
{'descr': '环境不错，前台mm工作很用心～', 'star': 3}
{'descr': '环境  条件等 还算可以', 'star': 3}
{'descr': '环境  条件等 还算可以', 'star': 3}
{'descr': ' 地理位置还好，在2号线旁边。\n房间还算干净\n不过房间小，特别不能接受的是，房间里竟然没有笔！', 'star': 5}
{'descr': ' 地理位置还好，在2号线旁边。\n房间还算干净\n不过房间小，特别不能接受的是，房间里竟然没有笔！', 'star': 5}
{'descr': '地理位不错  交通方便  环境还可以  就是房间感觉有点小  别的感觉还行', 'star': 5}
{'descr': '地理位不错  交通方便  环境还可以  就是房间感觉有点小  别的感觉还行', 'star': 5}
{'descr': '还可以，离地铁站很近，很方便出行。价格也还算不错', 'star': 5}
{'descr': '还可以，离地铁站很近，很方便出行。价格也还算不错', 'star': 5}
{'descr': '酒店交通很方便', 'star': 3}
{'descr': '酒店交通很方便', 'star': 3}
{'descr': '什么都不好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 1}
{'descr': '什么都不好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 1}
{'descr': '交通很方便，离地铁很近，但是大床房房间很小，没有早餐，最重要的是不能刷信用卡，很郁闷                                   ', 'star': 5}
