{'descr': '好评，好评，好评，好评。', 'star': 5}
{'descr': '环境可以，干净 经常光顾了', 'star': 5}
{'descr': '房间较小，干净，但是冬天室内有点冷，开了空调也不觉得暖和。酒店周围饭店很多，离菜市场较近，吃饭和购物都比较方便。交通也比较方便。', 'star': 5}
{'descr': '房间比较干净，但是冬天房间里有点冷，开着空调也不觉得暖和。周边饭店很多，离市场近，离公交车站近，交通很方便。', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '环境比较好，每周都会去 希望网络能更好点', 'star': 5}
{'descr': '干净卫生，前台热情', 'star': 5}
{'descr': '九点环境很好，临近地铁站', 'star': 5}
{'descr': '不错', 'star': 4}
{'descr': '酒店环境不错，不管去哪都喜欢住锦江之星。', 'star': 5}
{'descr': '麻雀虽小五脏俱全', 'star': 5}
{'descr': '还行还行还行还行还行还行', 'star': 5}
{'descr': '一般般吧，房间不是很通风', 'star': 5}
{'descr': '还不错 每次都能顶上 服务不错', 'star': 5}
{'descr': '环境很好，不错的地方，干净卫生', 'star': 5}
{'descr': '入住很方便', 'star': 5}
{'descr': '房间不错，就是我选择商务b，自动跳转商务c', 'star': 5}
{'descr': '房间太小了', 'star': 5}
{'descr': '网络，采暖设施不好', 'star': 3}
{'descr': '酒店环境好，交通方便', 'star': 5}
{'descr': '酒店房间设施很全，服务很好，有停车场，周边吃饭的地方也很多，也是在网上预订的，去了直接入住，很方便！', 'star': 5}
{'descr': '卫生一般，叫的面，都没有给收拾，住了三天，放了三天。有餐厅，吃饭很方便，早中晚都可以在这吃，附近也有别的小吃店', 'star': 4}
{'descr': '环境不错，服务也还可以吧，房间干净明亮，就是有点小，对得起这个价钱，其他都很干净，就是枕头有点脏，给我换了一个，wifi信号不错，整体来说还不错，棒棒哒', 'star': 5}
{'descr': '布草有毛发，停车场没有管理员不方便，酒店服务缺少微笑，房间设施还好。', 'star': 4}
{'descr': '为什么没有双早', 'star': 4}
{'descr': '位置不好找啊，酒店里设施还可以', 'star': 4}
{'descr': '价格比较便宜，性价比算不错的了', 'star': 5}
{'descr': '环境不错，干净，整洁', 'star': 5}
{'descr': '不好', 'star': 1}
{'descr': '2012年6月13日入住天津咸阳路店两间整体很干净，热水24小时很给力，洗漱用品齐全，服务员很热情，交通便利，停车场十分宽敞，停车很方便。只是电视机有点小，信号不好，这是美中不足，希望能像其他区城市的锦江之星酒店一样，不给客人遗憾。', 'star': 5}
{'descr': '周围环境很不好，尤其是晚上，不知酒店还是旁边的饭店，有锅炉，噪音很大，严重影响休息，个别服务人员态度也不好', 'star': 1}
{'descr': '还算干净，不错。就是离市区远点。周围没什么娱乐的地方。', 'star': 5}
{'descr': '三年前刚开业时去过，比现在便宜很多。现在贵了些，也旧了些。基本还行。', 'star': 5}
{'descr': '环境还不错，就是地点离市中心稍微偏点。酒店内部环境还可以。', 'star': 5}
{'descr': '不错的酒店！环境舒适！卫生不错！非常安静1', 'star': 5}
{'descr': ' 位置很方便,价格合理.', 'star': 3}
{'descr': '环境好，地方好，交通方便，服务态度好，值得推介，很好！好满意', 'star': 5}
{'descr': '还不错，就是地毯不是很干净··········', 'star': 5}
{'descr': '交通条件非常便利，购物环境也很方便，早餐单调一般', 'star': 5}
{'descr': '交通出入非常便利。早餐一般，有些单调，卫生环境一般，网络经常不通。', 'star': 5}
{'descr': '交通十分便利，只是招牌太小，不好辨认，早餐花样太少，', 'star': 5}
{'descr': '交通便利，餐饮十分方便，卫生环境一般，招牌太小，不好认，网络经常不通畅', 'star': 5}
{'descr': '住宿条件挺好，非常简单，但是一点都不浪费，房间太小小，电话不通', 'star': 5}
{'descr': '交通非常方便。只是表示很不明显，不太好找，早餐一般。', 'star': 5}
{'descr': '房间挺大的  环境也不错 就是地理位置不是很好啊  但是交通还算方便 ', 'star': 5}
{'descr': '干净干净干净干净干净干净干净干净干净干净干净干净干净', 'star': 5}
{'descr': '很难找到，在马路的非常不起眼的地方。而且感觉被子都是乳黄色的， 不是很干净，房间也很小。。。', 'star': 1}
{'descr': '位置挺好，出行挺方便，房间挺大的，采光很好，挺干净挺舒适的。', 'star': 5}
{'descr': '房间挺宽敞，打扫的很干净，服务很热情，办事很细心，总体觉得挺不错。', 'star': 5}
{'descr': '设施和别的没什么区别。但是房间较小，地方也不太好找，价格还可以。', 'star': 5}
{'descr': '+已入住甚好', 'star': 5}
{'descr': '还好吧，感觉还可以，我想还会去哪儿住的。', 'star': 5}
{'descr': '酒店还不错，周边交通比较便利，内部环境挺干净的，住的还比较舒适。', 'star': 5}
{'descr': '服务态度很好，房间收拾的也很干净，住的很满意。', 'star': 5}
{'descr': '整个环境很好，很干净很舒适，有种家的感觉。', 'star': 5}
{'descr': '地理位置不太好找，要不是我有gps我肯定找不到', 'star': 5}
{'descr': '前台服务非常好，值得表扬。参加了酒店的低碳行动，优惠了10元。', 'star': 5}
