{'descr': '零下一度，房间里还是夏天的薄被子，给我冻得。', 'star': 3}
{'descr': '前台服务好，酒店位置好，酒店环境不错，房间环境好，房间卫生干净，房间窗户好，采光效果好，交通便利，24小时沐浴不错。', 'star': 5}
{'descr': '酒店位置好，房间环境好，床很舒服，床上用品很干净，隔音好，窗户采光好，前台服务很好。值得推存。', 'star': 5}
{'descr': '虽然是特价房，但是房间墙皮脱落发光，卫生间漏水，整个房间一股煤味。', 'star': 3}
{'descr': '每次都住这里，交通便利，前台服务好，房间窗户明亮好，房间卫生好，睡前还有牛奶好，房间环境好，值得推存。', 'star': 5}
{'descr': '酒店地理位置不错，购物也比较方便，就是酒店时间比较长没装修，感觉有点旧，别的都不错！', 'star': 5}
{'descr': '那', 'star': 5}
{'descr': '不错，挺好的，不错，挺好的', 'star': 5}
{'descr': '还可以吧各个方面都可以的很方便啊经济实惠价格还不错的', 'star': 5}
{'descr': '挺好', 'star': 5}
{'descr': '很一般', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '离地铁近，比较方便，位置好，赠送牛奶', 'star': 5}
{'descr': '不错，价格特别实惠', 'star': 5}
{'descr': '67还有返现太实惠了！！！！！！！', 'star': 5}
{'descr': '还行吧一般般', 'star': 5}
{'descr': '还行吧，发票可以多开，十个点的税，牙刷器具要买，不好', 'star': 3}
{'descr': '房间比较小 但是价格便宜 窗户漏风 空调不好用 这个天气住比较冷', 'star': 3}
{'descr': '不错，很好，服务也很好', 'star': 3}
