{'短评内容': '非常好服务好环境好', '短评打分': 5}
{'短评内容': '房间干净,酒店提供的一次性毛巾很赞，很方便卫生！', '短评打分': 5}
{'短评内容': '酒店不错，在人民广场附近，周边小吃很多', '短评打分': 5}
{'短评内容': '服务周到，交通方便', '短评打分': 5}
{'短评内容': '市中心 不错！', '短评打分': 5}
{'短评内容': '英国皇家芭蕾舞团首席舞蹈家Sergei Polunin几近成名前的故事。他一身才华，却拥有着悲伤的过去！有人将浪漫反叛的他比喻成舞蹈界的詹姆士狄恩，他在国际舞坛崛起并爆红，却又在22岁黄金时期离开了一手栽培他的英国皇家芭蕾舞团，但随着身上越来越多的刺青图案，还不时传出，他到底经历了什么？', '短评打分': 3}
{'短评内容': '贵且不值', '短评打分': 2}
{'短评内容': '酒店大堂整洁，前台服务周到热情。', '短评打分': 5}
{'短评内容': '环境不错，比较便捷', '短评打分': 5}
{'短评内容': '一股霉味，电视打不开，浴室排风坏，空调响的像。拖拉机', '短评打分': 3}
{'短评内容': '比较满意了，地理位置很好，价格还很实惠，老板娘人也挺不错的', '短评打分': 4}
{'短评内容': '酒店环境好，周围有上海大剧院，还有人民公园，晚上的活动有着落', '短评打分': 5}
{'短评内容': '大床房应该备一个吹风机，', '短评打分': 5}
{'短评内容': '说加50可返100的，还是给的特价房，合伙骗子', '短评打分': 1}
{'短评内容': '很满意，挺实惠', '短评打分': 5}
