{'短评内容': '舒适，干净，齐全，完美...', '短评打分': 5}
{'短评内容': '习惯了这里的环境，感觉非常满意。', '短评打分': 5}
{'短评内容': '酒店离地铁较近，除此之外都太让人失望了，房间条件很一般，住了三天服务员竟然都没有给打扫过卫生，房间也有一股味道，以后应该不会再选择了', '短评打分': 2}
{'短评内容': '就是普通的家庭房，不过便宜', '短评打分': 4}
{'短评内容': '非常棒', '短评打分': 5}
{'短评内容': '非常棒', '短评打分': 5}
{'短评内容': '还算干净整洁 … 有的灯坏了…总体还可以', '短评打分': 5}
{'短评内容': '环境干净整洁，服务态度好', '短评打分': 5}
{'短评内容': '订完就去住了，房间很大，还很便宜，有洗衣机，就是不太好用，周边交通便利', '短评打分': 5}
{'短评内容': '很快就确认了 洗衣服用 第一次住', '短评打分': 5}
{'短评内容': '还行吧，虽然简欧', '短评打分': 5}
{'短评内容': '综合考虑还行吧，毕竟位置价钱摆在这，话说这是第一次住这种公寓式酒店，受教了！', '短评打分': 5}
{'短评内容': '是公寓式酒店，里面住的人很杂，电梯不是很好，住的房间门不能反锁，门闩坏的，感觉有点不安全。房间里还是挺干净卫生的，小沙发，小阳台都不错，家庭入住还不错。', '短评打分': 4}
{'短评内容': '很不错的哦', '短评打分': 5}
{'短评内容': '十一订的房，价格翻倍，但是除了房间大，好像没什么优点。外部环境太差，电梯一直在晃，走廊地板全是污渍，进去一看，更加失望，很多设施都是破损的，卫生间一大块瓷砖剥落也没人管，窗户纱窗破了，小虫子直接飞进来，最受不了的是热水器，忽冷忽热，没有点技巧，根本没法洗澡。住了两天，竟然没有最起码的客房服务更换洗漱用具，牙膏得省着用。', '短评打分': 3}
{'短评内容': '没之前来的那次好', '短评打分': 3}
{'短评内容': '很棒哈 这个是续住一天的订单~', '短评打分': 5}
{'短评内容': '一个人出差虽然很累，但是回去有种回家的感觉，很温馨，比酒店冷冰冰的好很多，住了4个晚上，很可惜没有时间去玩儿，总体很满意，夜景也不错，22层~ 前台也很好，感谢等我到凌晨办理入住~', '短评打分': 5}
{'短评内容': '环境一般，我是没办法才去住的', '短评打分': 4}
{'短评内容': '酒店交通便利，价格实惠。就是设施旧了点。值得推荐。', '短评打分': 4}
{'短评内容': '离电视塔和地铁站很近，周边也挺繁华，商铺很多。房间挺大的，但是设施有点少，灯也不是很亮，好几个还是坏的，发现蚊子但是没有蚊香。卫生间的热水很充足，不过整体都比较旧了。', '短评打分': 4}
{'短评内容': '家庭式的旅馆，，在小区里面，隔壁居然是住户。。。。', '短评打分': 1}
{'短评内容': '靠近地铁口 只是周围没有什么小店之类的 要去几百米以外的超市  我是不是有点懒了？', '短评打分': 5}
{'短评内容': '设施很差，有的房间没有网线，不说就不会给你安排，要求调还要加钱', '短评打分': 1}
{'短评内容': '房间还挺大，公寓型的，不过就是被子不太卫生，床垫不软和。整体还行！', '短评打分': 5}
{'短评内容': '进入房间之后，感觉效果还是不错的。但是朝着长安路的一侧房间晚上非常吵。住了两晚上，第二天没有服务员打扫卫生。那个公寓的电梯内部设施不敢恭维。', '短评打分': 5}
{'短评内容': '定的舒适单间，去了换了个数码房，房间还大，就是设施太简单了，感觉不够温馨。', '短评打分': 1}
{'短评内容': '挺干净的，睡得也舒服，也不吵，就是房间没电话，空调不会用还得自己跑楼下找前台比较麻烦', '短评打分': 5}
{'短评内容': '宽敞、干净！\n就是房间里应该有块试衣镜才对，卫生间的镜子太小！\n隔音效果略显不足！\n床垫子上铺的略有些单薄，睡着有点硬，感觉有点不舒服！', '短评打分': 5}
{'短评内容': '这里服务态度不错，环境也不错房间空间宽敞，就是隔音效果有点不是很好。其它的都很美好，下次去西安还会订这里。', '短评打分': 5}
{'短评内容': '地理位置不错，交通方便。房间很大，服务也很好。要住必须提前预定，这里的住客暴多，以免当天去没有房间了。', '短评打分': 5}
{'短评内容': '去招聘去那里还不错，离曲江国际会展中心很近', '短评打分': 5}
{'短评内容': '离会展中心很近，房间也挺大，就是电梯和前台的效率实在不敢恭维，我定了4间房，到最后居然被前台搞的都不知道每间房的费用是多少了。出了大也没什么好的了。', '短评打分': 1}
{'短评内容': '店的性价比还不错，就是前台的态度和水平有点问题', '短评打分': 5}
{'短评内容': '130元，3星级的享受，很不错，绝对推荐', '短评打分': 5}
{'短评内容': '房间宽敞、公寓式的酒店东西很齐全，冰箱、洗衣机都有，服务态度也不错', '短评打分': 5}
{'短评内容': '环境挺好，设施挺齐全，性价比挺高，住的挺划算。', '短评打分': 5}
{'短评内容': '房间很大很宽敞，带阳台，设施挺齐全，有的还配备电脑，感觉很方便。', '短评打分': 5}
{'短评内容': '周边环境还好，出行挺方便，吃饭也挺方便，房间布置挺温馨，电视空调都有，住着挺不错。', '短评打分': 5}
{'短评内容': '卫生挺好，舒适度挺好，价格挺合理的。', '短评打分': 5}
{'短评内容': '价格挺实惠的，房间布置也挺好，洗衣机微波炉等设施都有，洗漱用品质量也挺好，用着挺放心的。', '短评打分': 5}
{'短评内容': '服务上相应挺及时的，房间宽敞干净，设施挺齐全，价格也挺实惠，总体感觉很不错。', '短评打分': 5}
{'短评内容': '位置挺好，乘公交打车都挺方便的，内部挺干净，设施挺完善，住的也挺舒适。', '短评打分': 3}
{'短评内容': '服务态度还好，房间挺大挺干净的，基本设施都有，住着有点家的感觉。', '短评打分': 5}
{'短评内容': '服务态度还好，办事速度有待于提供，房间空间很大，基本设施都有，住着挺舒适。', '短评打分': 3}
{'短评内容': '家居化的设计风格，有厨房，设施挺齐全，房间布置也挺温馨舒适，这次住的挺满意。', '短评打分': 5}
