{'短评内容': '老酒店，还可以', '短评打分': 4}
{'短评内容': '很老的酒店了，设施都比较旧。配套不错，有粤菜酒楼和KTV在同一座楼。停车也方便。商务出差还是不错的，离美的很近。', '短评打分': 4}
{'短评内容': '服务太差', '短评打分': 4}
{'短评内容': '设备比较老，我知道的，不过这个价钱满足了。高升酒店的早茶还是非常不错的，现在主要是老人家在那里吃。', '短评打分': 4}
{'短评内容': '酒店比较老了，服务一般，前台人员的效率得提高。早上的早茶价格也比较贵，可能是我太穷了。下次还得找找其它的', '短评打分': 4}
{'短评内容': '老酒店，硬件差', '短评打分': 5}
{'短评内容': '装修、设施陈旧，价格便宜。', '短评打分': 3}
{'短评内容': '在这住了半个月，价格相对便宜，服务可以，就是设施有点老旧', '短评打分': 4}
{'短评内容': '酒店的地理位置还不错，卫生搞的也还可以，设施比较旧，我房间的花洒真的是可以到处洒的，固定不了。                                                    另外，酒店对于摔碎我同学自带药瓶事件的处理，实在是有点小失望。退房时只是告知我们，没有处理意见和具体的补救措施。', '短评打分': 4}
{'短评内容': '酒店服务不错，性价比高，就是设施有点旧，推荐入住！', '短评打分': 3}
{'短评内容': '服务态度好，交通便利', '短评打分': 3}
{'短评内容': '经济实惠，可惜没有电脑房，wifi也慢', '短评打分': 3}
