{'短评内容': '怎么不退押金', '短评打分': 4}
{'短评内容': '隔音不好走廊过于吵闹', '短评打分': 5}
{'短评内容': '隔音不是很好但可以将就', '短评打分': 4}
{'短评内容': '酒店隔音特别差 能听见此起彼伏的啪啪声… 真是醉了… 屋里闷的味道有点难闻', '短评打分': 4}
{'短评内容': '出入方便，附近有很多小吃', '短评打分': 4}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '门死活刷不开，第一遍下去的的时候说我，你不会看错门了吧？我第一次住酒店？第二次叫保安来开，还是开不开，第三次才告诉我门坏了，我拿着这么重的行李，跑上跑下，好玩吗？', '短评打分': 3}
{'短评内容': '不错，服务态度也好！很专业的服务态度，前台着装统一，被褥干净，保洁阿姨的服务态度也很好，热水很及时也很给力！', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '朋友推荐的酒店。网上提前预订。房间干净整洁，宽敞舒适。虽然在闹市但隔音很好！网速超快！价格也便宜。唯一不足的是没有停车场还要自己花钱停车！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境舒适，就是电梯太小，也只有一个电梯', '短评打分': 5}
{'短评内容': '总体来说还可以，但是房间的性价比在大同来说，不算太高，隔音效果非常不好。位置倒是挺方便，周边很多小吃店，商场等，服务也还不错。热水很给力。', '短评打分': 4}
{'短评内容': '房间根本没有标注的25平米，很小，而且说是有朝向楼道的内窗，其实根本没法打开，因为窗子用一块不透明的玻璃钉死了，就相当于无窗，屋子空气很差，但卫生很干净！周边环境，其实算比较热闹，但是都是批发市场，还有一些小店面，连个正经的饭店都没有，不过打车价格实惠，去繁华的地方也不会太贵', '短评打分': 2}
