{'短评内容': '酒店竟然不肯开中央空调，我已经冻感冒了！服务员说柜子里有被子！前台服务态度也差，说随便你去哪里投诉好了！如果带了孩子后果不堪设想！', '短评打分': 1}
{'短评内容': '房间比较大，房内设施很一般', '短评打分': 4}
{'短评内容': '有停车场 房间非常大', '短评打分': 5}
{'短评内容': '附近距离大润发很近，吃东西地方也很多很方便。宾馆作为三星的也很正常有这样的面积已经不错了。但是最让人头痛的就是房间一股霉zhen味。之前睡了床身上发了东西不太舒服，建议换到阳面的房间为好。总体还可以', '短评打分': 3}
{'短评内容': '', '短评打分': 5}
{'短评内容': '还好，设施比较老。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间大小正好，设施齐全，卫生条件也不错，附近购物吃饭都方便。', '短评打分': 4}
{'短评内容': '环境很好，性价比很高。。。', '短评打分': 5}
{'短评内容': '还好。', '短评打分': 4}
{'短评内容': '房间虽大，但是没有窗景，服务也不是很好。', '短评打分': 1}
{'短评内容': '如果游过银滩，想在市区住，推荐。住的是豪标，不贵，房间足够大，设施较新，房间干净，就是早餐简单，他们的服务员和顾客一块抢饭吃，这个尤其不好，你去的晚了，可能就没有了。', '短评打分': 5}
{'短评内容': '我住的是豪单210元，装修确实很新，不过这冷天没有暖气（空调），要加一床棉被才行。早餐太差，只有很少的几样早餐，不如自己出去吃米粉。', '短评打分': 1}
{'短评内容': '不错的，这个价格   装修是4星标准。就是空调打不了制热', '短评打分': 5}
