{'descr': '可以吧.............................................................。', 'star': 4}
{'descr': '不错很好，很干净', 'star': 5}
{'descr': '不是很值得', 'star': 3}
{'descr': '房间里除了床就没地了，没有窗户，没有毛巾，闷得厉害，睡了一夜没盖被子还出了一身汗，还不隔音，唯一让人欣慰的是吧台有个服务员态度还不赖。', 'star': 3}
{'descr': '帮别人订的，还可以吧', 'star': 3}
{'descr': '距离肿瘤医院很近，挺方便的，还不错。照顾病人比较合适。', 'star': 5}
{'descr': '距离肿瘤医院很近，方便，下次还会再来。不错的选择。', 'star': 5}
{'descr': '不错，服务员热情，房间干净，交通便利，离医大三院很近，过马路便是。', 'star': 5}
{'descr': '酒店很偏远，而且房间内部设施很差，服务态度也查', 'star': 1}
{'descr': '感觉不好!自订了不少规则：下午6点之前退房不算半价，要收全价。晚上退房竟然没有发票，后来强烈要求，才从别的地方借开了一张!而且一进店门就看见收银员与客户吵架!哎!', 'star': 1}
{'descr': '房间温度适宜，装修什么的很个性，关键是服务质量不错，住着挺舒心的，房间挺干净的，离肿瘤医院和动力乐松都不太远，想夏天的时候再去旁边的植物园玩玩。', 'star': 5}
{'descr': '房间很宽敞，装修挺有特点的墙上的画不知道是什么做的挺漂亮！屋里的沙发什么的都挺好看的也挺舒服的，感觉不错，很干净。舱室房挺好玩的，就是小点，下次去住住看。。。哈哈', 'star': 5}
