{'短评内容': '房间很大，对家具设施一般但房间用品干净，周边出行方便', '短评打分': 5}
{'短评内容': '酒店房间很大，住着很舒服，服务也很好，很贴心。住了很多次了，非常放心，房间也很干净。会推荐朋友来住。赞', '短评打分': 5}
{'短评内容': '被子太薄一般般', '短评打分': 4}
{'短评内容': '接待姑娘真心漂亮，房间也挺大的，要是有联系方式就好了，住的挺舒服的，以后出差就住这了，经济又实惠，怎么要这么多字才有80积分啊', '短评打分': 5}
{'短评内容': '房间很大，服务很好，满意。', '短评打分': 5}
{'短评内容': '在周围不算便宜的，但是非常差，脏乱陈旧。', '短评打分': 2}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '房间很大，重点距离地铁站超近，南坪万达站4号口出来就是，床大舒服，卫生间也够干净', '短评打分': 5}
{'短评内容': '地理位置非常好，就在地铁四号出口旁边，空间大，床也大，推荐，性价比很高！', '短评打分': 5}
{'短评内容': '住起来还可以，就是有点小贵，要是便宜点就好了。', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '同事说挺好挺不错', '短评打分': 5}
{'短评内容': '住起来还行', '短评打分': 5}
{'短评内容': '少了车站 多了一份安静！', '短评打分': 4}
{'短评内容': '非常好，干净，位置好，还有排档噢。', '短评打分': 5}
{'短评内容': '位置在地鐵站附近，旁邊就有百貨商場購物也輕鬆，價格適中，房間乾淨衛生，還不錯的選擇', '短评打分': 5}
{'短评内容': '还不错哟！', '短评打分': 5}
{'短评内容': '干净卫生，经济型旅馆标准服务。位置好，周围设施便利。', '短评打分': 3}
{'短评内容': '环境各方面都行，性价比高', '短评打分': 4}
