{'短评内容': '房间干净卫生，客房服务态度不满意', '短评打分': 5}
{'短评内容': '太不满意前台的作为，我一直携程订房的，每次去到肇庆都会住的酒店我很失望。我本身付了2晚的房费，应该正常退房。我一直以为携程是14点退房，没看退房时间。喝了午茶12点多回到酒店，问前台，卡还能不能开门，告诉我房间已退了，卫生都打扫好了，我说我行李还在房间，我要取行李，她们直接告诉我，产生了半天房费。我又付了半天房费，回到房间卫生都是脏的，唉。明明只预订了2天，为什么产生房费？为什么不打电话联系我问清', '短评打分': 3}
{'短评内容': '第一入住，总体还行吧，就是早餐种类少了点', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '没有早餐，交通便利，环境不错！', '短评打分': 5}
{'短评内容': '环境优雅，服务好', '短评打分': 5}
{'短评内容': '装修比较新，房间也够大，卫生还可以。电梯间和走道光线不够，最不好的是床垫太软，整个人陷进去的那种软，感觉比7天的床垫差远了，这是最大败笔，中年人或更老的估计腰都受不了。饭市还不错，就是早餐太咸了，什么点心都咸。', '短评打分': 3}
{'短评内容': '地点很好，房间干净，只是外部设施比较旧，一楼是喝茶的地方，味道很大，不过马路对面有一家煲仔饭，实在是太地道了', '短评打分': 5}
{'短评内容': '房间不错，位置很好，交通便利。周围什么都有，酒店设施也齐全，商务出差，居家旅游首选，对了酒店内的餐厅也不错，早餐很好！', '短评打分': 5}
{'短评内容': '干净卫生…', '短评打分': 4}
{'短评内容': '房间不错，位置很好，交通便利。周围什么都有，酒店设施也齐全，商务出差，居家旅游首选，对了酒店内的餐厅也不错，早餐很好！', '短评打分': 5}
{'短评内容': 'ok，基本没有意见', '短评打分': 5}
{'短评内容': '住了一晚，挺舒服的！', '短评打分': 5}
{'短评内容': '性价比挺高的，外表好一般，但房间还可以的，算几好住。', '短评打分': 3}
{'短评内容': '一如即往好', '短评打分': 5}
{'短评内容': '棒棒哒', '短评打分': 5}
{'短评内容': '帮同事定的，很满意。', '短评打分': 4}
{'短评内容': '帮同事定的，听说不错。', '短评打分': 5}
