{'短评内容': '1、环境不错,面积挺大,设施虽然有些旧了,但洗手间还算整洁,性价比不错。服务挺好,帮忙把行李送到房间，一路还有简单介绍。 ', '短评打分': 5}
{'短评内容': '好久没装修了，需要更新一下，旧了', '短评打分': 4}
{'短评内容': '还行，没有一次性拖鞋', '短评打分': 4}
{'短评内容': '早餐很差，环境差，设备差！！！', '短评打分': 1}
{'短评内容': '早餐是自助餐，房间设施有点陈旧。', '短评打分': 4}
{'短评内容': '不错的环境，很贴心的服务。下次还会光临。', '短评打分': 5}
{'短评内容': '哈哈', '短评打分': 5}
{'短评内容': '还行吧。老酒店了，前几年有住过一次。', '短评打分': 4}
{'短评内容': '一般般，还可以', '短评打分': 4}
{'短评内容': '不怎么样', '短评打分': 3}
{'短评内容': '性价比很高，当时是淡季搞活动，安全舒适卫生，值得入住。', '短评打分': 5}
{'短评内容': '搞活动，性价比当时非常高，晚上睡觉很安静，也卫生，值得入住。', '短评打分': 5}
{'短评内容': '位置好  去银滩很方便    ', '短评打分': 5}
{'短评内容': '厕所是玻璃门，可以看到里面，门也关不紧，不好', '短评打分': 4}
{'短评内容': '都还行吧，小孩喜欢 。', '短评打分': 5}
{'短评内容': '是个三人房 房间很大舒服 布局合理 交通方便', '短评打分': 3}
{'短评内容': '酒店服务员态度非常好，酒店装修也很好，我女友说以后来还要住这里~~~ 唯一缺点就是离海滩比较远，不过我们是自驾游的，影响不大！！！顶一下~~', '短评打分': 5}
{'短评内容': '前台服务员很热情,早餐还丰盛,自驾交通方便,房间比较大,没室内停车场.', '短评打分': 5}
{'短评内容': '一直住这家酒店，现在才点评，价格非常不错。房间也够大。\n只是设施目前来看时间长了点。', '短评打分': 5}
{'短评内容': '价格还是很合理的！只是里面的装修显得有点沉了！马桶里的水一直是黄的不知道是什么原因，而且我感觉沐浴露跟洗发水有点不够用。但空调却是很给力的，而且我住17楼风景也不错！', '短评打分': 5}
{'短评内容': '房间很一般，地理位置还不错，交通很便利。也就是这个性价比吧', '短评打分': 5}
{'短评内容': '设施简单，房间布置一般，早餐更简单，实在是难以再次入住。', '短评打分': 1}
{'短评内容': '房间有些小，不过感觉很温馨，总体来说服务很好，感觉也很棒，性价比还可以，给个好评。', '短评打分': 3}
{'短评内容': '一个非常好的酒店。离市中心非常近，而且去海边银滩公园非常方便，酒店门口就是通往银滩的三路公交车。早餐不错，这回住的是三人套间，挺好，挺舒服的。', '短评打分': 5}
{'短评内容': '这间酒店的238房间一般，没有预期想象的那么好，主要是楼层走廊设计太简单，像是一般公寓，没有酒店的味道。', '短评打分': 1}
{'短评内容': '酒店条件非常好，推荐推荐…', '短评打分': 3}
{'短评内容': '住得不错，条件很好，但是酒店的房间不隔音。', '短评打分': 3}
{'短评内容': '酒店的地理位置很好，还有免洗2件衣服，不错。', '短评打分': 5}
{'短评内容': '服务很好，酒店也很大气，早点不好吃，238一间的房间除了大点，其他我真不知道有什么优点，不能无线上网，电视是古董，房间里也没有电脑。。。对不起这个价格', '短评打分': 1}
{'短评内容': '关于凤凰树的设施和服务，早有耳闻，今日一住，果然名不虚传，性价比极高，相信顾客们定会蜂拥而至。', '短评打分': 5}
