{'descr': '一般般，不太好，照骗相差太大了', 'star': 4}
{'descr': '很不错嘻嘻', 'star': 5}
{'descr': '去的有点晚 没停车位了 入口不怎么好找', 'star': 5}
{'descr': '这个价格不错了', 'star': 5}
{'descr': '床是坏的，吱吱的想，吹风机也是坏的，不行呀，以后不会再去坐了', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '很一般的宾馆', 'star': 3}
{'descr': '感觉有点陈旧了', 'star': 5}
{'descr': '就是有点吵，', 'star': 5}
{'descr': '只能说便宜，环境一般！！！！！', 'star': 5}
{'descr': '挺安静的。挺方便', 'star': 5}
{'descr': '房间不错，喜欢住安静点的房间，和服务员说了后也满足了我的要求！', 'star': 5}
{'descr': '房间不错，喜欢住安静点的地方，服务台也满足了我的要求！', 'star': 5}
{'descr': '地段好，国庆节住宿不好找，服务人员很牛', 'star': 3}
{'descr': '国庆出行，住宿困难，不得已住这里，对酒店不想说什么了', 'star': 2}
{'descr': '还不错，位置方便，价格合理', 'star': 3}
{'descr': '可以，不错，就是旧了点，不隔音', 'star': 3}
{'descr': '可以  得得得得得得得得得得得顶顶顶顶顶', 'star': 3}
{'descr': '酒店的位置不错，房间也算干净', 'star': 4}
{'descr': '不错，挺好，适合出差，方便快捷。推荐大家住', 'star': 3}
{'descr': '酒店位置很好找，方便出行！服务人员很热情。', 'star': 5}
{'descr': '住宿环境一般，还可以说的过去，但是位置不太好找。', 'star': 5}
{'descr': '挺干净的', 'star': 3}
