{'短评内容': '简直太差了，就是低档农家乐的装修档次，绝对不会再来', '短评打分': 1}
{'短评内容': '各方面都还行，性价比之选', '短评打分': 4}
{'短评内容': '可以的', '短评打分': 5}
{'短评内容': '优点：酒店位置不错，离亚龙湾海边较近，再马路边，很好找到。缺点：酒店很小设施陈旧，没有电梯，有些房间没有wifi，每天停电几分钟。', '短评打分': 3}
{'短评内容': '还可以，局部区域整修中，离海边十分钟', '短评打分': 4}
{'短评内容': '酒店位置环境不错，唯一觉得这边餐饮消费太高，成倍的价格，六点还行吧，毕竟价格还便宜', '短评打分': 4}
{'短评内容': '前台接待特别好', '短评打分': 5}
{'短评内容': '排期giga排期啥啊可怕了palp萨拉拉', '短评打分': 5}
{'短评内容': '酒店不错，有泳池，也不会很吵，位置挺好，到哪都方便。', '短评打分': 5}
{'短评内容': '便宜实惠。方便有海滩车。', '短评打分': 5}
{'短评内容': '酒店还行，卫生干净，东西整洁，离海边也算近，走十分钟左右就可以到海滩。吃饭也方便，过了马路就是亚泰商业中心，对面还有百花谷商业中心。', '短评打分': 4}
{'短评内容': '很不错，服务一流，京东很棒。', '短评打分': 5}
{'短评内容': '一般般，卫生还行，离亚龙湾有点远。', '短评打分': 5}
{'短评内容': '酒店和想象中有差异，服务质量很一般', '短评打分': 3}
{'短评内容': '环境挺好的，房间价格相比也比较实惠，就是卫生，隔音都不好，我妈妈吃素，附近吃的很贵也没有她能吃的，去海边很方便，就是服务态度不怎么样。', '短评打分': 3}
{'短评内容': '完全没有想象中的好，到了酒店顿时感觉好失望！和图片完全不一样，房间设施非常简单，而且是底楼！好不容易熬过两个晚上，非常后悔预订了这家酒店', '短评打分': 3}
{'短评内容': '位置，环境，服务，尤其是宝安师傅热情周到，前台服务员积极解决问题，赞一个！早餐真心一般，卫生间地漏反味，望改进！', '短评打分': 5}
{'短评内容': '位置非常棒！去亚龙湾的各个景点都不远，只是卫生间地漏反味，希望酒店今后能够解决。早餐太一般，服务不错，尤其是保安师傅太热情周到！', '短评打分': 5}
{'短评内容': '很不错的酒店，适合情侣经济型出游，离商场和海边都不是很远，相对于海边的高档酒店价位，性价比很高，是一个经济又不失情调的小酒店，还有先泳池', '短评打分': 5}
{'短评内容': '蛮不错的地方，很喜欢价格也是十分不错我跟高兴入住这里！', '短评打分': 4}
{'短评内容': '相比周边其他酒店价格便宜很多。基本都可以。', '短评打分': 4}
{'短评内容': '继续赞美白班前台', '短评打分': 5}
{'短评内容': '看评星就可以了，白班前台好有成熟美，是我喜欢的类型', '短评打分': 5}
{'短评内容': '还可以吧………… ……', '短评打分': 4}
{'短评内容': '环境凑合，酒店设施还行', '短评打分': 4}
