{'短评内容': '隔音不好', '短评打分': 3}
{'短评内容': '酒店不错，值得推荐！', '短评打分': 4}
{'短评内容': '空调不热，卫生间马桶还有烟头 不愉快的一次体验 ', '短评打分': 3}
{'短评内容': '性价比比较高。', '短评打分': 3}
{'短评内容': '感觉不错', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 4}
{'短评内容': '来南京很多次了，每次都住这里。值得推荐', '短评打分': 4}
{'短评内容': '来南京很多次了，每次都住这里。值得推荐。', '短评打分': 4}
{'短评内容': '住的都挺好，就是靠地铁路边有点吵', '短评打分': 4}
{'短评内容': '酒店在汉庭的对面，位置还可以，隔壁有家沙县小吃。', '短评打分': 5}
{'短评内容': '酒店不错，外观看起来不大，但是很干净，我觉得比竹山路站附近的如家和格林豪泰要好。不过喜欢面子的朋友，可能会觉得差，实际住进去蛮舒服的，而且不贵！性价比很高！', '短评打分': 5}
{'短评内容': '这家酒店主题不错，交通方便，附近餐饮较多，下次还来。', '短评打分': 3}
{'短评内容': '偏远不去说，服务不好，不是很干净。房间不是想象中的大，梳洗用具几乎没有，连踩脚布都没有，街对过就是汉庭。', '短评打分': 1}
{'短评内容': '条件和卫生还可以', '短评打分': 3}
{'短评内容': '酒店的环境不错 干净卫生 ，不过位置离市中心还是比较远，地铁得坐50分钟左右。另，酒店发票当时没有，留了地址说的是给寄，到现在还没有收到，每次电话联系的前台人员不一样，都不知情，于是事情已复述三遍......我放弃了，因为过了那几天出差的时间，我也报销不了了。', '短评打分': 5}
{'短评内容': '房间装修简陋 蚊子超多 没有独立空调 中央空调也不开 \r\n就是服务态度还挺好\r\n没有早饭', '短评打分': 2}
