{'短评内容': '挺不错 吃饭方便', '短评打分': 5}
{'短评内容': '没有吹风机 房间里很湿冷 被子很薄床很小', '短评打分': 2}
{'短评内容': '还可以吧。', '短评打分': 3}
{'短评内容': '厕所门是坏的，没有WI-FI', '短评打分': 2}
{'短评内容': '无早餐在意料之中，但设施很陈旧，无法连接wafi，早上附近还有人施工，老早就被吵醒了。', '短评打分': 3}
{'短评内容': '在红房 子边上，比较 方便，价格适中', '短评打分': 3}
{'短评内容': '在红房 子边上，比较 方便，价格适中', '短评打分': 3}
{'短评内容': '在红房 子边上，比较 方便，价格适中', '短评打分': 4}
{'短评内容': '在红房 子边上，比较 方便，价格适中', '短评打分': 4}
{'短评内容': '主要是离红房子医院近，周边酒店都差不多这个样子，由于心理预期不高，所以也没有太大的落差感。不过房间设施真的很旧。', '短评打分': 3}
{'短评内容': '价格实惠，卫生比较干净', '短评打分': 5}
{'短评内容': '就是停车不太方便，其他都还好吧', '短评打分': 4}
{'短评内容': '服务态度热情，房间整洁干净，就是周围有建筑施工，有些吵', '短评打分': 4}
{'短评内容': '床单破损严重', '短评打分': 3}
{'短评内容': '不好，不干净，吵。', '短评打分': 3}
{'短评内容': '卫生一般，吃饭方便，服务不周，设备陈旧', '短评打分': 2}
{'短评内容': '离红房子近。 还可以吧', '短评打分': 5}
{'短评内容': '设施一般，就是离红房子最近了，还可以。', '短评打分': 4}
{'短评内容': '位置：菜场附近，较乱，仅是离医院很近  设施：设施配置不全，且都很陈旧。所谓标准大床房，仅为1.35的床，酒店表示是单人间，那么“标准大床房”严重误导客户。入住2人，很拥挤。床很硬，翻身有声音，床品有污渍。隔音效果很差，空调外机声响很严重。牙膏，居然没有提供开封用的那种盖子。。。  服务：较差，提出更换房间要求，酒店拒绝。  卫生：出门在外，大家都很在意卫生。但是酒店的卫生，真是不敢恭维，淋浴房都', '短评打分': 2}
{'短评内容': '酒店离红房子医院近，比较方便。', '短评打分': 4}
{'短评内容': '酒店还可以，离红房子医院很近', '短评打分': 4}
{'短评内容': '服务员很客气的说，还行吧。', '短评打分': 5}
{'短评内容': '服务员很客气的说，还行吧。', '短评打分': 5}
{'短评内容': '酒店环境不错，挺大的，周围吃东西很方便，就是有点远。', '短评打分': 3}
{'短评内容': '房间挺大的  但是设备偏旧 服务挺好的 干净', '短评打分': 3}
{'短评内容': '是快捷酒店,从外表看起来也非常普通,很旧,但安全方面做的很好,而且床睡很舒服,就是洗手间的水龙头水太小了,灯光也有点暗.', '短评打分': 5}
{'短评内容': '性价比较高，总体来说这个价格值了。。。。。。。', '短评打分': 5}
{'短评内容': '相比这个价格来说还可以，就是房间有些味道', '短评打分': 5}
{'短评内容': '房间很宽敞，蛮干净的，而且对面就有很好吃的早餐~~生煎包~强烈推荐~', '短评打分': 5}
{'短评内容': '挺实惠的，周围小吃很多。交通还算方便。房间有点旧。', '短评打分': 5}
{'短评内容': '住的108的大床房。房间很小有点儿挤，但是比较卫生，整洁。第二次住了。主要酒店周围好吃的特别多，各种吃。。。很赞。', '短评打分': 5}
{'短评内容': ' 很好，毛巾等最好自己带。离医院很近。', '短评打分': 3}
{'短评内容': '还不错哦，这次住的128的，挺明亮的，推荐', '短评打分': 5}
{'短评内容': '地理位置很不错，离医院真的很近。酒店比较陈旧，不算太干净。\n\n', '短评打分': 5}
{'短评内容': '地理位置很不错，离医院真的很近。酒店比较陈旧，不算太干净。', '短评打分': 5}
{'短评内容': '挺实惠的。', '短评打分': 3}
{'短评内容': '位置离外滩很近，但周边环境不好，脏乱，酒店设施陈旧，二楼靠近踢脚线的地方反潮厉害，墙皮都掉了，桌椅上一层灰，卫生间有异味，值得肯定的是床很宽，很大，另外遗憾的是窗户居然没纱窗，开窗换气都不敢，怕进蚊子，不过一百零八一夜的价格还不错', '短评打分': 3}
{'短评内容': '不错的哦，房间很明亮很宽敞，也很实惠。下次还来。', '短评打分': 3}
{'短评内容': '酒店的设施很旧，不如如家酒店，性价比不高，不过离红房子医院确实很近。', '短评打分': 5}
{'短评内容': '房子内饰可以，就是有股味道，总体很实惠。', '短评打分': 3}
{'短评内容': '房间预订好了，由于特殊原因在规定时间内没有能到店，于是给酒店打电话说明情况。酒店电话答复晚点来也可以，结果过去第二天结账发现居然不是按照网上预订的给我办理入住的！那你电话里怎么不给我说清楚，而且当天我在前台开房的时候你也没告诉我要另外收房费，这不是坑人吗？黑店吗？酒店负责人过来同样没有给我们解决问题。可气的时候前台接电话的居然不承认电话里说过的话！一直对速8酒店印象很好，经历过这次看清楚某些人的道', '短评打分': 1}
{'短评内容': '房间挺宽敞的，卫生也还好，就是被隔壁噪音骚扰到了，挺闹心的', '短评打分': 5}
{'短评内容': '不错哦，就是不知道停车在哪？那附近酒店也挺多的', '短评打分': 5}
{'短评内容': '位置好，房间大，价格实惠，这是优点。\n缺点：1、前台服务。入住和退房的时间都很长，没有经济酒店快速的标准。入住时候服务员还是坐着的，感觉像大爷。退房时候一位貌似熟手的服务员还浪费了我一张消费卡，叫我刮开密码了才跟我说不能用，不是坑我吗？不然还能送送人。\n      2、卫生间有个灯坏了，很暗，被告知订的房型就这一间，也没得换。说好晚上7点半来换灯泡的，等8点半回酒店问了才说工程人员还没上班，这是什', '短评打分': 1}
{'短评内容': '还行吧，房间里面是灰色的地毯，也看不出来是干净还是脏。', '短评打分': 5}
{'短评内容': '店，还算干净。自觉来打扫卫生，看到什么缺了都回来补充。服务还不错', '短评打分': 5}
{'短评内容': '已经住过几回了，不错，入住率很高，经常客满。', '短评打分': 3}
{'短评内容': '还不错！环境可以！', '短评打分': 3}
{'短评内容': '十酒店位置好，比较安静。周边好多吃的，买水果很方便。', '短评打分': 3}
{'短评内容': '环境一般，服务一般，路边的房间有点吵，很旧的感觉', '短评打分': 1}
{'短评内容': '房间很大，有窗户通风不错，电话是坏的，毛巾很旧。', '短评打分': 5}
{'短评内容': '很不错，就是放假里面的洗澡的是透明的，太不习惯了。', '短评打分': 5}
{'短评内容': '不错，床很大的，除了有一个房间的空调不好使外，其他都很满意，下次还会去···', '短评打分': 5}
{'短评内容': '价格便宜，但卫生没有如家好。', '短评打分': 3}
{'短评内容': '北外滩，老城厢，闹中取静。附近是居民的生活区，交通便利，饮食方便，超市便利店也有的，赞一个。\n价钱实惠，前台服务也不错。', '短评打分': 5}
{'短评内容': '性价比比较高，就是促销特价和正常价差别太大，只适合短住', '短评打分': 5}
{'短评内容': '环境挺好的，只是房内有一种味道，但是空调开起来就没有了。', '短评打分': 5}
{'短评内容': '酒店物美价廉,不错', '短评打分': 3}
{'短评内容': '连锁酒店…一如既往的经济服务…周围处于上海老居住区…', '短评打分': 5}
{'短评内容': '位于杨浦区杨浦大桥下面，周围市场较多，靠近医院…', '短评打分': 5}
{'短评内容': '还不错，比较干净，因为晚到没我订的房型免费升级了。', '短评打分': 5}
{'短评内容': '很不错。环境也很好，交通方便。服务态度也蛮好的。我当时的预定的房型没有了，主动帮我免费升级了房型。就是酒店沐浴的喷头不是很人性化。洗澡就必须洗头。还有就是牙膏不好挤。', '短评打分': 5}
{'短评内容': '很干净 很不错 房间也挺大 吃饭什么的都挺方便', '短评打分': 5}
{'短评内容': '自有不错的餐厅，靠近杨浦大桥，浦东浦西都很方便。酒店服务员态度很好，比较干净，性价比挺高，值得一试！', '短评打分': 5}
{'短评内容': '酒店周边吃的很多，饭店都很干净，交通还算便利，离地铁远了点。酒店本身管理严格，也比较干净，值得推荐！', '短评打分': 5}
{'短评内容': '房间很大.隔音也不错.周围各种小店很多.买东西很方便.值这个价.', '短评打分': 5}
{'短评内容': '房间蛮大，周围吃的都蛮方便', '短评打分': 3}
{'短评内容': '该酒店性价比还是不错的,就是卫生间不太好,保下次还会续住的.', '短评打分': 5}
{'短评内容': '离红房子医院很近，交通很便利。屋内设施还可以，性价比蛮高', '短评打分': 5}
{'短评内容': '在这价位上房间还可以的，就是卫生间洗澡的不太好，下次我还会入住的。', '短评打分': 3}
{'短评内容': '设施还可以，性价比还不错。离红房子医院杨浦院区很近。', '短评打分': 5}
{'短评内容': '住过一晚了，还不错，隔音不好。', '短评打分': 3}
{'短评内容': '态度不好，房子便宜。将就，可以用。外面有点吵', '短评打分': 5}
{'短评内容': '非常不错 很大很很干净 吃饭的地方也多。。。', '短评打分': 5}
{'短评内容': '已经是第二次入住了，很满意，房间很大。下次会再来', '短评打分': 5}
{'短评内容': '性价比较高，服务好，特别是停车师傅，设施稍微有点差。', '短评打分': 5}
{'短评内容': '总体感觉还不错，蛮温馨，房间有贴有爱的墙纸。退房时候有个人还说：祝二位身体健康。心情好', '短评打分': 3}
{'短评内容': ' 服务态度好，但在走廊上能听到房里人打电话', '短评打分': 3}
{'短评内容': '服务，卫生，环境都比较好，性价比也可以。但房间硬件有所损坏，尤其有的洗手间的喷淋已经坏建议更换！冬天被子太薄，我们这次入住的客人都冻病发烧感冒了，房间应备机动被子，以方便客人使用。', '短评打分': 5}
{'短评内容': '靠近南京路蛮好，环境也不错。', '短评打分': 3}
{'短评内容': '一如既往啦 ，评论过很多次了 方便干净 房间也大', '短评打分': 5}
{'短评内容': ' 干净舒适，服务台的先生非常热情，办理入住和退房的时候发现客房很紧张，最好早些预定。', '短评打分': 3}
{'短评内容': '前台服务态度好~~室内环境良好~~商务房面积挺大~~就是柜子太小~', '短评打分': 5}
{'短评内容': '房内设备比较齐全，环境还可以，价格优惠！', '短评打分': 5}
{'短评内容': '交通比较便利，服务态度挺好，就是设施有点旧了。', '短评打分': 5}
{'短评内容': '交通比较便利，吃饭的地方还挺多，服务态度不错。', '短评打分': 5}
{'短评内容': '周末108元订的商务大床房，还有消费券，超值啊……房间很大，也很干净，住着特别舒服。前台服务态度也特别好，交通不是很方便。相比于其他酒店周末提价，速8周末反而便宜一些，真的很给力', '短评打分': 5}
{'短评内容': '隔音不好呀，其他还可以，比较实惠！总体不错。', '短评打分': 5}
{'短评内容': '感觉可以，周边就餐特方便。毕竟在上海这个价位相当不错了。缺点是离地铁有点远', '短评打分': 5}
{'短评内容': '还可以，洗脸台下面漏水，设施有点旧，换了房一样', '短评打分': 3}
