{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '感觉服务差，现在是下午18:28分，目前没人来打扫过房间，打2个电话过去接线员说服务员没上班，要等到19:00以后才可以打扫', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '设施太久，空调风扇噪音太大，前台态度太一般般。', '短评打分': 3}
{'短评内容': '感觉还不错，就是早晨还睡懒觉的时候服务员就开始敲门打扫卫生了，服务态度虽然好，但这么早敲门客人感觉却不是很好。', '短评打分': 4}
{'短评内容': '还行吧。。', '短评打分': 3}
{'短评内容': '位于市中心，交通便捷，大堂在八楼。设施还行，灯光偏暗了些。', '短评打分': 5}
{'短评内容': '还可以，旧了点', '短评打分': 5}
{'短评内容': '酒店干净卫生，周边环境设施齐全，交通便利，不错。', '短评打分': 5}
{'短评内容': '非常非常地满意！下次还会再光临本店。', '短评打分': 5}
{'短评内容': '差不多，也就这样吧！', '短评打分': 5}
{'短评内容': '性价比高，房间卫生不好，有待提高，位置不错', '短评打分': 3}
{'短评内容': '房间设施比较旧，交通比较便利', '短评打分': 5}
{'短评内容': '。。。', '短评打分': 5}
{'短评内容': '是是是是是是是是是是是是是是是是是是是是是', '短评打分': 5}
{'短评内容': '环境很好，配套设施有些陈旧，性价比很高。', '短评打分': 5}
{'短评内容': '一间好房，一张大床，呵呵&hellip;&hellip;', '短评打分': 5}
{'短评内容': '还可以吧！！！！！！！！', '短评打分': 5}
{'短评内容': '这是啥意思？要送我京豆就直接送哈', '短评打分': 5}
{'短评内容': '不知道这个测试房型是啥个意思？', '短评打分': 5}
{'短评内容': '酒店位置好，吃喝玩乐极为方便，房间很大但设施一般，第一天的大床比较硬，第二天要求换间软的，前台满足了需求，睡的很舒服', '短评打分': 5}
{'短评内容': '海口市中心，正对人民公园，楼下餐厅、酒吧众多，还有万达影院，下次还会住', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还会再来！', '短评打分': 5}
{'短评内容': '入住退房超慢。', '短评打分': 5}
{'短评内容': '很不错！地理位置很好！房间也很大！', '短评打分': 5}
{'短评内容': '酒店环境很好！交通很方便！在京东订房很快捷！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店楼下就是ktv 吵到半夜三点。投诉好几次才解决。一宿没睡好', '短评打分': 3}
{'短评内容': '不怎么样，被子有煤油的味道，第一晚都没睡着！订房确认了一个小时！', '短评打分': 2}
{'短评内容': '服务态度太差', '短评打分': 2}
{'短评内容': '酒店前台服务态度差，房间旧，烂', '短评打分': 2}
{'短评内容': '最大特色是周边配套设施齐全，吃、住、玩、购十分方便。美中不足是房间内通风性不好，空气不新鲜，建议服务员客人未入住前让房间透气！', '短评打分': 5}
{'短评内容': '环境好，舒适。', '短评打分': 5}
{'短评内容': '挺好的 经济实惠', '短评打分': 5}
{'短评内容': '房间有点味道。', '短评打分': 5}
{'短评内容': '酒店位置很好，楼下就是大商圈，酒店床上用品蛮干净，就是放假晚上睡觉会听到车辆的声音，总体感觉还挺好的，下次来还住这。', '短评打分': 5}
{'短评内容': '硬件设施还算可以，周边环境也不错，处在商圈中', '短评打分': 4}
{'短评内容': '交通比较方便，并且有比较多的娱乐设施。试试可以推荐的。', '短评打分': 4}
{'短评内容': '一开始没有电视 后来有了，没有网络 没有有线网，无线信号不好，房间很冷，四面透风', '短评打分': 3}
{'短评内容': '工作人员态度可好了！赞！', '短评打分': 3}
{'短评内容': '大堂不错有东南亚风格，电梯好小，房间还是有点潮。床硬。', '短评打分': 5}
{'短评内容': '房间感觉比较小，一进去的时候房间味道挺大的。房间隔音效果差……走廊上各种声音都能听到。而且住宿期间没有保洁人员打扰房间卫生！！不过交通便利，各种吃喝玩乐一应俱全。若是玩乐型的选择这里还是不错的', '短评打分': 3}
{'短评内容': '环境很好，交通放便，前台服务员态度很好。要求由大床房改双人房10分钟内处理好，非常满意。', '短评打分': 5}
{'短评内容': '有点吵，挺方便的', '短评打分': 3}
{'短评内容': '超级方便，楼下什么都用，省下了不少打的费用，就是一楼没有前台，第一次去的人可能会有点找不到方向', '短评打分': 5}
{'短评内容': '购物吃饭都方便，设施还行， 出差选择。还行吧', '短评打分': 5}
{'短评内容': '设施很好', '短评打分': 3}
{'短评内容': '总的来说还不错，环境挺干净的，就是客房服务慢了一点', '短评打分': 5}
{'短评内容': '房间还不错，就是卫生方面再加强点就好了', '短评打分': 3}
{'短评内容': '卫生不错', '短评打分': 3}
{'短评内容': '房间设施还可以，周边也方便，就是内部结构有些复杂。容易绕糊涂。', '短评打分': 3}
{'短评内容': '基本上可以。房间卫生不到位。房间冰箱里有垃圾', '短评打分': 3}
{'短评内容': '抱小孩上床时发现床上有小虫，好几只呢。', '短评打分': 3}
{'短评内容': '黄淑鹏于4月26日至27日入住海口市万国大都会酒店', '短评打分': 3}
{'短评内容': '万国酒店是万国大都会的一部分。大堂在八楼，八楼外有屋顶花园及影院﹑西餐厅等。八楼以上住宿。酒店融在闹市中心，购物游玩方便。', '短评打分': 3}
{'短评内容': '风景不错，细节不够上档次', '短评打分': 3}
{'短评内容': ' 交通，购物， 吃饭都方便。 房间安静，设施还可以。 ', '短评打分': 5}
{'短评内容': '价格适中，交通便利。在万国大都会在里面什么都有。', '短评打分': 5}
{'短评内容': '还可以吧！环境不错啊！一走出就是电影院啊！还不错！！', '短评打分': 5}
{'短评内容': '去年到万国酒店非常好今年服务没去年好了。', '短评打分': 3}
{'短评内容': '不错，房内的配置都很到位，卫生也很好，只是第一次到这家酒店，人生地不熟的，转来转去都不知酒店的大厅在哪，又找不到哪座电梯可到上13楼，真费了好大劲。', '短评打分': 5}
{'短评内容': '酒店前台小姐服务态度可以但工作不够仔细我明明已经预订的房间但一直说没有害的我打了一通电话才搞好', '短评打分': 3}
{'短评内容': '环境不错，服务也好，很满意。', '短评打分': 3}
{'短评内容': '＋酒店还不错，只是下面一楼看不到提示，不知酒店大堂在哪里，费了点时间', '短评打分': 3}
{'短评内容': '前台的服务员一张晚娘的脸，像似被人欠了八百万似的，真是无话可说的了。。。。。', '短评打分': 1}
{'短评内容': '缺点：位于市中心闹市区，很嘈杂。酒店位于商场的八楼以上，楼下有酒吧，夜里可想而知。服务人员服务很一般。没有吹风机。优点：房间大，卫生间卫生还可以，楼下是商场，逛街就餐比较方便。但是商场没有什么好牌子。', '短评打分': 1}
