{'短评内容': '酒店不错。位置也很方便。', '短评打分': 4}
{'短评内容': '一直关注没毛病喜欢', '短评打分': 5}
{'短评内容': '酒店招牌非常显眼，装修依旧还是这么温馨，装修很新很好，房间很大，窗户很大，装修符合年轻人需求，大堂很大，很大气，很明亮，走廊很干净，很明亮，走廊装修也很高大上有星级酒店的感觉，墙面很干净，走廊隔一段就有两个大大的灭火器，每个消防通道都有摄像头，卫生间很干净，很大，卫生间也设计很好，还额外配备了洗漱用品，有吹风机，浴巾是封包的很干净，很安全，地巾也非常干净，设施齐全，冲凉花洒都很大，有两种莲蓬头可供', '短评打分': 5}
{'短评内容': '酒店招牌非常显眼，装修依旧还是这么温馨，装修很新很好，房间很大，窗户很大，装修符合年轻人需求，大堂很大，很大气，很明亮，走廊很干净，很明亮，走廊装修也很高大上有星级酒店的感觉，墙面很干净，走廊隔一段就有两个大大的灭火器，每个消防通道都有摄像头，卫生间很干净，很大，卫生间也设计很好，还额外配备了洗漱用品，有吹风机，浴巾是封包的很干净，很安全，地巾也非常干净，设施齐全，冲凉花洒都很大，有两种莲蓬头可供', '短评打分': 5}
{'短评内容': '酒店旁边有个很大的停车场 还是免费的 ', '短评打分': 5}
{'短评内容': '周边环境不错，但设施不好：！离奥特莱斯近，购买衣服很方便！周边吃饭的地方多，特别丰富，应有尽有！ok', '短评打分': 4}
{'短评内容': '干净服务员态度好没毛病', '短评打分': 5}
{'短评内容': '环境太差！！！失望！！！！', '短评打分': 5}
{'短评内容': '可以可以可以', '短评打分': 5}
{'短评内容': '酒店方面服务很好 前台很有耐心', '短评打分': 5}
{'短评内容': '连续住了一个礼拜，整体感觉还是挺赞的～京东预定比其他更划算～或许运气好碰到活动☺☺☺公司仓库在那边，住华南城绝对首选～吃的，喝的，逛的通通都有，选择很多～', '短评打分': 5}
{'短评内容': '连续住了7个晚上，感觉还是不错的～晚上点宵夜送餐小哥上去都会电话确认，赞～', '短评打分': 5}
{'短评内容': '可以，很不错，服务好', '短评打分': 5}
{'短评内容': '便宜点了。呵呵', '短评打分': 5}
{'短评内容': '不错经济实惠，干净', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '一家住的很好', '短评打分': 4}
{'短评内容': '服务态度很好，房间也很干净', '短评打分': 5}
{'短评内容': '前台送了张会员卡，房间很大，以后再住7天就能享受会员价了，32个赞', '短评打分': 5}
{'短评内容': '附近吃饭比较方便，房间挺干净的，服务也周到', '短评打分': 5}
{'短评内容': '一般了', '短评打分': 4}
{'短评内容': '推荐', '短评打分': 5}
{'短评内容': '房间一般，7天连锁酒店大多都这样，厕所的抽风机声音实在太大，半夜还有异响，睡不好！！！', '短评打分': 5}
{'短评内容': '环境还好，需要加强', '短评打分': 4}
{'短评内容': '感觉都一般般。', '短评打分': 4}
{'短评内容': '方便，价格很乱，相信是能蒙一个算一个', '短评打分': 5}
