{'短评内容': '房间冷', '短评打分': 3}
{'短评内容': '这家店住的真的很舒服，房间很大，卫生做的很干净。前台女孩子很漂亮服务很好。周边交通方便，吃饭的餐馆也很多。酒店的隔音好。wifi链接很快，能够满足我办公需要。酒店走廊给人的感觉也很新。床单被套都很干净，浴巾也用着蛮舒服。空调很给力。 房间听说是去年新装修的，整个设施都很新，墙上贴的背景图案很好看。晚上工作回来洗个澡真是太舒服了，淋浴水很大，真的是三秒速热。另外酒店晚上有人巡逻，很是让人放心，出门在', '短评打分': 5}
{'短评内容': '不该没有停车位', '短评打分': 5}
{'短评内容': '卫生差，没窗户', '短评打分': 3}
{'短评内容': '还算干净，毛巾牙具都是包装好的', '短评打分': 4}
{'短评内容': '不错，房间挺干净的，设施设备也齐全，交通方便，周围吃饭购物也很方便，总体来说是很好的,各方面服务都蛮好的，会一直坚持用携程，各方面都挺好的', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '价格便宜，环境很好，干净卫生', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一次非常不错的体验，一如既往的好，朋友旅游来这边，离家不远就选择来这边，房间很明亮，主要是卫生很干净，附近就有公交站，坐车很方便', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '里面喝水用纸都要算消费，事先没提示，有点黑旅馆的感觉，消费还不能开进发票，气死了', '短评打分': 1}
{'短评内容': '酒店周边环境一般，不过有免费停车场，停车方便，有吃饭的地方，但店不多。酒店里面环境干净，就一般快捷酒店的程度。要求不高的话，还行。', '短评打分': 3}
{'短评内容': '酒店直接订房内宾价128', '短评打分': 3}
{'短评内容': '房间挺大，，卫生间太小了，背靠学校  有点吵', '短评打分': 4}
{'短评内容': '思密达', '短评打分': 4}
{'短评内容': '房间住着还舒服。如果步行去曲江周连的景区还是略偏远一点', '短评打分': 5}
