{'短评内容': '前台没有告诉我有没有早餐。刚刚住进来，准备出去吃饭。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '帕子有点撇', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一到店办理入住  前台态度特别差 交押金问可不可以微信理都不理  走廊光线比较暗路中间放了一桶水也没有任何提示 就撞洒了一脚的水  房间里的的吹风线是用胶布缠了的 不怕漏电吗 一点安全意识都没有 大家可以参考一下', '短评打分': 2}
{'短评内容': '酒店虽旧点卫生不不错价格合理。就前台服务态度极差', '短评打分': 4}
{'短评内容': '将就吧', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '周围不知道是什么……好像发电机……又好像排气扇的噪音……很烦人，……此外…酒店服务态度还好……设备一般……价钱也不贵……', '短评打分': 3}
{'短评内容': '可以吧，有些吵……房间感觉不是很好，电视小……', '短评打分': 4}
{'短评内容': '总体不错，实惠。', '短评打分': 5}
{'短评内容': '可以一般般……', '短评打分': 3}
{'短评内容': '环境不错，服务也挺好，就是没窗户', '短评打分': 3}
{'短评内容': '一般般，铜梁的这个价位的都不咋样', '短评打分': 3}
{'短评内容': '感觉象是老的国有酒店，但说是有wifi实际上我总是上不了，问总台，总说你多上几次就得了，但我至到离店也不上不了', '短评打分': 3}
{'短评内容': '周围热闹，出行方便，第二次入住', '短评打分': 3}
{'短评内容': '第二次入住了，整体条件还是很不错的，距离步行街也很近', '短评打分': 5}
{'短评内容': '住宿条件不错，住的也比较舒服，就是两次住宿都有急事，没有吃到早饭', '短评打分': 5}
{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '还好，在当地算是不错的了 。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还可以吧，就是满走廊的火锅味道！前台太不专业了。', '短评打分': 1}
{'短评内容': '总体还可以，就是满走廊的火锅味；还有前台不是很专业。', '短评打分': 3}
{'短评内容': '房间不是很大，不过在当地来说还是算可以的了。', '短评打分': 5}
{'短评内容': '条件不错，下次还会住', '短评打分': 3}
{'短评内容': '酒店设施一般，但干净卫生，交通便利，价格适中。', '短评打分': 5}
{'短评内容': '周围还是比较繁华，出行比较方便。要是前台那边能有铜梁旅游攻略，就更好了，出去到哪里都要问路。。。', '短评打分': 5}
{'短评内容': '到铜梁办事，在龙城大酒店住了一晚（单间）。总体感觉不错，设施到位，服务也好，房间干净明亮，出门也比较方便，下次来还会住此店。不足的一点就是房间小了点，但价格还算可以。另外规定在中午一点钟前退房本人感觉很人性化。', '短评打分': 5}
{'短评内容': '服务卫生、设施方面都很到位，环境也很好，价格还不贵，值得推荐。', '短评打分': 5}
{'短评内容': '酒店设计的很漂亮，院子里有山有水的，空气也很好，也很安静，在这睡眠质量很好。', '短评打分': 5}
{'短评内容': '在当地来讲还不错，显得挺有档次，价格也不贵。', '短评打分': 5}
{'短评内容': '这家酒店很安静，也很干净，装修也不错，住的挺舒适。', '短评打分': 5}
{'短评内容': '卫生较好', '短评打分': 5}
{'短评内容': '客房收拾的很干净，很舒适，窗外的景色也很吸引我的眼球，使我身心放松！', '短评打分': 5}
{'短评内容': '服务还不错，很周到，处理事情很专业，给人的感受很好。', '短评打分': 5}
{'短评内容': '位置不错，步行就可以到达步行街，购物很方便。', '短评打分': 5}
{'短评内容': '酒店给我的整体感觉还不错，房间很舒服，配套设施挺齐全的。', '短评打分': 5}
{'短评内容': '酒店的环境很美，旁边还有个公园，可以去散散步，欣赏一下风景，不错。', '短评打分': 5}
