{'短评内容': '房间装修太老，设备很差', '短评打分': 2}
{'短评内容': '环境很差，不值那个钱', '短评打分': 1}
{'短评内容': '就是冲着温泉去的。除了温泉水实在棒，之外的不多说。', '短评打分': 3}
{'短评内容': '服务很好，环境也可以，温泉泡的很舒服。下次还会去', '短评打分': 5}
{'短评内容': '交通不便', '短评打分': 4}
{'短评内容': '还可以吧。', '短评打分': 4}
{'短评内容': '每年冬天都去汤泉镇泡温泉，基本都到得山水情，还不错很舒服。', '短评打分': 3}
{'短评内容': '去的比较多，温泉不错。', '短评打分': 5}
{'短评内容': '该酒店有点老，房间有异味，总体还过得去。。∵，，，，，，，，，，', '短评打分': 5}
{'短评内容': '酒店有异味，中午，晚上吃饭上菜太慢，总件还过得去。。:。。:', '短评打分': 5}
{'短评内容': '不错，泡温泉很不错，哈哈哈哈哈哈', '短评打分': 4}
{'短评内容': '总体不错，主要为了温泉去', '短评打分': 4}
{'短评内容': '很好的一次体验，就是房间设施旧了点，不过对得起房价', '短评打分': 4}
{'短评内容': '温泉水有硫磺味道，很好。服务员也热情，孩子过生日还送了长寿面，很温馨。下次还来。', '短评打分': 4}
{'短评内容': '很不错。适合度周末的好地方。', '短评打分': 3}
