{'descr': '第一次在京东定酒店 方便快捷 价格实惠 还反京豆多多~~~~~~~', 'star': 5}
{'descr': '还算不错', 'star': 5}
{'descr': '汉庭里面比较一般的店面，主要是房间风格狭长像是大学宿舍一样，房间号很多不连续，早餐种类很少不如去外面吃。', 'star': 3}
{'descr': '很好的酒店', 'star': 5}
{'descr': '还行吧就是这样啊好吧好吧嗯嗯嗯嗯嗯嗯', 'star': 5}
{'descr': '住宿条件基本可以，性价比较高。', 'star': 5}
{'descr': '还不错，可以', 'star': 5}
{'descr': '相比上海的汉庭，这边大点，还不错。', 'star': 4}
{'descr': '位置还是比较方便的', 'star': 5}
{'descr': '靠街边的一侧略吵，别的还行，房间整洁，空间也没问题', 'star': 5}
{'descr': '11111点半到晚上就是的事了疯了吧你的事了疯了吧你的', 'star': 5}
{'descr': '必vwwsddfg', 'star': 5}
{'descr': '房型可以，推荐来这一家。', 'star': 5}
{'descr': '退房时手表忘记酒店了，连个通知电话都不打', 'star': 4}
{'descr': '环境挺好的，交通也方便', 'star': 5}
{'descr': '便宜是最大的优点，基本上找不到这个价格了吧', 'star': 5}
{'descr': '经济实惠，就是有一边靠马路，其他满意', 'star': 4}
{'descr': '马马虎虎的', 'star': 4}
{'descr': '价格便宜，房间一般', 'star': 3}
{'descr': '还行吧，价格便宜，就是设施有点老化，隔音差', 'star': 3}
{'descr': '给家人定的，离住的地方比较近，算得上舒适，干净卫生，如果住在水佐岗附近是个不错选择，楼下也有吃的地方', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '比较方便', 'star': 4}
{'descr': '挺好的，很安静，在小区里面。', 'star': 5}
{'descr': '性价比高', 'star': 4}
{'descr': '稍许有些偏', 'star': 5}
{'descr': '商务出差，随便住住。。。。。。', 'star': 3}
{'descr': '这个地方离党校很近，环境尚可，对面工地也不是太吵', 'star': 5}
{'descr': '房间不错 ~~~~舒适  服务态度好！！！价格合理', 'star': 5}
{'descr': '这次住的房间有点湿气重，厕所有味道，还有蟑螂往床上爬', 'star': 5}
{'descr': '环境还不错，价格也算适中！\n服务还需提高！\n停车场位置紧张！', 'star': 5}
{'descr': '现在酒店对面在搞基建，比较吵；交通也不太方便。', 'star': 1}
{'descr': '4月17-19日在该酒店住了三天，搬了三次房，感觉很不爽：第一天住进去后感觉气味很大，要求换房间，总服务台说当天已客满，答应第二天换，且房费打88折，送一份早餐，最后结帐时另一服务员不肯认账，没给予任何优惠；第二天换了房间后，马桶是坏的，只好又换了一间，我感觉最后这一间还算满意。总体感觉卫生还不错，但因酒店对面在搞基建，很吵，晚上要11点后才安静下来。另外，酒店旁边没有公交站台，离傅佐路公交站台较', 'star': 1}
{'descr': '酒店虽然是山西路店，但其实跟山西路还是有段距离的，走到湖南路大概要15到20分钟，公交也只有114。\n我住的是4楼，房间挑高很低，但床很大，很给力，住的挺干净的，挺好，楼下往前走一点有个中式快餐的地方，价格很实惠。', 'star': 5}
{'descr': '为了给其他酒店还不错。中规中矩，就是周边的公交比较少，离地铁也比较远。另外隔音很差，隔壁说什么都能听见。', 'star': 5}
{'descr': '房间不大但挺别致卫生不错就是地理位置不太好找推荐\n', 'star': 5}
{'descr': '那的男服务员态度不好！酒店外面施工比较吵！', 'star': 1}
{'descr': '酒店很干净，条件不错，周围吃饭的地方不少。就是有点不太好找。', 'star': 5}
{'descr': '各方面还行,有家的感觉。前台服务贴心到位 。', 'star': 3}
{'descr': '服务挺好，设备齐全，卫生也打扫得很好，网速开始很慢，后面就很快了\n只有大厅有无线网，如果房间也覆盖无线网就更好了', 'star': 5}
{'descr': '酒店很干净，很安静，就是交通不是太方便，虽说在山西路湖南路附近，但是却是在一个小巷子里，因为对这边熟悉，所以还好找，要是陌生人到这边来，估计得找一会！其他都很好！', 'star': 5}
{'descr': '离湖南路商圈很近,酒店设施很全,又很安静,是性价比很高的酒店.下次还会入住.', 'star': 5}
{'descr': '除了对面工地施工，有点吵，其他都很好。汉庭的E会员注册本来就没有身份证登记栏，所以注定是无法升级的。因为E会员升级只要20元，但是非E会员在门市要28元。陷阱在于，门市购买会员卡时，如果手机号已经在E会员中登记，那么将无法办理普通会员购卡。请贵公司尽快解决这样的问题吧，要传真身份证，谁有这种闲情为了弄个会员卡啊！', 'star': 5}
{'descr': '酒店安静，整洁。房间舒适，温馨。交通较为方便。', 'star': 5}
{'descr': '被褥非常干净清香，信赖汉庭品牌。', 'star': 3}
{'descr': '房间比较大，住宿和服务都没得说，从中山北路和人和街的交叉口进去一直走就能找到', 'star': 5}
{'descr': '干净卫生 房间宽敞明亮 但是隔音效果不怎么好 ', 'star': 5}
{'descr': '房间很干净，设施齐全，还有免费的矿泉水、洗发水。不错！', 'star': 5}
{'descr': '干净卫生，环境不错，设备齐全，服务到位，床单干净雪白，有家的感觉', 'star': 5}
{'descr': '很干净， 交通不错。 就是隔音差些。晚上比较吵闹。 ', 'star': 5}
{'descr': '感觉酒店不错，性价比挺高的，服务也不错，虽然办理入住时有点小插曲，但很快就解决了，效率很好。下次去还会住这里。', 'star': 5}
{'descr': '房费已付', 'star': 3}
{'descr': '房间很大很舒服，水很大很热。附近的一家鸭血粉丝店很香！到交通站台走路要段时间，最好打的喽', 'star': 3}
{'descr': '汉庭，冲这牌子没什么再说的，出差一直住汉庭。便宜实惠。这件特价房更是超值。运气好碰上了。', 'star': 5}
{'descr': '卫生和服务比较好', 'star': 3}
{'descr': '服务很周到！经常出差，会员卡也有很多，第一次前台服务员主动说可以用会员卡代替使用为房卡，为外来办事人员减少丢失房卡的几率，虽然是小事，但同样值得表扬！ ', 'star': 5}
{'descr': '位置太不好找了，山西路店，跟山西路不挨着。把说明、地图说的更清楚就好。', 'star': 1}
{'descr': '干净整洁，不过屋里有潮味~~地方不太好找', 'star': 5}
{'descr': '标间很不错 就是地方难找了些 房间干净 订的是中秋百元房 性价比很高  卫生间有电吹风  前台服务也蛮好的', 'star': 5}
{'descr': '不错，还可以，比较干净，就是有点小而已。哈哈', 'star': 5}
{'descr': '房间还算大的，设施一般,因为是节日的百元房，还行', 'star': 5}
{'descr': '床太硬了  睡了两天腰痛呀  以后不会在住了  对了  电梯还是坏的', 'star': 1}
{'descr': '服务态度差，在同样的条件下不给调换房间，酒店靠着路边，施工车辆太吵，酒店没有停车位。 ', 'star': 1}
{'descr': '比较干净  隔音不是很好。服务态度比较满意', 'star': 5}
{'descr': '开来不是很长时间，各方面条件还不错.位置一般在巷子里不太好找，标志不明显.不过住过之后就熟悉多了，还算可以.', 'star': 5}
{'descr': '房间还是很一般设施比较简单，酒店的位置也不好找，酒店也没什么服务员，价格方面也一般。', 'star': 1}
{'descr': '酒店设施挺新，房间比其他的汉庭大，还是值得推荐的。', 'star': 5}
{'descr': '我一夜没有睡着，房间不隔音，隔壁房间人吵死人，后来刚要睡着就听到更可怕的声音，原来夜里快两点啦隔壁玻璃坏了，竟然这个时间服务员在清理玻璃，吵得我后来一直到天亮啊，太痛苦了南京这一夜。\n', 'star': 1}
{'descr': '新开的店，环境不错，就是隔音效果不是很好，门外有人说话关门什么的里面都听的到，容易打扰到休息', 'star': 5}
{'descr': '很不错，满意，干净，光线很好，热水也很不错', 'star': 5}
{'descr': '房间的装修还是一般，位置的话也不是太好找，服务态度还可以不错，价格还是可以接受的。', 'star': 1}
{'descr': '地方太难找 房间还可以 早餐不送...............', 'star': 5}
{'descr': '酒店的位置也不错，服务和价格方面都是挺好，房间设施也不差基本和别的快捷酒店差不多，环境还是蛮不错的。', 'star': 5}
{'descr': '中规中矩的汉庭。', 'star': 3}
{'descr': '条件还不错，只是当时入住时有些误会，导致当时很不愉快，不过客房条件还是非常不错的，整体性价比还好.', 'star': 5}
