{'短评内容': '环境不错,面积挺大,设施虽然有些旧了,但洗手间非常整洁,价格很实惠。服务挺好,帮忙把行李送到房间，一路还有简单介绍，常来的，每次都是住在这里，晚上很安静，有度假的感觉。', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '就是停车要收费', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '很不错的地方', '短评打分': 5}
{'短评内容': '好好干好好好好好干好好，非常好，超级好，非常干净。态度好，热情。', '短评打分': 5}
{'短评内容': '性价比非常高，在我看来有三星级了', '短评打分': 5}
{'短评内容': '卫生、服务还好。不足之处空调嗳气不足。', '短评打分': 4}
{'短评内容': '房间太小了', '短评打分': 3}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '价位便宜，干净卫生，前台服务不错，就是停车要收费', '短评打分': 4}
{'短评内容': '网速比以前快不少', '短评打分': 4}
{'短评内容': '不错，住起来还是蛮可以的。', '短评打分': 5}
{'短评内容': '不错，住起来还是蛮可以的。', '短评打分': 5}
{'短评内容': '不错，住起来还是蛮可以的。', '短评打分': 5}
