{'短评内容': '这个只能说对的起他的价格，地板很脏，墙纸也发霉了，，，，', '短评打分': 2}
{'短评内容': '退款都退不回来！', '短评打分': 1}
{'短评内容': '挺好的我很喜欢111111111111111111111111111111111111111111111111111111111111', '短评打分': 5}
{'短评内容': '挺好的   交通比较方便   房间也通畅      就是热风的声音有些大。', '短评打分': 4}
{'短评内容': '没有空调超级冷', '短评打分': 3}
{'短评内容': '还行吧就是用品缺少并且有一些付费产品', '短评打分': 5}
{'短评内容': '可以停车，我的不带早餐', '短评打分': 5}
{'短评内容': '很一般', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '一般吧！', '短评打分': 4}
{'短评内容': '环境一般，房间比较小', '短评打分': 2}
{'短评内容': '挺好的！环境不错', '短评打分': 5}
{'短评内容': '不错，不错，就是房间有点小！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '酒店标准间房间较大，设施较新。位置靠近北二环，如果从北往南来，要注意下桥就要靠边停，不然要走挺远。酒店靠近石家庄北站，出差的不错选择。', '短评打分': 5}
{'短评内容': '环境卫生不错', '短评打分': 3}
