{'descr': '很满意的一次住宿  位置好  周边吃喝玩乐很方便 ', 'star': 5}
{'descr': '挺好的 满意', 'star': 5}
{'descr': '靠近地铁站', 'star': 4}
{'descr': '一般般', 'star': 4}
{'descr': '好', 'star': 5}
{'descr': '预订方便快捷，服务良好周到，酒店干净整洁，点赞该酒店', 'star': 5}
{'descr': '酒店房间大，就是窗户锁不上，总有一个小缝。叫服务人员上来修了一下，态度特别好，看当时修不了，特意下楼去拿了大胶带给密密的封上了。 周边生活便利，走不远有超市和大商场。 后门不远就是养和园，早茶和晚餐都是在那儿吃的，很便宜，味道也不错，一样要了一点结果堆了一桌子没吃完。 后院街心花园就是文化古迹，旁边有一些文人故居。 兴化不大，几个快捷酒店都在附近不远处，订时不需要太纠结。', 'star': 5}
{'descr': '感觉卫生一般，装修老旧', 'star': 4}
{'descr': '酒店不错哦，值得推荐', 'star': 5}
{'descr': '设施还可以，快捷酒店性价比还不错', 'star': 4}
{'descr': '沿路边方便，', 'star': 4}
{'descr': '可以！', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '前台态度非常好', 'star': 4}
{'descr': '很好很好很好很好很好很好很好很好', 'star': 5}
{'descr': '很好很好很好很好很好很好很好很好', 'star': 5}
{'descr': '很好很好很好很好很好很好很好很好', 'star': 5}
{'descr': ' 服务很好，房间很宽敞。就是隔音效果有些不好。别的都很不错', 'star': 3}
{'descr': '简单，快捷，性价比高。\n交通方便。餐厅只提供早餐，不提供其他饮食，资源有点浪费。', 'star': 5}
{'descr': '房间很大很大很大，只是里面东西太少，感觉像住在一个仓库。位置不错，出门几步就是主要商业街，去城南也比较方便。', 'star': 5}
{'descr': '早上很早就有锻炼身体的喇叭声，可能我住的那间离喇叭近，感觉声音就在房间里一样的。', 'star': 1}
{'descr': '很人性，也很舒适，服务也很好，以后有机会还会选择去汉庭，汉庭我支持你。', 'star': 5}
{'descr': '挺好的，位置在市中心，就是出门打车得到大路上，酒店门口很难打。', 'star': 5}
{'descr': '住过好几次了，感觉越来越好。希望继续保持！', 'star': 5}
{'descr': '还不错的酒店，挺干净，房间在如家来说算挺大的，毕竟是新的酒店希望能保持。', 'star': 5}
{'descr': '菜花节期间 很难订到房间 虽然很多人 但是服务质量没有下降 一致很好 ', 'star': 5}
{'descr': '酒店不错，房间挺大，也算干净。但是住家庭房为什么不能准备3套洗漱用品呢？\n兴化小城，板桥故居等景点都离得挺近，走走就到了。\n可惜来早了，没看到油菜花。建议大家提前给酒店打电话问一下。前台的值班经理潘帅哥，对周边情况很了解，人又热情细心，赞一个！\n', 'star': 5}
{'descr': '房间比较大 很干净 前台小姐服务热心 感觉很好', 'star': 3}
{'descr': '，酒店环境很好，很干净，不错的住宿酒店。还会再来的。', 'star': 3}
{'descr': '总体很可以啊，以后出差在宿迁会尽量选如家。还有早饭还没吃过 下次要试下怎么样', 'star': 5}
{'descr': '房间很干净，毕竟新开的。总体还狠满意。希望继续保持哦', 'star': 5}
