{'短评内容': '从酒店能看到古城风茂。装修有特色。', '短评打分': 3}
{'短评内容': '不错，在古城市中心，玩起来方便，管理的也挺好。', '短评打分': 5}
{'短评内容': '房间比较小，暖气还是可以，地理位置至古城中心。前台有一个姑娘不错，剩下的都拉个驴脸。', '短评打分': 5}
{'短评内容': '暖气还是可以且全天开放，冬季住着可以，房间有些小，前台的接待不会笑。不象4星酒店的前台。建议如果客人住的时间长，可以提供接机和送机服务，要人性服务嘛', '短评打分': 5}
{'短评内容': '酒店不错，暖气很好，地段也好。有些干燥，应该给房间陪加湿器。', '短评打分': 3}
{'短评内容': '设施陈旧。服务也不算太好。和古城里其他几个四星级的比有一定差距。', '短评打分': 1}
{'短评内容': '位置很好 服务很好 房间隔音差 房间面积比四星酒店要小  ', '短评打分': 5}
{'短评内容': '还不错，在古城里面，只能步行进去，因为找不到酒店位置还有服务员出来帮忙拿行李，接送服务很贴心，设施还算新，服务态度不错，值得一去', '短评打分': 5}
{'短评内容': '   古城中，纳西小院闲情，有面包车接送，真的周到，满意！', '短评打分': 5}
{'短评内容': 'wo zai guo wai .bu neng da zhong wen .zhe jia jiu dian bu cuo de,da jia shi shi', '短评打分': 5}
{'短评内容': '酒店位于四方街附近，距离木府、大石桥等都很近。环境优雅，房间干净，闹中取静。就是贵了点，再优惠些就更好了。', '短评打分': 5}
{'短评内容': '古城里面最像酒店的客栈 如果想住客栈的就不要选这个了', '短评打分': 5}
{'短评内容': '帮朋友定的，听他们说一切都很好，值得再次入住', '短评打分': 5}
{'短评内容': ' 入住', '短评打分': 3}
{'短评内容': '位置很好，离四方街也近，房间挺干净的，家具也挺有特色的，整体感觉很好，下次还回入住。', '短评打分': 5}
{'短评内容': '帮别人定的，没有说不好好的意见，应该还可以吧。', '短评打分': 5}
{'短评内容': '处在丽江古城的中心， 其所处在的地理位置是无所比拟的。 由此性价比就很不错了。只是早餐九点以后就凉了，让人扫兴。隔音效果差的结果是如果有其他的客人凌晨三点起床，就不得不忍受骚扰了。', '短评打分': 5}
{'短评内容': '本点区位好，管理规范，守信用。如何进行A、B楼分工，使其达到四星酒店的设施水准是需要进一步考虑的。', '短评打分': 5}
{'短评内容': '很精致的酒店，房间不大，但是布置得很温馨，浴缸稍微旧了些。', '短评打分': 5}
{'短评内容': '位置还不错，闹中取静，条件和卫生都还可以。', '短评打分': 5}
{'短评内容': '在古城中心位置，逛街非常方便；出城酒店还可以免费送出城；闹中取静的地方。', '短评打分': 5}
{'短评内容': '中西结合的风格非常不错，很干净！位置也很好！', '短评打分': 3}
{'短评内容': '位置在古城中，车无法开到门口。需要客人自己拖着到行李走个10分钟。房间不大，空调好像不太好使，总是温温的不热。早餐很好！', '短评打分': 1}
{'短评内容': '酒店环境不错，值得。。下次还会再订这家。。。', '短评打分': 5}
{'短评内容': '此酒店环境不错，就是房间很小，此酒店的签约出租车和师傅人很好，服务好，下次去还得和这个和师傅联系，适合古镇旅游位置很佳，环境适合艳遇极好的地方。', '短评打分': 5}
{'短评内容': '古色古香的，服务也很周到热情，出行非常地方便，就是房间小了点，总的来说还可以', '短评打分': 5}
{'短评内容': '服务还可以，环境换过一间房后还算安静，关于接机的问题，事先没有提供给我们电话号码联系，我们自己到的，希望酒店送机，酒店联系了2天，答复给我们开车师傅和酒店的协议是只接不送……作为古镇上老牌子酒店，希望能够在对顾客的服务理念方面加强些', '短评打分': 1}
{'短评内容': '还可以，还可以，就是水的温度不够热，床还可以，酒店位置不错', '短评打分': 3}
{'短评内容': '酒店早餐不错，很丰富，地理位置很不错，就是水温不够，空调不能自己调比较麻烦', '短评打分': 5}
{'短评内容': 'B座比A座稍微远了一点，好像比A做新一点，早餐都在B座，环境不错，就是房间隔音不好', '短评打分': 5}
{'短评内容': 'haipi kjhjhhu hg uiuh guoigu7uuu', '短评打分': 5}
{'短评内容': '还行吧。服务什么的还是不错的。就是楼板是木头的，还有房门热胀冷缩不好关。房门还不如客栈，这一点达不到四星标准。这家酒店有很多的入口，适合又想艳遇又不愿被发现的客人：）\r\n酒店有一个很好的地方就是临河的一个玻璃窗，那里有两个茶座，平时一般没人，适合去坐坐。', '短评打分': 5}
{'短评内容': '酒店总体还不错,就是在接站问题上有点让人不舒服.之前说有接站服务,可到丽江的前一天给酒店打电话前台又说没有接站服务.后来又说问一下再打电话告诉我,可等很长时间还是没等到酒店电话.虽然最后还是接站了可让人很不舒服.不明白酒店什么意思,是不想接呢!还是不想接呢!', '短评打分': 5}
{'短评内容': '不错，位置很好，很方便，连住两晚，第三晚免费，很划算', '短评打分': 5}
