{'短评内容': '基本满意', '短评打分': 5}
{'短评内容': '酒店插座充电不方便，设施陈旧', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很卫生，就是我住的那间厕所灯和换气扇都用不了，', '短评打分': 4}
{'短评内容': '总得来说地段和价位还是比较亲民的，就是房间设施太陈旧，地毯太脏，马桶盖和马桶分离。夜里的霓虹灯～中立快捷酒店～6个字，有三个字不全。洗澡间漏水不是很痛快。但还是能保证每天有专人收拾屋子，及时更换垃圾，补充矿泉水。还给我升级了房间。对于经济型驴友来说，还是可以的，附近吃的米线和要去的景点都有公交车搭成，方便快捷。如果客服姑娘的普通话再标准一些，就再好了。', '短评打分': 3}
{'短评内容': '感觉还可以！！！！！', '短评打分': 5}
{'短评内容': '感觉还可以！！！！！！', '短评打分': 5}
{'短评内容': '房间太小，服务态度差', '短评打分': 2}
{'短评内容': '很好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '房间有些老旧，没有预期好，价位还比较合适', '短评打分': 3}
{'短评内容': '还可以，很合适商务出行', '短评打分': 4}
{'短评内容': '厠所的厠纸是一张张的，他放了一堆在那里，还有厠所的墻有点发霉，房间的地毡有点賍，赤脚踏上去有东西刺脚，一定要穿酒店提供的纸拖鞋，被子和床都挺卫生干净', '短评打分': 3}
{'短评内容': '酒店离火车站不远 走走10多分钟时间 酒店服务特别好 老式酒店 条件一般', '短评打分': 4}
{'短评内容': '离火车站跟机场大巴站步行15分钟，很方便。卫生很好，在小区边上，后门有美味的小店，双标间很宽敞，有晾衣架，价格也公道，只有空调制热不太好用，总体真的很满意。', '短评打分': 5}
{'短评内容': '一般有点吵，考马路。没有餐厅', '短评打分': 3}
{'短评内容': '無线网路不好，房间根本无法使用，早餐的阿姨臉好臭。', '短评打分': 2}
{'短评内容': '帮朋友订的。。。。。', '短评打分': 3}
{'短评内容': '条件还可以，就是早餐太烂了', '短评打分': 4}
{'短评内容': '住宿停车都方便，就是打电话说没房，但是通过网络又订到了', '短评打分': 5}
{'短评内容': '离火车站很近，设施也挺好的…性价比挺高的，也挺好找的谢谢', '短评打分': 5}
{'短评内容': '一百六十块的房子真的是太失望、蚊子多的要死不说、准备洗澡、龙头是坏的、洗完澡发现没有毛巾浴巾！晚上大便完、马桶又是坏的！晚上十一点半师傅过来修马桶！气的半死！请问预定还不够给你时间吗、房间有这么多问题都发现不了吗？太失职了吧！这么贵的房子、也能拿出来给人住！', '短评打分': 3}
{'短评内容': '住宿不错，房间很好，可惜洗澡用具是坏的，洗不了，不知道是不是为了省水。', '短评打分': 3}
{'短评内容': '不错的酒店哦！我们定的是特价房，房间有点小，但各方面总体来说是相当不错的！只是后来会有点疑问，我们的特价房是哪种房型呢？如果是迷你房的话，实价在88，我们128就有点亏大了。后来想转迷你房，店家又说没有迷你房了，我们也没法去核实到底有没有花冤枉钱，疑问暂时存在了。总体来说，还是不错的！', '短评打分': 5}
{'短评内容': '早餐还不错，简约而不简单，环境也不错，闹中取静', '短评打分': 3}
{'短评内容': '地理位置优越，房间舒适，还不错。下次来还住这', '短评打分': 5}
{'短评内容': '交通方便，干净、卫生、舒适。前台工作人员态度好！极力向大家推荐！', '短评打分': 5}
{'短评内容': '酒店所处位置比较好，，交通便利，室内环境优雅。不错。', '短评打分': 5}
{'短评内容': '价格实惠，卫生条件好，值得', '短评打分': 3}
{'短评内容': '交通便利，有免费停车场，且24小时有人看守，特别适合自驾游的客人。服务人员服务态度好，早餐也不错。推荐。', '短评打分': 5}
{'短评内容': '环境非常好，晚上很安静，房间也非常干净，距离市中心也近，非常推荐', '短评打分': 5}
{'短评内容': '条件不错，交通方便~推荐.条件不错，交通方便~推荐.条件不错，交通方便~推荐.条件不错，交通方便~推荐.', '短评打分': 5}
{'短评内容': '交通方便，房间设施、卫生都不错。性价比很高。', '短评打分': 5}
{'短评内容': '就在北京路旁边，出入很方便，也很安静，房间宽敞，不错。', '短评打分': 5}
{'短评内容': '套间有点大  客厅基本没用到  房间空调功率太小 开和没开都一样  卫生间的淋浴和下水不是很舒服  小两口住建议住单间   应该比较合适  整体性价比很不错  干净也挺安静的还有早餐提供  服务员的态度很不错  人也漂亮 嘿嘿  还是可以住住 要是能够改进下更好啦~~~', '短评打分': 5}
{'短评内容': '还算干净，不过地板估计被卫生间渗出来的水泡过了，有部分都浮起来了，房间还宽敞，采光也很不错，细节做的不咋地，这个价格住住还行。', '短评打分': 1}
{'短评内容': '挺好的，环境很好，就在北京路上，好像是大床房，有窗子，热水也不错，还能上网，不过是网线的，整体感觉不错。', '短评打分': 5}
{'短评内容': '酒店很好，已经推荐了很多朋友入住了\n酒店很好，已经推荐了很多朋友入住了', '短评打分': 5}
{'短评内容': '地理位置较好.交通方便.设施简单.', '短评打分': 3}
{'短评内容': '很好，昨天刚推荐了我同事过去。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店很卫生、房间很不错！', '短评打分': 3}
{'短评内容': '还可以。干净就是卫生间下水道堵', '短评打分': 3}
{'短评内容': '替别人订的，据说酒店挺干净的，交通也不错，是一家性价比比较高的酒店.不过我觉得评论到不一定非得达到一定的字数，能说出自己的感受就可以，如果非得定50字的下限，感觉有点无礼', '短评打分': 5}
{'短评内容': '还不错。。。离工作的地方挺近的。。。。。。。。。。。。。。。。。。。。。。。.........................', '短评打分': 5}
{'短评内容': '酒店位置不错，有停车位很方便，早餐很简单。推荐哦~', '短评打分': 5}
{'短评内容': '房间有点小，总体还不错。,门口有去昆明站的公交，去火车站方便', '短评打分': 5}
