{'短评内容': '还是不错的，就是地方偏了点', '短评打分': 5}
{'短评内容': '位置稍微有点偏。环境还行吧。 床铺很柔软。早餐很家常。 粥加一些小菜。就是浴室的热水不稳定。一会儿冷一会儿热的。 ', '短评打分': 4}
{'短评内容': '在热闹的地方还可以', '短评打分': 5}
{'短评内容': '前台服务态度太差了', '短评打分': 2}
{'短评内容': '厕所味道有点种，另个房间不会，应该是下水道的问题吧，挺臭的，前台及时处理了，但是还是没多大作用，服务挺好', '短评打分': 5}
{'短评内容': '一点都不好，前台态度超级差', '短评打分': 5}
{'短评内容': '强烈推荐 很不错 干净卫生 很有感觉 价格划算 提前订购比较划算', '短评打分': 5}
{'短评内容': '好好好好好好，非常好，超级好。要不到台的好。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '不错 ', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '位置就在大学的内部，不是特别的显眼，从接到走进去还有一段距离，停车场免费的，可以开车过来，房间很多，设施比较新的，周围很安静，就是居民区。', '短评打分': 3}
{'短评内容': '干净卫生。', '短评打分': 5}
{'短评内容': '价格合理房间干净', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '位置离师大很近，办事挺方便。而且闹中取静的地方，不影响休息。周边学生街，吃的东西很多。价格略贵', '短评打分': 4}
{'短评内容': '环境真心不错，位置也相当好，晚上很安静，在学生街里面，性价比高，房间很宽敞，设施完善，我已经办了张会员卡了。', '短评打分': 5}
{'短评内容': '在携程网上订的商务大床房，和我同事实际到那用VIP卡定的商务大床房相差很大，估计给我的是标准大床房，和前台交涉后，才给换的商务大床房，这是欺骗客户吗，要是没有我同事也同时入住这家酒店，根本就不知道，这是明摆着欺负消费者，鄙视这种行为，另外早点太太太太太差了！！！！原来的标准大床房卫生一般，换了商务大床房感觉好些！', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '挺干净的，还不错！房间还算宽敞，就是电视太小了，现在还用那么小的电视，太小气了', '短评打分': 5}
{'短评内容': '和普通的速八一样，快捷方便。有些小小的简陋', '短评打分': 5}
{'短评内容': '环境真的很恶劣。进去以为是床单赃了，实际上是床褥脏了换不了。很恶心。以后不会入住', '短评打分': 1}
{'短评内容': '住宿条件挺好。卫生也很干净。价格稍微高了。', '短评打分': 3}
{'短评内容': '环境不错，位置也很好~就是水声太大，别处用水房间内声音非常清楚。', '短评打分': 3}
{'短评内容': '除了位置偏僻，其他还不错，安静，其实也不偏。就是走着有点累', '短评打分': 5}
{'短评内容': '离师大比较近，交通还算方便，就是房间不隔音！', '短评打分': 5}
{'短评内容': ' 整洁 比较满意 。', '短评打分': 3}
{'短评内容': '经济酒店的基本标准，不过不失。没有直接临街，环境较安静，而出来就是学生街，吃东西比较方便。', '短评打分': 5}
{'短评内容': '里考点近，房间套型不错。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '干净、安静、方便,价格贵了一些，应该在150左右比较合适。', '短评打分': 5}
{'短评内容': '不错，很干净····推荐三颗心·····', '短评打分': 5}
{'短评内容': '随波逐流，人家涨价他也涨价，服务却是要什么没什么，430普通标间，都快五星级价格了！！！哎', '短评打分': 1}
{'短评内容': '住处很安静 外面学生街很繁华。 里面设施差点。还不错', '短评打分': 5}
{'短评内容': '很好，环境安静', '短评打分': 3}
{'短评内容': '挺安静的，也挺干净，停车也是免费的，但是位子不是很多。但是淋浴是透明的，房间没有纸巾，空调对着床头。', '短评打分': 5}
{'短评内容': '房间很大，也很干净，周边也都是小区，住起来很安静。但就是不太好找，离大马路比较远，很多出租车司机都不认识这里。', '短评打分': 5}
{'短评内容': '环境和服务还不错，逛街也很方便，就是房价预订没什么优惠到，房间的厕所和浴室都没东西遮呢，有些不习惯~', '短评打分': 5}
{'短评内容': '周边非常热闹，吃饭比较方便，价格合理，房价干净。', '短评打分': 5}
{'短评内容': '不错，有速度~~~以后都在这里订了，酒店服务不错', '短评打分': 5}
{'短评内容': '很好 很安静，酒店环境很好  就是偏了一点 ', '短评打分': 5}
{'短评内容': '这里订 158  那边却要付 178  。。 电子会员卡还不行 。。 坑爹啊。！', '短评打分': 5}
{'短评内容': '新装修的酒店，位置在繁华的学生街，闹中取静。床垫有点问题，不是很舒服，洗手间的有下水道的味道，估计下水和地漏不是防臭的。早上冲凉的水压太小，基本等于没有水流', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '酒店新开的，周边交通很方便，吃饭的地方也多，房间干净，离火车南站也近，不错', '短评打分': 5}
{'短评内容': ' 不错，环境不错，周边配套也可以', '短评打分': 3}
{'短评内容': '房间很大 但没有衣柜 空调对着床头吹', '短评打分': 3}
{'短评内容': '还不错，下次如果还在附件办事情的话。还会继续入住。。就是没早餐遗憾了点', '短评打分': 5}
{'短评内容': '挺干净!', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
