{'descr': '环境好，交通方便，棒', 'star': 5}
{'descr': '  服务不错 还行 挺好的 空间很大 很大  特别大  离新街口走路十分钟   离大行宫三百米样的  ', 'star': 4}
{'descr': '位置不错，前台热情', 'star': 5}
{'descr': '只能说环境真的不炸地，关键不能取消订单，不然我肯定取消，酒店太老了，设备比较旧，关键还有一个阳台，晚上睡觉不是挺吓人的', 'star': 4}
{'descr': '房间很大，很干净宽敞舒适，有停车位，设施不错，床舒服，浴室淋浴出水快，布草干净柔软很好，无线和电视也很好用，电视画质也比较清晰，空调也好用，服务热情周到，前台接待服务态度很好，很亲切，服务很细致，打扫房间的阿姨很热心 ，周围很多吃早餐的地方', 'star': 5}
{'descr': '不错住过几次', 'star': 5}
{'descr': '交通很方便，地铁站可以坐二号线三号线，房间也挺大的，有沙发，推荐入住', 'star': 5}
{'descr': '方便，服务好，有阳台', 'star': 5}
{'descr': '简直就是太差了！真的没想到便捷酒店这么差，首先干净就做不到！房间墙壁上都长满了霉版，而且地板也是坏的！给人的感觉就是很阴暗！而且连最基本的热水也没有！打电话给前台 说要等一等！那时候都十一点多了！要等到什么时候！第二天早上起来，依旧没有热水！而且重点是很不干净！而且还漏水！水壶也是坏的！', 'star': 1}
{'descr': '设备设施没有齐全', 'star': 5}
{'descr': '感觉一般般吧，主要是周六的房间都太贵了', 'star': 4}
{'descr': '房间很大 带一个阳台 设施齐全 重点是这个价格很实惠 酒店位置十分方便 走几步路就到总统府 去新接口只有一站地铁路 总的来说去哪里都很方便 每天更换毛巾 打扫卫生 服务不错 推荐！', 'star': 5}
{'descr': '位置很好，离大行宫地铁站很近。', 'star': 5}
{'descr': '酒店设备简单，卫生还行，环境不错，离大行宫地铁站很近，出入方便，总体来讲住的比较满意！', 'star': 5}
{'descr': '酒店环境很一般，只适合商务出行居住', 'star': 3}
{'descr': '还可以还可以还可以还可以还可以还可以还可以', 'star': 5}
