{'短评内容': '摆酒席的很多啊', '短评打分': 4}
{'短评内容': '挺好的，住了好多天了', '短评打分': 4}
{'短评内容': '早餐好可以', '短评打分': 4}
{'短评内容': '住习惯起来', '短评打分': 4}
{'短评内容': '住了一周了', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '比较方便，餐饮洗浴等配套齐全，设施偏旧，有很大提升空间。', '短评打分': 4}
{'短评内容': '真不怎样啊', '短评打分': 1}
{'短评内容': '酒店大堂有一定气魄，书法艺术精湛，品尝了美味的干椒板肠美味，特别不错，印象深刻，下次再住，希望酒店越来越好。', '短评打分': 4}
{'短评内容': 'OK', '短评打分': 5}
{'短评内容': '设施陈旧 网速奇慢 早餐一般 住到第三天没热水 但这个价格也差不多了', '短评打分': 3}
{'短评内容': '还行吧 好像老宾馆，房间不是很干净', '短评打分': 5}
{'短评内容': '之前培训住的高级套房，隔音很好，这次住的标准房，不知道为什么屋里插座都不好使，而且隔音也没有套房隔音好了，但是总体挺好的', '短评打分': 4}
{'短评内容': '可以可以可以，离要办事的地方很近。可以的。', '短评打分': 3}
{'短评内容': '宾馆大堂像星级宾馆，房间大，设施旧，澡水出水花洒还是固定的，出水分散出水小，洗澡很不爽，天生对地毯有些排斥，尤其在一个设施各方面很旧的环境下，早餐种类一般，环境更是一般', '短评打分': 3}
{'短评内容': '房间环境很好，但是网线不能用，这是很大缺陷！令外电视也没有体育台，其它节目也不清楚！', '短评打分': 3}
{'短评内容': '老人和孩子一家住了几天，感觉一般般，但是在长春可能也就这样的水平了', '短评打分': 5}
{'短评内容': '这边的房间还行，如果你定豪华标间的话，你会发现空间很大，性价笔挺高的。但是我这次住了个大床房，感觉很一般，房间很小。而且电视还没有体育台。对我这样的体育迷来说太不舒服了。', '短评打分': 5}
{'短评内容': '已入住4016,卫生还算干净,设施几年前的了略显陈旧,前台服务还需加强,性价比不错', '短评打分': 3}
{'短评内容': '设施很差。连POS机都不开，说在在维修，不就是为了省几块钱吗？', '短评打分': 1}
{'短评内容': '地理位置距离出差地比较近，经济型旅店，服务一般，适合差旅朋友！', '短评打分': 5}
{'短评内容': '酒店还可以，但周边环境一般，离火车站还算近', '短评打分': 5}
{'短评内容': '房间很大，是按星级酒店建造，但是内部设施和管理差一些，不过这个价位也还好了', '短评打分': 5}
{'短评内容': '距离出差地比较近，位置比较偏，房间小，卫生也不太干净，走廊吵闹！', '短评打分': 1}
{'短评内容': '星级比较高，但是价格很划算，因为地点有些偏，订房是结婚用的，商务间，很大，两张床，可以睡4个人，房间装修还成，就是有点旧，可能是装修比较早的原因。酒店大堂很气派，算是性价比比较高的了', '短评打分': 5}
{'短评内容': '酒店地点偏导致出租车司机要问同行，酒店的设施较旧，我的房间的电话杂音大也没修好，空调一开就跳闸也没修好，卫生间有异味，唯一好处是可以在下午二点退房', '短评打分': 1}
{'短评内容': '价格较低，下次还会考虑入住！早餐时间有点短，只有2个小时！', '短评打分': 3}
{'短评内容': '管理太差，前台的没一个清楚的，可能都是新人，但应该有培训和领班带啊，奇怪！', '短评打分': 1}
{'短评内容': ' 位置不方便,设施陈旧,服务不好,\n三星都够不上', '短评打分': 1}
{'短评内容': '还可以，但不是中央空调，设施有些老，不过价格便宜', '短评打分': 3}
{'短评内容': '酒点环境还可以，迎宾服务热情，房间没有配电崔风。', '短评打分': 5}
{'短评内容': '酒店的豪标床非常宽，房间没有配购物袋，感觉不方便。', '短评打分': 5}
{'短评内容': '火车站 打车十块钱 就到了。可是竟然赶上停电停水', '短评打分': 5}
{'短评内容': '+酒店设施较新,房间也比较整洁,不过工作人员业务不熟,最终结账未能开上发票。', '短评打分': 5}
{'短评内容': '地理位置较偏，但酒店环境及服务都不错，交通方便，周围饭店很多。', '短评打分': 3}
{'短评内容': '房间不大，装修的还可以，卫生打扫也比较干净，住的还比较满意。', '短评打分': 5}
{'短评内容': '酒店周边交通挺方便，服务人员办事效率挺快，房间也宽敞舒适，值得推荐。', '短评打分': 5}
{'短评内容': ' 很好，价格不贵，房间好。', '短评打分': 5}
{'短评内容': '酒店周边环境还可以，附近吃放的地很多，服务员态度很好，房间里收拾的也很干净，总体感觉还算不错的酒店', '短评打分': 5}
{'短评内容': '前台服务很好，很热情，而且办理入住时很速度，室内布置得很不错，住着舒服', '短评打分': 5}
{'短评内容': '酒店地理位置不错，附近出行很方便，而且有停车场，自驾过来也蛮方便的', '短评打分': 5}
{'短评内容': '酒店性价比还是很不错的，房间很干净，配套设施齐全，住宿环境还是可以的', '短评打分': 5}
{'短评内容': '服务好，房间卫生干净，出还算便利其他都还可以', '短评打分': 5}
{'短评内容': '酒店地理位置一般，洗脸水龙头坏了都不修理。', '短评打分': 3}
{'短评内容': '位置偏僻，洗脸池坏了也不修理，还是4星级？', '短评打分': 1}
{'短评内容': '房间比较大，比较舒适.就是卫生条件比较差.尤其是洗手间.', '短评打分': 5}
{'短评内容': '性价比还可以，离我办事地点比较近，房间干净，配套设施完善，下次还会去住的。', '短评打分': 5}
