{'短评内容': '卫生不好，感觉不舒服，不推荐', '短评打分': 3}
{'短评内容': '秦汉唐酒店开始装修，我只住了一晚', '短评打分': 4}
{'短评内容': '离大雁塔最近的酒店了', '短评打分': 4}
{'短评内容': '环境不错，古典风格就是屋子里有毛毛东西，用毛巾搽了一遍地和床头', '短评打分': 5}
{'短评内容': '酒店环境非常不错。还能看见大雁塔。也比较干净卫生', '短评打分': 5}
{'短评内容': '酒店的服务不错！', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '位置比较优越，离大雁塔很近，但晚上人多，大幕特别亮，晃眼睛，人声吵杂，卫生条件还可以，中国风古色古香，但卫生间照明有问题，一会亮一会灭，排风扇呼呼响，声控还关不掉，对于睡眠质量不太好的人来说，比较难受', '短评打分': 4}
{'短评内容': '挺好的，房间干净，周边游玩吃饭都很方便。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '房间很有古典味道，又近大雁塔看喷泉方便，下次再入住！', '短评打分': 5}
{'短评内容': '酒店很有古代的韵味，房间干净、整洁，下次来西安首选！', '短评打分': 5}
{'短评内容': '非常有特色', '短评打分': 5}
{'短评内容': '酒店的位置、设施都非常棒！自驾也很方便，有超大的停车场，可免费停车。只是不明白为什么用闪住还是要等查房等半天，现在有些焦虑之前多扣除的押金是不是也不会如期退还了呢？', '短评打分': 5}
{'短评内容': '出门就是大雁塔，地点不错', '短评打分': 5}
{'短评内容': '蜘蛛网，这是盘丝洞的主题装修吗！好个性哦！这是多久没住人了呢！油烟味好重，换了一脚房子要好一点，但空气依然很难闻，将就吧，看在酒店妹妹很不错，服务态度很好，也算是安慰了', '短评打分': 4}
{'短评内容': '好 每次来西安都住这里 去哪都方便 环境也好', '短评打分': 5}
{'短评内容': '唐朝风格单间', '短评打分': 5}
{'短评内容': '非常不错，位置极佳，房间虽然小，但是设施比较有品质！出门就是大雁塔！交通便利！', '短评打分': 4}
{'短评内容': '装修不错，安静，就是有一些木头味。酒店门口就是大雁塔南广场和大唐不夜城，隔壁是天幕电影。力推。', '短评打分': 5}
