{'短评内容': '早餐一般，有停车场', '短评打分': 4}
{'短评内容': '景色を希望したら10階の街側の部屋に成りました。川沿いの名ホテルなので、船の行き来を見る目的で予約したのに見れなくて残念でした。部屋にティッシュペーパーが無く、困りました。', '短评打分': 3}
{'短评内容': '干净卫生不错', '短评打分': 5}
{'短评内容': '中餐很不错哦！', '短评打分': 5}
{'短评内容': '這是一間建成就定格在90年代初的酒店，昏黃的燈光，地氈，衛浴，大堂，電梯，指示牌，都顯得老舊了。幸好房間沒有霉味，床也較硬，睡時腰很舒服。不好的是遇上附近幾間房開房門大抽煙，煙味從門縫透入，整個人感覺都不太舒服。不過因為被旁邊一早預定的漢庭在毫無預告下取消定單，臨時定到這間我也滿足了。百多元有房，實在不能要求更多了。', '短评打分': 4}
{'短评内容': '很好，去年去桂林玩也是住的这里。很安静！', '短评打分': 5}
{'短评内容': '性价比不错，推荐！可以吧可以吧可以吧', '短评打分': 5}
{'短评内容': '宝贝很好，就是设施太旧了', '短评打分': 5}
{'短评内容': '宝贝很好，就是设施太旧了', '短评打分': 5}
{'短评内容': '酒店不错，就是空调是老式的，调起来很麻烦', '短评打分': 5}
{'短评内容': '在一起时候才来后悔！这！这么大，', '短评打分': 5}
{'短评内容': '五星?', '短评打分': 5}
{'短评内容': '设备旧，环境差，卫生不好，没有服务，冷得我死还没暖气。', '短评打分': 1}
{'短评内容': '环境不错交通方便', '短评打分': 5}
{'短评内容': '环境还可以，服务很好。', '短评打分': 4}
{'短评内容': '酒店非常好 价格实惠 性价比好 附近就有市场 买东西方便 热水很好 准时好告诉我一声不吭气质好哈哈哈哈', '短评打分': 5}
{'短评内容': '只能给差评，第一天入住刚到房间服务员上来敲门说房间给错让我们换房，问为什么？回答说给我们的房间是留给检查的，不知是什么检查如此做作？我也是第一次碰到，无语！', '短评打分': 2}
{'短评内容': '酒店除了位置好，服务态度恶劣，不会再预定！', '短评打分': 3}
{'短评内容': '酒店位置不错，但酒店服务太差，特别是保安！', '短评打分': 3}
{'短评内容': '周围环境好，没有wifi，没有空调，太冷了！', '短评打分': 4}
{'短评内容': '环境不错，周围境点多。是老酒店。', '短评打分': 4}
{'短评内容': '房间没wifi', '短评打分': 4}
{'短评内容': ' 设施有些旧，但很齐全，位置也很好。', '短评打分': 3}
{'短评内容': '交通较方便，很老的三星级，房间不大，豪标说好有电脑，入住时有的有，有的没有，前台人员态度一般，缺乏热情。', '短评打分': 5}
{'短评内容': '酒店很旧，这倒无所谓，老式的中央空调轰鸣声不断，重点是不制冷，太热了，晚上都没睡好', '短评打分': 3}
{'短评内容': '订的是特价房，非常满意，就是酒店的装修有点旧，不过还是值得推荐', '短评打分': 5}
{'短评内容': '服务很好，我们的房间上不了网，解决不了的情况下，赶紧给我们换了房间。配套设施，周边环境，暖气很足，在房间很舒服。郁闷的就是酒店不配备茶叶，不习惯白开水的我们只好外出自己买茶叶。这个价位的酒店不配备基本的茶叶，实在不理解。', '短评打分': 5}
{'短评内容': '该酒店地处市中心闹市,出入方便,酒店是老店啦,配套设施一般,干净整洁,可床上用品太旧了,发黄的痕迹都已洗不去了,不过服务尚可,总台办事效益还算高,游泳池太小,象一个长方形的水池,而且规定了游泳时间(每天下午^6:00~10:00),所谓的江景房也就是看见较脏的桃花江而已。性价比高了点！', '短评打分': 5}
{'短评内容': '酒店位置较好，两江四湖就在旁边。汽车火车站也很近。干净方便。', '短评打分': 5}
{'短评内容': '离火车站 交通总站还是有一段距离的，但是路上有很多水果摊，走走看看买买，倒也不觉得很长。各项设施都是不错的。也很干净。下次如果还有机会去桂林，还是会住那。', '短评打分': 5}
{'短评内容': '酒店不错，性价比较高。家庭入住很合适。我住的特价房免费升级', '短评打分': 5}
{'短评内容': '房间条件很好，下次还住这家酒店。', '短评打分': 3}
{'短评内容': '位置还可以，条件很一般，窗户很吓人，每天还要交12元政府调节金，上网每天要交费。千万别靠近窗户，很容易出意外的。建议重新装修改造。', '短评打分': 5}
{'短评内容': '酒店位置不错，紧邻车站；还有免费的接机服务，可是剩下很多银子。可惜没有免费早餐。', '短评打分': 5}
{'短评内容': '我每次耒桂林,必住丹桂大酒店.酒店雖說是老酒店了,但仍然很干净服务又好,闹中取静面临桃花江!太美了·', '短评打分': 3}
{'短评内容': '位置和周边环境都还不错，服务很热情，房间设施有点陈旧，很干净，卫生还不错。', '短评打分': 3}
{'短评内容': '接待比较热情，房间设施有点陈旧。', '短评打分': 5}
{'短评内容': '酒店的位置不错，交通方便，从酒店到夜市步行10分钟就能到，早餐的种类很多，蛮丰盛的，而且服务员办事效率很快，住的还不错', '短评打分': 5}
{'短评内容': '前台办理入住时速度很快，房间和卫生间卫生条件很好，很干净，地理位置很方便，出行特别好，值得推荐一个', '短评打分': 5}
{'短评内容': '酒店大堂很气派，装修的比较豪华，餐饮不错，菜很好吃，比较突出地方特色，房间很干净，服务很好，还会住的', '短评打分': 5}
