{'短评内容': '好，价优', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '对周边地段还算满意，就是酒店房间环境比较旧', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还行那个价钱', '短评打分': 4}
{'短评内容': '给老人回家看看而预订的，图的就是附近就这么个比较像样的酒店…标准双人间就可以了，各种圆床间看起来很旧…', '短评打分': 3}
{'短评内容': '听司机大叔说里面很多吸毒的 一晚上没睡好  而且服务超级差 第一次住这样的酒店 很失望！', '短评打分': 2}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '房间不错，隔音效果比较差，态度比较好', '短评打分': 5}
{'短评内容': '房间卫生不敢恭维，前次客人留在房间的物品都没有清理干净，价格较贵，房间不隔音。', '短评打分': 3}
{'短评内容': '设备很陈旧，空气非常不好，感觉很低档，不推荐。', '短评打分': 2}
{'短评内容': '还行，服务不错，住得舒服', '短评打分': 3}
{'短评内容': '前天美女很客气的，酒店值得推荐', '短评打分': 5}
{'短评内容': '设施有点老，房间里的沙发还是扔了吧，都露出海绵了', '短评打分': 4}
{'短评内容': '这次入住感觉很差，一是酒店用的水是井水，所以烧出来的开水上面漂浮着一层白色的絮状物，根本就没办法喝，搞得我买了好几瓶水喝；二是宾馆的床垫真差，一点都不平整，我拍的照片都可以看出不平整，大家应该知道什么程度了；三是半夜停电了，没有空调热醒了；四是悲剧的还发现一只虫子，也不知道哪里冒出来的。因为无聊，所以都拍了照片，建议大家不要考虑这个酒店。', '短评打分': 1}
{'短评内容': '这是一家新开的酒店，房内的设施也相当的干净，感觉不错的，如果你来景德镇就来这家酒店吧，相当不错的', '短评打分': 5}
{'短评内容': '酒店新开张不久，服务总体还行（就是信用卡都不能刷），还有就是地段不好，所在道路找家吃饭的真不容易。', '短评打分': 5}
