{'短评内容': '服务环境价格都可接受', '短评打分': 5}
{'短评内容': '服务周到，热情细致', '短评打分': 5}
{'短评内容': '很好，住很舒服。', '短评打分': 5}
{'短评内容': '房间号很好 特干净附近有吃饭得地有公交站离高铁站很近 服务也特别好贼棒棒大家可以去住一下嘎嘎嘎嘎哈噶', '短评打分': 5}
{'短评内容': '好评，这次入住很满意，整体很好，房间也很大，很干净宽敞舒适，地方好有停车位，设施不错，床舒服，浴室淋浴出水快，布草干净柔软很好，有一次性杯子梳子牙刷、尤其赞的是洗漱用品都是一次性的、洗漱用品感觉不错、入住时让服务员安排一间光线好的、无线和电视也很好用、电视画质也比较清晰、空调电视也好用，服务热情周到，前台接待服务态度很好，很亲切，服务很细致，打扫房间的阿姨很热心  环境卫生好，房间的隔音也好，我那', '短评打分': 5}
{'短评内容': '没有早餐，没有停车泊位，房间没有水，应该是可以加床的，酒店位置临街，带孩子睡大床枕头不够，其他都还行', '短评打分': 3}
{'短评内容': '失败而告终，哎没有用上', '短评打分': 5}
{'短评内容': '好评！ 整个房间都很干净 也挺舒适', '短评打分': 5}
{'短评内容': '还行&hellip;&hellip;。  还可以', '短评打分': 5}
{'短评内容': '环境不错  下次还来', '短评打分': 5}
{'短评内容': '对面有个工地，很吵，床比较硬，总体还是不错吧！', '短评打分': 3}
{'短评内容': '房间小，还有杂音搞得我半夜都没睡着。', '短评打分': 4}
{'短评内容': '很好，房间空间很大，干净整洁', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '最喜欢这家7天，服务很好', '短评打分': 5}
{'短评内容': '各方面还可以，房间放了牙刷牙膏', '短评打分': 5}
{'短评内容': '可以，不错，离车站很近，就是周围环境一般', '短评打分': 5}
{'短评内容': '环境不错，服务较好，值得入住', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间：房间订购的是大床房，房间空间很大，干净整洁，桌面上面放着7天销售品以及订购外卖单很贴心，卫生间内冷热水供应正常，花洒很好，洗澡舒服，配有包装的浴巾，由于统一取消了一次性洗漱用品，但是入住时赠送了牙膏和牙刷，房间内配有烧水壶和一次性纸杯、一次性拖鞋，有挂衣架，但是没有柜子，房间很大行李可以放在桌子下面，房间隔音效果好，而且走廊里面还提醒住客不要在晚上试用吹风机避免影响他人正常休息，床很软适合旅', '短评打分': 5}
{'短评内容': '房间朝马路，很吵！而且房间隔音差！比较阴暗', '短评打分': 3}
