{'短评内容': '不错～旁边吃得很多', '短评打分': 5}
{'短评内容': '地方比较偏，但也十分安静', '短评打分': 5}
{'短评内容': '很好很不错', '短评打分': 5}
{'短评内容': '就是位置不好找', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '这次酒店是我住的最舒服的，很赞。', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '随便住，很方便，出门都是吃的，又不贵。周围都是吃的。房间很干净，只是毛巾比较旧了。窗比较小，有点小味道。', '短评打分': 4}
{'短评内容': '位置挺不错的，交通便利，休闲购物都方便，感觉不错，楼下很规整的停车场车位充足，看着就舒服，大堂很大，精致时尚。房间是我住过经济酒店中最大的，因为楼层高，又是大飘窗，视野十分开阔。前台服务员温柔有礼，各种服务也很贴心，客房服务员都是很热情的大姐们，工作回来看到大姐们正在帮我收拾房间，闲聊几句特有亲切感，一扫一天的疲劳感觉，跟我介绍了好多地方小吃。房间里设置齐备，简约精致的很，有的房间还有沙发，窝在上', '短评打分': 5}
{'短评内容': '位置挺不错的，交通便利，休闲购物都方便，感觉不错，楼下很规整的停车场车位充足，看着就舒服，大堂很大，精致时尚。房间是我住过经济酒店中最大的，因为楼层高，又是大飘窗，视野十分开阔。前台服务员温柔有礼，各种服务也很贴心，客房服务员都是很热情的大姐们，工作回来看到大姐们正在帮我收拾房间，闲聊几句特有亲切感，一扫一天的疲劳感觉，跟我介绍了好多地方小吃。房间里设置齐备，简约精致的很，有的房间还有沙发，窝在上', '短评打分': 5}
{'短评内容': '位置挺不错的，交通便利，休闲购物都方便，感觉不错，楼下很规整的停车场车位充足，看着就舒服，大堂很大，精致时尚。房间是我住过经济酒店中最大的，因为楼层高，又是大飘窗，视野十分开阔。前台服务员温柔有礼，各种服务也很贴心，客房服务员都是很热情的大姐们，工作回来看到大姐们正在帮我收拾房间，闲聊几句特有亲切感，一扫一天的疲劳感觉，跟我介绍了好多地方小吃。房间里设置齐备，简约精致的很，有的房间还有沙发，窝在上', '短评打分': 5}
{'短评内容': '位置不错，到东风公司办事方便，离地铁的两个出口步行3分钟都很近，周围超市、吃饭也方便', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '不错的??性价比高！！！！！！', '短评打分': 5}
{'短评内容': '订的双床，可惜给的大床', '短评打分': 5}
{'短评内容': '走进大厅就给人感觉很好，进房间的走道上也给人一种舒适的感觉，房间很满意，网上预订的到前台还又便宜了5元，晚上睡觉很安静，就是沐浴的水压有点大，水冲在人身上有点痛。早餐还可以，就是品种少了点，但吃饱是没有问题的', '短评打分': 3}
{'短评内容': '该地段经济实惠的较好选择，主要没太多选择', '短评打分': 4}
{'短评内容': '环境还不错，小而精致，适合单人入住', '短评打分': 5}
{'短评内容': '方便快捷！', '短评打分': 5}
