{'短评内容': '好好。还是蛮不错的。点赞。', '短评打分': 5}
{'短评内容': '这个价钱在深圳…只能说一分价钱一分货…还可以，睡一觉而已', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '在这个酒店少说住过二三十次了，这次是忍无可忍。415房间没有纱窗酒店不能抓紧修吗？入住就关窗也来不及。晚上打死了11只蚊子，第二天早上6只，身上被咬了十几处，一晚上嗡嗡的也睡不好……', '短评打分': 2}
{'短评内容': '一般般', '短评打分': 5}
{'短评内容': '有点旧。有发霉', '短评打分': 4}
{'短评内容': '挺好的。。。', '短评打分': 5}
{'短评内容': '房间还可以吧，卫生啥的都还行，一个快捷酒店该有的样子', '短评打分': 5}
{'短评内容': '性价比相当高不错哦好的', '短评打分': 5}
{'短评内容': '性价比相当高不错哦好的好的', '短评打分': 5}
{'短评内容': '酒店卫生还行', '短评打分': 4}
{'短评内容': '房间设施好 干净卫生', '短评打分': 5}
{'短评内容': '由于在京东购物特别多了，攒了很多评价，就不一一回复了，总之就是京东非常棒', '短评打分': 5}
{'短评内容': '由于在京东购物特别多了，攒了很多评价，就不一一回复了，总之就是京东非常棒', '短评打分': 5}
{'短评内容': '一般般，，，', '短评打分': 4}
{'短评内容': '环境卫生都很棒，距离景田地铁站挺近的，周围还很多吃的。下次还会住。', '短评打分': 5}
{'短评内容': '居住环境很安静，卫生也干净整洁', '短评打分': 5}
{'短评内容': '一般吧，楼下是家汽修厂，白天挺吵的，晚上很安静，步行到职业技术学校大约半个小时，途中很多小吃店，不需要为吃的担心', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '酒店非常的差，因朋友要办事定了一间，楼下就是汽车修理厂', '短评打分': 2}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '干净卫生，交通方便，小吃店多', '短评打分': 5}
{'短评内容': '酒店太旧了，地板都坏了', '短评打分': 2}
{'短评内容': '离地铁站很近，交通方便', '短评打分': 5}
{'短评内容': '态度极差，最后还因为房卡的问题不退押金，态度很差', '短评打分': 2}
{'短评内容': '挺好的，周围挺多吃的，挺安静的', '短评打分': 5}
{'短评内容': '条件很一般，除了地理位置好外。凑合住吧', '短评打分': 3}
{'短评内容': '酒店还算卫生，就是该房型只有内窗，屋里有霉味，闷气，其它还好！', '短评打分': 5}
{'短评内容': '位置有点偏僻，但是离莲花山公园很近，出租车师傅一般都能找到、、、', '短评打分': 5}
