{'短评内容': '经常入住，性价比非常好。操作比较灵活，虽然没有餐饮，不过楼下的饭店还是非常多的，房间套房非常大，有专票。', '短评打分': 5}
{'短评内容': '性价比非常高，非常满意', '短评打分': 4}
{'短评内容': '对得起这个价', '短评打分': 5}
{'短评内容': '非常便宜，而且环境很好，连住了2天', '短评打分': 5}
{'短评内容': '非常便宜，而且环境很好', '短评打分': 5}
{'短评内容': '房間大，燈光好，適合商旅人士，虽然没有提供早餐，但是楼下有不少小吃，很方便。', '短评打分': 4}
{'短评内容': '好。                                                                   ', '短评打分': 5}
{'短评内容': '好咯。                                                     ', '短评打分': 5}
{'短评内容': '                                                                好', '短评打分': 5}
{'短评内容': '好好好好好好好好。                                           ', '短评打分': 5}
{'短评内容': '酒店环境不错的，出差住的，价格实惠。', '短评打分': 5}
{'短评内容': '房间挺大，卫生间较小，价格偏贵，毛巾都烂了！', '短评打分': 4}
{'短评内容': '房间很宽敞，设施很好。但有一点很不好，没带身份证与同事同一间房，竟然不给早餐券', '短评打分': 4}
{'短评内容': '很不错！', '短评打分': 4}
{'短评内容': '房间各方面都好，唯一不理解就是床头没插座', '短评打分': 4}
