{'短评内容': '早餐丰富、位置中心出行方便，有停车场', '短评打分': 5}
{'短评内容': '酒店位置很不错，办事情很方便，服务员态度礼貌。早餐还可以更丰富一点就更好了！总体给和个好评吧，下次还有可能继续入住。', '短评打分': 5}
{'短评内容': '总体还是不错的', '短评打分': 4}
{'短评内容': '特价在副楼，空间太小。就跟一般小宾馆一样', '短评打分': 2}
{'短评内容': '早餐非常丰盛，很划算这个价格，离市区非常近，以后出差就住这，有停车场，很适合来赣州购物居住，出行方便！', '短评打分': 5}
{'短评内容': '全是头发！这就是所谓的大床房，跟网上图片差太远', '短评打分': 3}
{'短评内容': '这个价格在这个地方算不错了，房间相对比较大，环境不错', '短评打分': 5}
{'短评内容': '房子还好，不错，就是有点小，其他都还可以', '短评打分': 5}
{'短评内容': '不错的体验', '短评打分': 5}
{'短评内容': '性价比不错的酒店', '短评打分': 5}
{'短评内容': '没来得及拍照，新装修得房间还不错，离市区近，方便！', '短评打分': 4}
{'短评内容': '非常满意！', '短评打分': 5}
{'短评内容': '不知道携程的原因还是酒店方面的原因，相互推诿，办入住花了近半小时，很不愉快的一次入住。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '总台服务好周边环境不错，', '短评打分': 4}
{'短评内容': '很好。', '短评打分': 5}
{'短评内容': '来赣州出差就住该酒店', '短评打分': 4}
{'短评内容': '来赣州出差就住该酒店', '短评打分': 4}
{'短评内容': '酒店位置不错，交通方便，客房装饰很不错，很温馨，餐厅菜肴很丰富，味道不错，服务员很热情，下次还会入住。', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '比较方便，但是设施陈旧！', '短评打分': 4}
{'短评内容': '还不错。。。。。。', '短评打分': 4}
{'短评内容': '不错，配置挺齐，卫生间挺干净，水挺大，酒店位置也很不错，下次去还会订它。', '短评打分': 5}
{'短评内容': '三星级，性价比一般，卫生还可以更干净才好，不过早餐还可以。', '短评打分': 5}
{'短评内容': '大家都点评说有送水果，但我只吃了一天，还是最后一天。空调是中央空调，噪音挺大，晚上只能关掉，房间大小还马马虎虎，临街的话由于是双层窗户隔音还不错。好处是，网速不错，有时候下载能达到2Mbps/sec', '短评打分': 5}
{'短评内容': '房间有股味，说是有wifi，其实搜不到，不过有网线提供上网，可惜我没带笔记本而是带了ipad，冷气太噪。我订了两个房间，入住的时候刷卡预付800保证金预授权，退房时在800里面扣376，而剩下的钱却第二天再发回帐户上，前台骗取隔夜利息，态度也不行。但早餐很不错，酒店保安的停车指引也到位。', '短评打分': 1}
{'短评内容': '价格与218元的房间不成正比，房间设施家具太陈旧，竟然停电两个小时？如180元价格可以接受。太失望！！！', '短评打分': 3}
{'短评内容': '老酒店了，设施一般', '短评打分': 3}
{'短评内容': '地段不错，离办事的地址很近，环境一般般，但在赣州还算很好的啦', '短评打分': 5}
{'短评内容': '卫生，服务还可以；\n房间大小适中，设施不错；\n地点在主干道上(窗户隔音很好），比较方便，初次去赣州可以尝试一下；\n', '短评打分': 5}
{'短评内容': '这次住的1102，行政楼豪华标间，感觉蛮好，所有看起来都是新的', '短评打分': 5}
{'短评内容': '这次住的新商务单间703，空调太吵，其它还好', '短评打分': 5}
{'短评内容': '酒店位置比较好，在主干道。早餐还不错。就是房间家具家电比较旧。', '短评打分': 5}
{'短评内容': '价优房好，就是离高速稍远了点，不过赣州下来都是这么远', '短评打分': 5}
{'短评内容': '的确不错！下次还会入住！只是早餐没想像的那么丰富', '短评打分': 5}
{'短评内容': '还蛮好，还算安静,就是不能开机打的住宿发票，只有普通的商业定额发票。回复说赣州酒店都这样。', '短评打分': 5}
{'短评内容': '房间家具比较旧。但是早餐还不错。位置还可以，主干道。', '短评打分': 5}
{'短评内容': '性价比较高~~房间很干净，网速也快。早餐丰富，出差旅行的不错选择', '短评打分': 5}
{'短评内容': '酒店不错，早餐也丰富', '短评打分': 3}
{'短评内容': '每次从深圳回江西都住这家店，挺不错的。值得推荐', '短评打分': 5}
{'短评内容': '服务还可以，性价比较高，就是房间开窗比较吵，早餐还可以在丰富一点滴！', '短评打分': 5}
{'短评内容': '不错，交通方便，房间住的也很舒适，就是早餐稍微没明珠大酒店丰富。', '短评打分': 5}
{'短评内容': '设施比较老，服务还可以，比较热情，房间开窗比较吵，楼下就是繁华的大马路！整体还算可以，不到两百块算是可以了！', '短评打分': 5}
{'短评内容': '环境不错，下次可以介绍朋友过来试试 还是比较推荐的', '短评打分': 5}
{'短评内容': ' 性价比很高的酒店，吃饭点菜较贵，套餐很实惠。', '短评打分': 3}
{'短评内容': ' 很不错的酒店，性价比很高', '短评打分': 3}
{'短评内容': '洒店不错，交通方便，卫生服务都不错，早餐质量也很好，大床房间稍小。', '短评打分': 3}
{'短评内容': '市中心段这个价位的酒店真的挺划算的了。住了一天，环境还是不错的。就是我之前把免费上网理解成有电脑的了。结果是插网线的。呵呵！性价比挺高。推荐下！而且服务质量也不错哦！', '短评打分': 5}
{'短评内容': '房间有点小，卫生还可以，早餐不错，服务过得去。', '短评打分': 5}
{'短评内容': '客房乾淨整潔,早餐好吃中式酉式一應俱全口味好,面點,芝麻球,包子,目不瑕給,最重要是服務態度良好細心,顧客的衣服晾著未乾,還送去晾乾,真是貼心\n', '短评打分': 5}
{'短评内容': '酒店不错。位置环境都很好，下次出差赣州还来这里入住！', '短评打分': 5}
{'短评内容': '从高速下来比较好找，停车方便。入住行政单人房，有点旧，不过性价比高', '短评打分': 5}
{'短评内容': '酒店地理位置很好，设施也不错，服务也挺好，由于路上堵车，比预定最晚时间晚了两个多小时，前台服务生还来点询问，谢谢了', '短评打分': 5}
{'短评内容': '不错 在赣州市区有那样实惠的酒店 方便 卫生 经济 ', '短评打分': 5}
{'短评内容': '性价比高，服务蛮好，卫生不错，设备有点旧，交通便利，房间的面积还算大，空调的声音有点大，总的来说，还是可以，下次还会考虑入住', '短评打分': 5}
{'短评内容': '赣州赣龙大酒店', '短评打分': 3}
