{'短评内容': '301医院附近性价比最高的酒店 没有之一', '短评打分': 5}
{'短评内容': '房间有浴缸，我住的大床房浴缸和淋浴不是分离的，要站在浴缸里洗淋浴。但是水很舒服，花洒没有严重的堵塞情况。', '短评打分': 5}
{'短评内容': '酒店虽然离高架不远，但是门口的路还是挺安静的，除了早晚高峰，其他时间车都不多。服务态度很好，硬件虽然不是崭新的，但使用过程中未发现损坏或者不能用的情况。房间空间很大，住着很舒适，不会觉得拥挤。周边交通也比较方便，到五棵松地铁站走路20分钟左右。周边有学校和商超，所以吃喝购物不成问题。总体还是很满意的，性价比不错。', '短评打分': 5}
{'短评内容': '房间大，离301近', '短评打分': 4}
{'短评内容': '酒店挺干净的，不错', '短评打分': 5}
{'短评内容': '价格合理', '短评打分': 4}
{'短评内容': '环境还不错，房间很大！', '短评打分': 5}
{'短评内容': '价格合理，酒店装修有点旧，服务还好！早餐一般！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '一定是你给予', '短评打分': 2}
{'短评内容': '宾馆不错，住的很好，住宿费还是比较划算的', '短评打分': 5}
{'短评内容': '酒店不错，空间也大，就是饭菜比较贵', '短评打分': 5}
{'短评内容': '不错的商品值得推荐啊啊', '短评打分': 5}
{'短评内容': '在北京宾馆就是贵啊，这个价格最多也就3星水准了', '短评打分': 4}
{'短评内容': '和价位匹配的服务和环境，星级神马的都是浮云', '短评打分': 5}
{'短评内容': '房间够大，比较舒适，饭菜偏贵，服务还可以，综合来说还不错', '短评打分': 5}
{'短评内容': '房间够大，比较舒适，饭菜偏贵，服务还可以，综合来说还不错', '短评打分': 5}
{'短评内容': '入住的没暖气，晚上很冷，服务和设施一般', '短评打分': 2}
{'短评内容': '很好，住宿条件好，服务好，推荐，下次出差啊还住这里，很好，住宿条件好，服务好，推荐，下次出差啊还住这里，很好，住宿条件好，服务好，推荐，下次出差啊还住这里，', '短评打分': 5}
{'短评内容': '适合旅行住宿', '短评打分': 5}
{'短评内容': '服务不错，出行方便。以后还会入往。', '短评打分': 5}
