{'短评内容': '我也是醉了', '短评打分': 5}
{'短评内容': '很差很差很差', '短评打分': 1}
{'短评内容': '房间的床很大，整体卫生较好！', '短评打分': 4}
{'短评内容': '七天还是一如既让的那么舒服', '短评打分': 4}
{'短评内容': '商务出行还可以', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '好好', '短评打分': 5}
{'短评内容': '楼很显眼，楼道很难发现，周围拆迁，一片废墟。好在外面大路上小吃店还是不少，让人选择很多，强烈建议在一楼设个大点的门脸', '短评打分': 4}
{'短评内容': '一般出去住7天比较多，价格实惠，住着也舒服，给好评', '短评打分': 5}
{'短评内容': '如果就近办事说话，位置可以，离地铁站很近。', '短评打分': 4}
{'短评内容': '很好，卫生不错！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '好环境可以交通方便每年都会订谢谢', '短评打分': 5}
{'短评内容': '环境好满意下回还会住，价格在优惠点就更加满意', '短评打分': 5}
{'短评内容': '周边拆迁', '短评打分': 2}
