{'短评内容': '呃呃呃', '短评打分': 5}
{'短评内容': '还行吧，就是房间有点小卫生间很大', '短评打分': 4}
{'短评内容': '真的很不错', '短评打分': 5}
{'短评内容': '好地方，环境好', '短评打分': 5}
{'短评内容': '房间挺好的', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '特别棒，店员很好说话，服务到位', '短评打分': 5}
{'短评内容': '为了考试订的，还不错，就是隔音一般般', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '很不错，交通方便，旁边就有吃的，很方便', '短评打分': 5}
{'短评内容': '第二次入住，感觉比第一次好一点！', '短评打分': 2}
{'短评内容': '旧了，地理位置很棒，新旧梦之岛之间，吃东西更方便', '短评打分': 4}
{'短评内容': '环境还可以，附近吃东西的地方少一点，就是离办事的地方近。', '短评打分': 3}
{'短评内容': '房间整体还好，就是有点久，窗帘拉不上', '短评打分': 3}
{'短评内容': '还行吧，感觉设施旧一点', '短评打分': 3}
{'短评内容': '交通便利、吃饭购物都很方便。房间有些潮，WIFI信号不稳定。', '短评打分': 3}
{'短评内容': '环境还可以，房间很干净，就是卫生间有点差，其它都没有什么了，下次还会订的', '短评打分': 5}
{'短评内容': '   周围施工有点吵', '短评打分': 3}
{'短评内容': '和图上一样，环境很好，前台服务很耐心！热水刚合适！非常满意，下次去还会去住！', '短评打分': 5}
{'短评内容': '虽然酒店空间很小，但是服务很好也很干净，不错！', '短评打分': 5}
{'短评内容': '酒店房间比较干净，性价比比比较高，出行方便，就是没有早餐', '短评打分': 5}
{'短评内容': '交通方便，价格合理，购物方便，宽带不行，', '短评打分': 5}
{'短评内容': '后面有工地在施工，晚上睡觉比较吵，交通便利，价格合理', '短评打分': 5}
{'短评内容': '离市中心近，生活配套设施完善，房间稍小，其他各方面还是很不错的', '短评打分': 5}
{'短评内容': '位置好，但是店面不好找。周围生活配套各方面还是挺完善的', '短评打分': 5}
{'短评内容': '干净整洁，地理位置方便，周边餐饮娱乐齐全，停车方便。', '短评打分': 5}
{'短评内容': '环境不错，服务也好！就是有点小贵，有点不好的就是在那个地段打车很难！上次想打车去车站等了半个多小时都没有的士，结果错过了班车！！', '短评打分': 5}
{'短评内容': '前台服务人员态度不是很好,酒店位置不错,出行方便', '短评打分': 5}
{'短评内容': '地点很好，离市中心购物小吃什么的都很近，但是那天去的总台服务不算很好，态度有待提高。', '短评打分': 5}
{'短评内容': '酒店后面在施工,有点吵,但是 交通还不错', '短评打分': 5}
{'短评内容': '服务态度不错，环境也很好，就是停车不是很方便。', '短评打分': 5}
{'短评内容': '地理位置不错，靠近市中心，附近有电科、四大银行，虽然后面有工地在施工，但没有觉得吵。就是没办法刷卡，怎么说也是个连锁酒店，怎么就没有刷卡呢？？', '短评打分': 5}
{'短评内容': '位置挺好，出行很方便，就是房间偏小了点，', '短评打分': 5}
{'短评内容': '酒店环境不错，离市区比较近，交通，购物都很方便，价格也实惠，唯一的缺点就是不能刷卡消费，希望以后能刷卡消费。', '短评打分': 5}
{'短评内容': '网速有点慢，后面建楼房，吵多', '短评打分': 3}
{'短评内容': '环境很一般，没有过多的服务。离民居很近，离街边很近。', '短评打分': 1}
{'短评内容': '马马虎虎。', '短评打分': 3}
{'短评内容': '还可', '短评打分': 3}
{'短评内容': '还可!', '短评打分': 3}
{'短评内容': '这酒店还可以,', '短评打分': 3}
{'短评内容': '床不够柔软!', '短评打分': 3}
{'短评内容': '位置很好，距离市中心很近，很方便，就是不大好找，门面很小', '短评打分': 5}
{'短评内容': '很便宜，离市中心不远，什么都方便   ，很温馨的房间       ', '短评打分': 5}
{'短评内容': '环境不错\u3000就是卫生间太暗了', '短评打分': 3}
