{'descr': '给领导预定的，客户对面，其他不清楚！', 'star': 5}
{'descr': '不错以前经常住这里', 'star': 4}
{'descr': '还是可以哈。', 'star': 3}
{'descr': '值得信赖', 'star': 4}
{'descr': '性价比不错，不能刷信用卡预授权。', 'star': 3}
{'descr': '中间发生点小插曲闹得有点不愉快，还好后来解决了，但以后不会再考虑这里了。', 'star': 3}
{'descr': '原来订好标双的，深夜去到才说没收到携程订单，标双已经没有了只有单间，卫生一般，靠近马路和市场有点嘈，不会再考虑了。', 'star': 3}
{'descr': '周六的早餐单调了点，就只有面条。其他方面还好吧，还算比较干净。', 'star': 5}
{'descr': '有味儿。', 'star': 3}
{'descr': '这是我住过的重庆南岸区最差的酒店。1.一进房间，有股怪怪的异味，开窗通风2小时后才后稍有改善。2.空调不制热，被子又薄，夜里冻得睡不着。3.枕头只有一只，要总台加枕头，回复说通知了服务员，但直到第二天退房都没见到。4.房间里干道近，窗户又不严实，隔音很差。5.卫生间洗漱用具不好，一次性拖鞋质量极差。原来订的两晚，住了一宿赶紧换酒店。', 'star': 1}
{'descr': '总体很不错，总体感觉比如家、七天强，如是全国分店都很多的话 就好了', 'star': 5}
{'descr': '挺好的，前台服务态度还可以房间设施也还不错。', 'star': 3}
{'descr': '离工商大学很近，吃饭也方便~虽然离市区远，来这边办事，还是很方便！', 'star': 5}
{'descr': '空调不好', 'star': 3}
{'descr': '酒店太不人性化了,超过12点1小时退房就多收了我半天的房费!', 'star': 3}
{'descr': '早晨结账，前台那个男的态度极其恶劣，开发票没有询问的情况下就开了个人，要求他开单位，填上单位名称，这个恶心男口出脏言，以后再也不住了。', 'star': 1}
{'descr': '酒店设施不错，值得推荐~~~~~~~~~~', 'star': 5}
{'descr': '房间挺宽敞的，住着感觉挺舒服，而且价格优惠，整体水平比较好.唯一不足就是浴室干湿不分离.', 'star': 5}
{'descr': '位置稍有点偏，不过距离我办事的地方还是蛮近的，而且室内条件不错，挺宽敞的.', 'star': 5}
{'descr': '很干净。性价比很高。\n这次家人们来重庆住了这里。都表示非常满意。\n很干净。也很方便。\n早餐也很好吃~\n各种好评~', 'star': 5}
{'descr': '为小妹定的，进去感觉挺好，房间较新，干净整洁，总的来说性价比较高', 'star': 5}
{'descr': '位置一般，但如果是到附近的大学，这个位置还是很理想的。', 'star': 5}
{'descr': '非常不错哦.离工商大学很近  交通也很方便。  ', 'star': 3}
{'descr': '这个酒店太差', 'star': 5}
{'descr': '酒店是新的，装修较好，性价比高，离工商大学很近，上学校办事方便。', 'star': 5}
{'descr': '非常不错', 'star': 5}
{'descr': '白天晚上，那个街道都 闹腾得阿~\r\n购宽敞', 'star': 5}
{'descr': '设施一般~临近工商大学，周围吃喝不成问题，交通还算方便，价格略高了', 'star': 5}
{'descr': '卫生很好，服务不错，就是晚上睡时，外面很吵，环境不好，价格偏高，其他都不错。', 'star': 5}
