{'短评内容': '环境不错，早餐很好', '短评打分': 5}
{'短评内容': '入住时特意问前台帮我选个靠里面的房间，答应的好好的，结果住进去我的妈呀吵的要命，原来是靠大马路的，而且窗户一点都不隔音。打电话请帮我换一间答曰没房了，心里非常不爽，敬告大家千万不要住靠外面的，不是一般的吵，简直是煎熬！', '短评打分': 3}
{'短评内容': '还可以，挺干净的。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店位置是挺好的，就是晚上有点小吵，可能是地处市区的原因，服务态度挺好的，离店办理也挺快的，就是可以检查一下洗漱，沐浴露等，不然还得打电话给客房拿来。', '短评打分': 5}
{'短评内容': '喜欢住锦江，bijiaoshufu', '短评打分': 5}
{'短评内容': '有停车场，酒店位置很方便', '短评打分': 5}
{'短评内容': '酒店环境不错，离甲秀楼较近，斜对面是贵州师范大学。', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '不错哦，挺干净的，而且服务态度很好', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '首先，晚上11点以后房间没有空调 没有热水。这个必须要给个好评！！  换完房间后，被告知全楼层都没热水！这家店估计也是全国比较牛的一家了。给想来这里住的朋友一个参考 强烈建议大家住旁边的西湖花园酒店，多花个一百块 不至于冬天在屋里挨冻！', '短评打分': 2}
{'短评内容': '床单这些都没有换，枕头下面还有上一个客人留下的橡皮筋。感觉很不好', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '总体还行，卫生还不错，', '短评打分': 5}
{'短评内容': '还不错，快捷酒店其实都差不多，隔音稍微差了点，别的都还行', '短评打分': 5}
{'短评内容': '方便快捷，不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还不错，服务贴心', '短评打分': 4}
{'短评内容': '商务人士出差选择酒店，酒店应该有一点年限了。', '短评打分': 5}
{'短评内容': '洗澡没有热水，是温水，工作人员说是客人太多锅炉烧水来不及，第二天早上还是温水。太差了。', '短评打分': 3}
{'短评内容': '酒店很好、很新，房间干净时尚，服务好，交通便利，停车方便，是这次贵阳之行最满意的酒店。', '短评打分': 5}
{'短评内容': '酒店前台太小，Pose机坏了不能刷预授权，电梯小且只有1个，感觉人很多，房间还好。', '短评打分': 3}
{'短评内容': '位置很好，在省公安厅对面。交通便利，周围有公交车到火车站，黔灵公园及金阳开发区。房间干净，设施齐全。服务很好。', '短评打分': 5}
{'短评内容': '门牌号不好找。这条路上居然另外有家牙科医院（貌似是牙科医院）也是189号（号码也记不清了，抱歉），而锦江之星也是这个号码。所以，在的士上看到那个牙科医院的时候震惊了，也只能下来再慢慢找。\n\n房间还是很干净、整洁的。特别是雪白的床单，有质感，看上去就比以前住过的莫泰、如家之类的经济型酒店要舒服。整体来说，值得推荐！', '短评打分': 5}
{'短评内容': '免费停车，不远就是商业中心。在主干道上，出城很方便', '短评打分': 5}
{'短评内容': '很不错的酒店,每次去贵阳的首选`````````````', '短评打分': 5}
{'短评内容': '设施比较新，专门的客房电梯，没有电话或者其它的干扰。交通方便，有停车场。不错，值得推荐。靠街道的房间有点吵', '短评打分': 5}
{'短评内容': '还不错，就是房间有点小，洗澡的水也比较小', '短评打分': 5}
{'短评内容': '酒店属于比较干净的，就是靠近ktv晚上10点到凌晨3点都还很吵！其他不错', '短评打分': 3}
{'短评内容': '经常出差 但是还是第一次入住锦江之星 非常好的入住体验 酒店很卫生 二楼还有餐厅可以吃饭 早餐也不错 不愧是经济连锁酒店的首选 比7天 如家要好很多 值得推荐 ', '短评打分': 5}
{'短评内容': '刚好我们去正在在装修，味道好大。所以我们搬到旁边的西湖酒店！', '短评打分': 5}
{'短评内容': '什么都不错，停车场比较大~~~对面就是公安厅   交通方便', '短评打分': 5}
{'短评内容': '位置好找，比较方便，房间干净安静。总体不错。', '短评打分': 5}
{'短评内容': '舒适。干净，便宜。下次还会入住。餐厅很好，实惠。', '短评打分': 5}
{'短评内容': '房间挺大的，餐厅的菜味道也不错，就是电梯里刷卡有时不太灵', '短评打分': 5}
{'短评内容': '在省公安厅的正对面，市区里面，离喷水池也近，环境不错，服务也很好', '短评打分': 5}
{'短评内容': '酒店服务态度很好，环境也好，下次还会入住。', '短评打分': 5}
{'短评内容': '不错。很好。经济酒店中高档的。 上次还会入住。锦江之星，汉庭属于同一档次。比7天硬件的要好很多。但价格也要稍高一些。', '短评打分': 5}
{'短评内容': '酒店不错，装修都很新，价格公道，周围也很热闹，小吃很多，下次一定还会入住。', '短评打分': 5}
{'短评内容': '还不错，，，房间干净，就是出门打车不是很方便', '短评打分': 5}
{'短评内容': '电视质量太差，都看不清楚图像，其他的还可以，比较安全，电梯要刷卡才可以上', '短评打分': 5}
{'短评内容': '一直觉得锦江是经济连锁酒店里最好的啦…', '短评打分': 3}
{'短评内容': '锦江之星是经常光顾的酒店了，还是一如既往的好，服务员很热情，卫生条件也比其他类型的要好一些，而且这里交通很方便，旁边就是师大，晚上出去玩也很不错哦！', '短评打分': 5}
{'短评内容': '酒店温馨，给人舒心的安全，每个服务人员都是微笑接待，耐心讲解，价格也适合工薪阶层·····', '短评打分': 5}
{'短评内容': '交通蛮方便 但是酒店装修等不太好 显得老旧', '短评打分': 5}
{'短评内容': '门面虽然小了点，但是里面的装修，摆设等很好，很有家的感觉', '短评打分': 5}
{'短评内容': '2011年7月份去的   貌似是家新店 离市中心不算近  但是在可接受的范围内 环境很好 简洁明亮 装修特别有舒适感   门口不好打车 ', '短评打分': 5}
{'短评内容': '酒店性价比比较高，干净整洁，单人间比标间好些，呵呵，个人认为！', '短评打分': 5}
{'短评内容': '卫生条件不错，下午还给收拾房间，比其他的快捷较好', '短评打分': 5}
{'短评内容': '交通方便，有停车场较方便，服务态度不错。但房间隔音不好，临街的房间较噪', '短评打分': 5}
{'短评内容': '还可以。新开的。环境也不错。就是有点贵。', '短评打分': 5}
{'短评内容': '毕竟是锦江之星,房间内的设备还是要高档不少的!如果去贵阳中医附一,住这儿挺好的!公交车也很方便!', '短评打分': 5}
{'短评内容': '千万不要住靠马路这边，噪音太大。商务房很不错，保持锦江一贯水平。', '短评打分': 5}
{'短评内容': '挺好。挺新的。挺个干净。就是价格不便宜。', '短评打分': 5}
