{'短评内容': '和前一个评论一样', '短评打分': 3}
{'短评内容': '这家酒店住了很多次，这次是体验最糟糕的。换了六楼两个房间，空调都不太热，而且噪音大。结账时，这次没有专票，还说我们用了房间的指甲剪。后来把那个钱退给我们了。以后再也不想住了', '短评打分': 3}
{'短评内容': '房间大，安静，无异味，好评', '短评打分': 5}
{'短评内容': '差，空调坏的，网速也超级慢，隔音之差，而且服务员还要大声喧哗', '短评打分': 3}
{'短评内容': '出差住宿舒适', '短评打分': 5}
{'短评内容': '位置挺方便', '短评打分': 4}
{'短评内容': '卫生还行', '短评打分': 5}
{'短评内容': '酒店卫生干净，有免费停车场，早餐一般般，住宿环境安静！', '短评打分': 5}
{'短评内容': '酒店环境很好，停车场有很宽，免费的，值得推荐！', '短评打分': 5}
{'短评内容': '酒店住宿环境绝对可以，就是早餐一般，', '短评打分': 5}
{'短评内容': '酒店很好，值得推荐！', '短评打分': 5}
{'短评内容': '来了，前台竟然没有订单，等了半小时。明明已经确认的，京东还需提高啊！', '短评打分': 5}
{'短评内容': '京东订房服务不错，以后还要再来。', '短评打分': 4}
{'短评内容': '我刷卡的预付款也不给我退', '短评打分': 3}
{'短评内容': '很棒的酒店，无论服务还是卫生设施都赞不绝口，出差旅行首选，下次会继续选择', '短评打分': 5}
{'短评内容': '酒店卫生不行', '短评打分': 3}
{'短评内容': '还是不错的', '短评打分': 5}
{'短评内容': '洗澡的出水很不好', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '价格还行吧，公司同事推荐的，离办事单位很近，周边超市饭店影院都有，还是蛮方便的，就是房间偏小，设施一般，蛮干净的。成都是个不错的地方，以后还要来好好转转', '短评打分': 5}
{'短评内容': '价格还行吧，公司同事推荐的，离办事单位很近，周边超市饭店影院都有，还是蛮方便的，就是房间偏小，设施一般，蛮干净的', '短评打分': 5}
{'短评内容': '还不错，熬了通宵去睡了个觉。没什么特别的', '短评打分': 4}
