{'短评内容': '房间不错 就是门锁有点问题', '短评打分': 5}
{'短评内容': '要是有早餐就更完美了', '短评打分': 3}
{'短评内容': '不错的酒店', '短评打分': 4}
{'短评内容': '不错的地点', '短评打分': 5}
{'短评内容': '没早餐，交通还比较方便，坐102路可到。我住的103元大床房性价比挺高的，经济实惠。', '短评打分': 5}
{'短评内容': '很好很棒很贴心', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '酒店位于步行街闹市区，旁边有条食街，吃东西很方便，想逛逛街的更方便，如家快捷酒店除了房间窄小一些，卫生还算过得去', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '环境不错，一切都还好。', '短评打分': 5}
{'短评内容': '干净卫生', '短评打分': 4}
{'短评内容': '一般吧。还可以', '短评打分': 4}
{'短评内容': '不错不错的，下去就是步行街了。', '短评打分': 5}
{'短评内容': '挺好的，赞一个', '短评打分': 5}
{'短评内容': '感觉一般吧，房间好小，完全没三中的如家好。', '短评打分': 3}
{'短评内容': '就是小点。其他还行。性价比还好。住了两次', '短评打分': 5}
{'短评内容': '位置好，酒店有特色，还是挺不错的酒店，下次还会入住', '短评打分': 5}
{'短评内容': '位置好，酒店有特色，还是挺不错的酒店，下次还会入住', '短评打分': 5}
{'短评内容': '如家住宿条件很好，干净整洁，舒适清爽，交通便捷，值得好评！', '短评打分': 3}
{'短评内容': '房间还不错，比较经济实惠，离汽车站很近，交通方便，下次还会选择入住，谢谢', '短评打分': 5}
{'短评内容': '服务态度不错，虽然出了点问题，但是及时解决了', '短评打分': 5}
{'短评内容': '房间太小了，跟网上说的不一致，空调对着床吹，很担心被吹生病，晚上都不敢开，简直郁闷到极点，下次再也不考虑了，不是办了手续，肯定退掉。', '短评打分': 1}
{'短评内容': ' 位置很好，还不错。', '短评打分': 3}
{'短评内容': '环境一般 整体不如格林豪泰', '短评打分': 3}
{'短评内容': '价格相对来说有点贵，不过好像那一片都不怎么便宜。前台服务态度相当满意，房间也相当满意。总之，住的还是很舒心的。', '短评打分': 5}
{'短评内容': '地方不错', '短评打分': 3}
{'短评内容': '环境还可以  周边购物吃饭比较方便  不过淋浴喷头有问题  有待改进', '短评打分': 5}
{'短评内容': '这个酒店不错，地理位置很好，价格还可以的，会推荐朋友入住', '短评打分': 5}
{'短评内容': '经济实惠的典范，没什么可说的。。。。\n\n\n。。', '短评打分': 5}
{'短评内容': '实用干净舒适，在闹市中心，逛街购物方便，但早餐东西不够新鲜', '短评打分': 5}
{'短评内容': '，房间设施都很不错，下次住宿还来这里。', '短评打分': 3}
{'短评内容': '非常棒的酒店！地理位置方便，客服热情有礼，房间舒适整洁，一切都很满意！', '短评打分': 5}
{'短评内容': '没有无线网络，别的都还不错，特别是地理位置', '短评打分': 3}
