{'短评内容': '住的挺好，下次还会选择入住', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境比较好，忘了拍照', '短评打分': 5}
{'短评内容': '很好很干净', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '干净，卫生，服务态度好，性价比不错', '短评打分': 5}
{'短评内容': '很好，，，，。。。。', '短评打分': 5}
{'短评内容': '不错～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～', '短评打分': 5}
{'短评内容': '酒店设施不错，就是位置有点偏。', '短评打分': 4}
{'短评内容': '环境不错，安静，卫生！', '短评打分': 4}
{'短评内容': '出行三天，朋友们说今天是住的最舒服的一天！交通便利，停车方便，房间设施齐全，干净舒适整洁，信价比超高！特赞！下次还来住！', '短评打分': 5}
{'短评内容': '朋友住的挺满意', '短评打分': 5}
{'短评内容': '挺好的，这附近一般都去这家', '短评打分': 3}
{'短评内容': '周边环境算一般，洒店服务一般。', '短评打分': 3}
{'短评内容': '环境服务，卫生挺好。', '短评打分': 5}
{'短评内容': '报歉.已经取消入住了.', '短评打分': 3}
{'短评内容': '酒店的大厨一趟糊涂，不换人，餐饮迟早没人吃了。', '短评打分': 5}
{'短评内容': '郑州上街区可选择的酒店不是很多，于是就选择了全国连锁的锦江之星，总体感觉和其它地方的标准差不多，强烈推荐。', '短评打分': 5}
{'短评内容': '住宿的房间不错，就是浮尘太大，调了次房才可以，其他的服务态度很好，用品细致也不错，干净，值得住。在上街算不错的了', '短评打分': 3}
{'短评内容': '还不错，值得住', '短评打分': 3}
{'短评内容': '酒店不错…就是不在城中心…', '短评打分': 3}
