{'短评内容': '带上一家人去度假，第二次了，泡温泉很好', '短评打分': 5}
{'短评内容': '早餐可以，吃的种类有米粥、炒米粉、各种各样青菜、鸡蛋、咖啡、牛奶等等。类酒店位置不错，在岛上，可骑单车环岛游。', '短评打分': 4}
{'短评内容': '早餐一般，素食为主', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '早餐没去吃 房间太小加不了床 蚊子多不适合带孩子去…温泉边的护栏不严密，里面开灯的话从外面看得一清二楚，总体一般，没有想象中那种期待！', '短评打分': 4}
{'短评内容': '第一次住度假茅房酒店，网上订的房间，性价比挺高的，如果到店开房贵一半就不太值！岛上环境优美，不过习惯了大城市，虽然可以租车，不过还是觉得买东西比较麻烦，而且种类不多！海鲜比较新鲜，可以在渔民手上就可以买到便宜的海鲜！再说说酒店设备吧！空调不能开暖气，开冷风还有大声的吵杂声！被子脏了，联系前台，等了一晚上也没有过来看看是什么问题！虽说有温泉，不过是安入住人数开放的，没去公共池泡，就在自家门前的水池泡', '短评打分': 5}
{'短评内容': '特别想去，可惜临时有事去不了', '短评打分': 5}
{'短评内容': '环境不错，只是天气太热，空调不够力。', '短评打分': 5}
{'短评内容': '还行吧，温泉不错，唯一不好的是天气了，', '短评打分': 5}
{'短评内容': '真有点大失所望的感受，三百多的一间房原来是和员工宿舍住在一起，连一般的招待所的级别都比不上，其他的就不想说了，建议携程推介这些房间时注明是和员工宿舍在一起的，贪便宜的就住，不然一定会和我一样有上当受骗的感觉。', '短评打分': 4}
{'短评内容': '环境不错，好浪漫看海，有温泉泡，电车方便', '短评打分': 4}
{'短评内容': '环境很好，有待完善', '短评打分': 5}
{'短评内容': '住的是别墅区，很安静。房间不大，有独立的温泉♨泡。吃饭可以在度假村，也可以出去吃农家菜。度假村环境不错，就是路有点绕。', '短评打分': 4}
{'短评内容': '在岛上，房间环境还可以', '短评打分': 4}
{'短评内容': '环境优美，服务一流，住的也舒服，疲惫的身躯一来到这瞬间舒服了，住的小木屋还靠海，一次不错的体验，如果有海边露营更不错', '短评打分': 5}
{'短评内容': '总体满意', '短评打分': 5}
{'短评内容': '不错老婆儿子都喜欢', '短评打分': 5}
{'短评内容': '不错，挺有特色，别墅风格很宜人，我们住B011、B012茅草别墅，有独立的温泉池，服务元傍晚的时候清洗干净，放满水，很舒服。几个朋友一起泡泡，聊聊天很惬意。', '短评打分': 4}
{'短评内容': '酒店在岛上很有特色，建筑风格也很有风情。茅草屋外表很残旧，里面设施齐全。住在岛上却要另外交50元/人的船费和游览费不合理。', '短评打分': 4}
{'短评内容': '很不错的酒店。', '短评打分': 5}
{'短评内容': '部分服务人员态度差！', '短评打分': 4}
{'短评内容': '部分服务人员态度差！', '短评打分': 4}
